strategy_id,price_damage_threshold_pct,trade_count,positive_count,positive_rate_pct,mean_terminal_return_pct,median_terminal_return_pct,mean_mfe_pct,median_mfe_pct,mean_mae_pct,median_mae_pct,mean_holding_days,median_holding_days,le_neg_20_count,le_neg_20_rate_pct,le_neg_30_count,le_neg_30_rate_pct,le_neg_40_count,le_neg_40_rate_pct,le_neg_50_count,le_neg_50_rate_pct,le_neg_60_count,le_neg_60_rate_pct,ge_20_count,ge_20_rate_pct,ge_30_count,ge_30_rate_pct,ge_50_count,ge_50_rate_pct,ge_100_count,ge_100_rate_pct,ge_200_count,ge_200_rate_pct,ge_400_count,ge_400_rate_pct,mean_paired_return_delta_pp,median_paired_return_delta_pp,improved_count,improved_rate_pct,worsened_count,worsened_rate_pct,same_count,same_rate_pct,positive_to_nonpositive_count,nonpositive_to_positive_count,armed_trade_count,arm_cycle_count,rearmed_trade_count,failure_confirmed_count,failure_confirmed_executed_count,failure_confirmed_unexecuted_count,disarmed_trade_count,disarm_count,disarm_by_price_count,disarm_by_fast_count,disarm_by_both_count,trigger_disarm_count,trend_disarm_count,extended_disarm_count,armed_to_winner_mode_count,unavailable_wait_count,event_counts,arm_to_confirm_calendar_days_mean,arm_to_confirm_calendar_days_median,arm_to_disarm_calendar_days_mean,arm_to_disarm_calendar_days_median,arm_to_winner_calendar_days_mean,arm_to_winner_calendar_days_median,le_neg_20_count_delta_vs_v0,le_neg_20_rate_pct_delta_vs_v0,le_neg_30_count_delta_vs_v0,le_neg_30_rate_pct_delta_vs_v0,le_neg_40_count_delta_vs_v0,le_neg_40_rate_pct_delta_vs_v0,le_neg_50_count_delta_vs_v0,le_neg_50_rate_pct_delta_vs_v0,le_neg_60_count_delta_vs_v0,le_neg_60_rate_pct_delta_vs_v0,v0_terminal_ge_50_prewinner_exit_count,v0_mfe_ge_50_prewinner_exit_count,v0_terminal_ge_100_prewinner_exit_count,v0_mfe_ge_100_prewinner_exit_count
FASTCORE_V0_CONTROL_REPLAY,,973,690,70.914697,8.666341,9.2,43.685478,28.22,-24.416341,-17.99,292.540596,128.0,173,17.780062,139,14.285714,111,11.408016,72,7.399794,40,4.110997,246,25.282631,131,13.463515,50,5.138746,24,2.466598,12,1.233299,3,0.308325,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,973,570,58.581706,5.225725,5.92,37.477801,24.24,-17.837174,-17.99,129.723535,87.0,331,34.018499,84,8.633094,5,0.513875,1,0.102775,1,0.102775,212,21.788284,115,11.819116,45,4.624872,20,2.055498,10,1.027749,3,0.308325,-3.440617,0.0,144.0,14.799589,184.0,18.910586,645.0,66.289825,120.0,0.0,351.0,548.0,139.0,328.0,328.0,0.0,157.0,219.0,219.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ARMED"": 351, ""DISARM_PRICE"": 219, ""EXIT_EXECUTED"": 926, ""FAILURE_CONFIRMED"": 328, ""REARM"": 197}",3.804878,3.0,3.392694,3.0,,,158.0,16.238437,-55.0,-5.65262,-106.0,-10.894141,-71.0,-7.297019,-39.0,-4.008222,5.0,32.0,4.0,8.0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,973,599,61.562179,5.535725,7.17,38.500822,25.42,-19.05816,-17.99,148.956835,100.0,291,29.907503,255,26.207605,8,0.822199,1,0.102775,1,0.102775,220,22.610483,116,11.921891,45,4.624872,20,2.055498,10,1.027749,3,0.308325,-3.130617,0.0,123.0,12.641316,154.0,15.827338,696.0,71.531346,91.0,0.0,297.0,464.0,110.0,277.0,277.0,0.0,126.0,186.0,186.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,"{""ARMED"": 297, ""DISARM_PRICE"": 186, ""EXIT_EXECUTED"": 906, ""FAILURE_CONFIRMED"": 277, ""REARM"": 167}",3.386282,3.0,3.446237,3.0,,,118.0,12.127441,116.0,11.921891,-103.0,-10.585817,-71.0,-7.297019,-39.0,-4.008222,5.0,25.0,4.0,8.0
