strategy_id,price_damage_threshold_pct,control_trade_id,ticker,name,date,event_type,close_return_pct,running_mfe_pct,fast_date,fast_state,arm_cycle,detail
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,2022-06-24,DISARM_PRICE,-21.019108,10.828025,2022-06-24,WATCH,1.0,ARM_CLEARED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,2022-10-11,REARM,-30.573248,10.828025,2022-10-07,WATCH,2.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,2022-10-14,FAILURE_CONFIRMED,-31.210191,10.828025,2022-10-14,WATCH,2.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000050_KR7000050005_KOSPI_02,000050,경방,2022-10-17,EXIT_EXECUTED,-31.528662,,,WATCH,2.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000060_KR7000060004_KOSPI_01,000060,메리츠화재,2021-11-01,EXIT_EXECUTED,46.315789,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000060_KR7000060004_KOSPI_01,000060,메리츠화재,2021-11-01,EXIT_EXECUTED,46.315789,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000070_KR7000070003_KOSPI_01,000070,삼양홀딩스,2025-12-01,EXIT_EXECUTED,6.243785,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000070_KR7000070003_KOSPI_01,000070,삼양홀딩스,2025-12-01,EXIT_EXECUTED,6.243785,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-09-26,ARMED,-27.421555,5.457026,2022-09-23,WATCH,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-09-30,FAILURE_CONFIRMED,-27.694407,5.457026,2022-09-30,WATCH,1.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-10-04,EXIT_EXECUTED,-26.739427,,,WATCH,1.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-10-11,ARMED,-32.196453,5.457026,2022-10-07,WATCH,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-10-14,FAILURE_CONFIRMED,-32.742156,5.457026,2022-10-14,WATCH,1.0,NEW_WEAK_FAST_AND_PRICE_DAMAGED
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000080_KR7000080002_KOSPI_01,000080,하이트진로,2022-10-17,EXIT_EXECUTED,-34.106412,,,WATCH,1.0,PREWINNER_FAILURE_CONFIRMED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000100_KR7000100008_KOSPI_01,000100,유한양행,2023-09-04,EXIT_EXECUTED,14.450004,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W30_PREWINNER_ARMED_V00,-30.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000100_KR7000100008_KOSPI_01,000100,유한양행,2023-09-04,EXIT_EXECUTED,14.450004,,,SETUP,,SOFT_EXIT
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-06-27,ARMED,-25.0,18.312102,2024-06-21,WATCH,1.0,PRICE_DAMAGED_AND_WEAK_FAST
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-06-28,DISARM_PRICE,-24.283439,18.312102,2024-06-28,WATCH,1.0,ARM_CLEARED
FASTCORE_V1_W25_PREWINNER_ARMED_V00,-25.0,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_000120_KR7000120006_KOSPI_01,000120,CJ대한통운,2024-07-02,REARM,-26.194268,18.312102,2024-06-28,WATCH,2.0,PRICE_DAMAGED_AND_WEAK_FAST
