prototype_id,comparison,n_left,n_right,median_left,median_right,median_diff,cliffs_delta
HIERARCHICAL_V01,GOOD_TRIGGER_vs_NO_SETUP,9,9,71.61,34.31,37.3,0.9012345679012346
HIERARCHICAL_V01,GOOD_TRIGGER_vs_TOO_EARLY,9,8,71.61,49.545,22.064999999999998,0.6111111111111112
HIERARCHICAL_V01,GOOD_TRIGGER_vs_FALSE_TRIGGER,9,4,71.61,52.85,18.759999999999998,0.9444444444444444
HIERARCHICAL_V01,GOOD_TRIGGER_vs_TOO_EXTENDED,9,3,71.61,59.91,11.700000000000003,0.5925925925925926
