sample_id,ticker,name,reference_date,human_stage,human_label,fast_score,fast_score_status,fast_stage,fast_stage_status,monthly_permission_state,daily_risk_state,pattern_a_score,pattern_a_stage,pattern_a_candidate_active,pattern_a_status,reference_comparison_status,pattern_a_next_candidate_date,reference_to_pattern_a_candidate_weeks,reference_catchup_status
003120_20260327,003120,일성아이에스,2026-03-27,WATCH,NO_SETUP,70.56,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,55.785908030531616,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-07-31,18.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
003480_20250207,003480,한진중공업홀딩스,2025-02-07,WATCH,BORDERLINE_TRIGGER,78.63,PARTIAL,TREND,READY,PERMITTED_REGIME,NORMAL,52.365252438954286,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-04-25,11.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
003490_20250905,003490,대한항공,2025-09-05,SETUP,GOOD_TRIGGER,75.92,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,64.33936975968587,base,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-10-10,5.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
006260_20200925,006260,LS,2020-09-25,WATCH,BORDERLINE_TRIGGER,54.65,READY,SETUP,READY,PERMITTED_REGIME,ELEVATED,0.0,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2020-11-06,6.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
006260_20221223,006260,LS,2022-12-23,SETUP,GOOD_TRIGGER,70.35,READY,TRIGGER,READY,LATE_OR_EXTENDED_REGIME,NORMAL,77.48911792644873,early_trend,True,READY,BOTH_ACTIVE_AT_REFERENCE,,0.0,PATTERN_A_ALREADY_ACTIVE
008490_20250328,008490,서흥,2025-03-28,WATCH,FALSE_TRIGGER,52.32,PARTIAL,SETUP,READY,EARLY_REGIME,NORMAL,0.0,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2025-09-05,23.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
009150_20260327,009150,삼성전기,2026-03-27,EXTENDED,TOO_EXTENDED,59.91,READY,EXTENDED,READY,LATE_OR_EXTENDED_REGIME,ELEVATED,0.0,progressed,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
009470_20250627,009470,삼화전기,2025-06-27,WATCH,FALSE_TRIGGER,48.26,READY,WATCH,READY,EARLY_REGIME,NORMAL,0.0,weak,False,READY,NEITHER_ACTIVE_AT_REFERENCE,2025-07-04,1.0,NEITHER_ACTIVE_AT_REFERENCE
009730_20260327,009730,이렘,2026-03-27,WATCH,NO_SETUP,33.21,READY,WATCH,READY,EARLY_REGIME,NORMAL,0.0,weak,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
009830_20250328,009830,한화솔루션,2025-03-28,WATCH,BORDERLINE_TRIGGER,40.01,READY,SETUP,READY,EARLY_REGIME,NORMAL,0.0,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-02-06,45.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
011070_20200925,011070,LG이노텍,2020-09-25,SETUP,GOOD_TRIGGER,71.61,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,66.72922162176961,transition,True,READY,BOTH_ACTIVE_AT_REFERENCE,,0.0,PATTERN_A_ALREADY_ACTIVE
011200_20221223,011200,HMM,2022-12-23,WATCH,TOO_EARLY,68.36,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,42.63905560607814,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
011210_20180629,011210,현대위아,2018-06-29,WATCH,TOO_EARLY,35.31,PARTIAL,WATCH,READY,EARLY_REGIME,NORMAL,0.0,weak,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
011330_20260327,011330,유니켐,2026-03-27,WATCH,NO_SETUP,26.65,READY,WATCH,READY,EARLY_REGIME,EXTREME,0.0,weak,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
012170_20250328,012170,아센디오,2025-03-28,WATCH,NO_SETUP,47.75,PARTIAL,WATCH,READY,EARLY_REGIME,EXTREME,0.0,,,UNAVAILABLE,PATTERN_A_ONLY_AT_REFERENCE,,,DATA_UNAVAILABLE
012450_20230630,012450,한화에어로스페이스,2023-06-30,TREND,GOOD_TRIGGER,77.11,READY,EXTENDED,READY,PERMITTED_REGIME,NORMAL,0.0,progressed,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
032580_20260327,032580,피델릭스,2026-03-27,WATCH,TOO_EARLY,41.06,READY,SETUP,READY,EARLY_REGIME,ELEVATED,11.333054708672686,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-06-05,10.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
032820_20251226,032820,우리기술,2025-12-26,SETUP,GOOD_TRIGGER,64.51,READY,EXTENDED,READY,PERMITTED_REGIME,NORMAL,0.0,progressed,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
032820_20260327,032820,우리기술,2026-03-27,TREND,TOO_LATE,58.6,READY,EXTENDED,READY,LATE_OR_EXTENDED_REGIME,EXTREME,0.0,progressed,False,READY,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW,,,PATTERN_A_NOT_OBSERVED_WITHIN_WINDOW
034220_20200925,034220,LG디스플레이,2020-09-25,WATCH,FALSE_TRIGGER,60.81,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,0.0,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2020-11-06,6.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
036170_20251226,036170,에이치엠넥스,2025-12-26,SETUP,GOOD_TRIGGER,54.62,READY,SETUP,READY,PERMITTED_REGIME,NORMAL,61.467138862065426,weak,False,READY,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE,2026-01-09,2.0,FAST_CONSTRUCTIVE_PATTERN_A_INACTIVE
