sample_id,ticker,name,reference_date,weekly_stage_at_reference,human_label,range_position_24m,drawdown_from_12m_high,ma_alignment_score,monthly_down_month_ratio_12m,higher_monthly_low_count_12m,post_breakout_min_low_vs_level_pct_26w,close_vs_wma200_pct,distance_to_prior_26w_high_pct,higher_weekly_low_count_13w,wma52_slope_1w,wma12_vs_wma26_pct,recent_5d_max_gap_abs_pct,atr_14_pct
000050_20251024,000050,경방,2025-10-24,WATCH,TOO_EARLY,0.2690839694656488,-0.3507326007326007,0.0,0.4166666666666667,6.0,-0.2720178372352285,-0.2782568264434863,-0.3745421245421245,3.0,0.0009486342456963,-0.0494797050513404,0.0058910162002945,0.0245764484417485
000250_20251226,000250,삼천당제약,2025-12-26,EXTENDED,TOO_EXTENDED,0.7483059051306873,-0.1936685288640596,1.0,0.3333333333333333,7.0,-0.1863529411764706,1.1026542441980776,-0.1769087523277467,6.0,0.0077240227545534,0.0656150748993422,0.0125523012552302,0.0638332255979314
000370_20250509,000370,한화손해보험,2025-05-09,SETUP,BORDERLINE_TRIGGER,0.1947565543071161,-0.3451043338683788,0.0,0.5,4.0,,,-0.2059999999999999,8.0,-0.0045063667934513,-0.025183408577878,0.0050377833753147,0.0194314501619287
000650_20250926,000650,천일고속,2025-09-26,WATCH,TOO_EARLY,0.2065217391304347,-0.2110266159695817,0.0,0.5,6.0,,-0.2138034215196866,-0.1446808510638297,5.0,-0.0003886324993928,0.0164621628821712,0.008610086100861,0.0199004975124378
000650_20251226,000650,천일고속,2025-12-26,EXTENDED,TOO_EXTENDED,1.0,0.0,1.0,0.4166666666666667,7.0,0.0739957716701902,5.26934681242898,-0.3050193050193049,4.0,0.0972434915773354,0.6878568853982889,0.0366847826086955,0.2372023809523809
000700_20260109,000700,유수홀딩스,2026-01-09,SETUP,BORDERLINE_TRIGGER,0.4588859416445623,-0.1114503816793893,1.0,0.5833333333333334,5.0,,-0.0321087404788957,-0.1221374045801526,7.0,0.001278385197645,-0.0016410053084869,0.0157068062827225,0.0285714285714285
000810_20180629,000810,삼성화재,2018-06-29,SETUP,TOO_EARLY,0.008695652173913,-0.1853658536585366,0.0,0.5833333333333334,4.0,,-0.0641549766199064,-0.1126050420168067,7.0,-0.0012472382581427,-0.0272954905156734,0.0131332082551594,0.0284090909090909
000850_20250919,000850,화천기공,2025-09-19,WATCH,TOO_EARLY,0.3027522935779816,-0.2648845686512758,0.0,0.3333333333333333,6.0,-0.1130952380952381,-0.0011590910858894,-0.0762589928057554,6.0,0.0024168984240497,0.0345064699631181,0.0078740157480314,0.019915442812639
001210_20250314,001210,금호전기,2025-03-14,WATCH,NO_SETUP,0.1361079865016873,-0.4736842105263158,0.0,0.6666666666666666,4.0,-0.3373493975903614,,-0.480355819125278,5.0,-0.0011554595463564,0.0531036446469248,0.0261627906976744,0.0464642347666598
001260_20250926,001260,남광토건,2025-09-26,WATCH,NO_SETUP,0.5319148936170213,-0.2516339869281045,1.0,0.4166666666666667,7.0,-0.1958549222797927,-0.138948453265513,-0.3651960784313726,4.0,0.0027430377981307,0.0060229625447016,0.0112499999999999,0.0345651774223202
