sample_id,ticker,name,reference_date,weekly_stage_at_reference,human_label,monthly_permission_state_proto,monthly_permission_score_proto,weekly_core_score_proto,conditional_breakout_status,conditional_breakout_quality_proto,daily_timing_risk_state_proto,daily_timing_risk_proto,pattern_a_fast_score_proto,score_status,machine_stage_proto,diagnostic_mismatch_reason
002170_20250321,002170,SYTS,2025-03-21,WATCH,TOO_EARLY,PERMITTED_REGIME,77.5,67.5,EVENT_NOT_OBSERVED,,NORMAL,12.5,68.62,PARTIAL,WATCH,DESCRIPTIVE_ONLY
002460_20250509,002460,HS화성,2025-05-09,WATCH,BORDERLINE_TRIGGER,PERMITTED_REGIME,77.5,81.79,EVENT_OBSERVED,55.0,NORMAL,12.5,79.13,PARTIAL,TREND,DESCRIPTIVE_ONLY
003060_20260327,003060,에이프로젠바이오로직스,2026-03-27,WATCH,NO_SETUP,EARLY_REGIME,42.5,31.0,EVENT_NOT_OBSERVED,,EXTREME,100.0,19.45,READY,WATCH,DESCRIPTIVE_ONLY
003100_20250822,003100,선광,2025-08-22,WATCH,FALSE_TRIGGER,PERMITTED_REGIME,70.0,52.5,EVENT_OBSERVED,25.0,NORMAL,12.5,53.38,READY,WATCH,DESCRIPTIVE_ONLY
003120_20260327,003120,일성아이에스,2026-03-27,WATCH,NO_SETUP,PERMITTED_REGIME,85.0,72.5,EVENT_OBSERVED,25.0,NORMAL,21.25,70.56,READY,SETUP,DESCRIPTIVE_ONLY
003480_20250207,003480,한진중공업홀딩스,2025-02-07,WATCH,BORDERLINE_TRIGGER,PERMITTED_REGIME,77.5,81.79,EVENT_NOT_OBSERVED,,NORMAL,12.5,78.63,PARTIAL,TREND,DESCRIPTIVE_ONLY
003490_20250905,003490,대한항공,2025-09-05,SETUP,GOOD_TRIGGER,PERMITTED_REGIME,85.0,74.0,EVENT_OBSERVED,55.0,NORMAL,12.5,75.92,READY,SETUP,DESCRIPTIVE_ONLY
006260_20200925,006260,LS,2020-09-25,WATCH,BORDERLINE_TRIGGER,PERMITTED_REGIME,77.5,47.0,EVENT_OBSERVED,80.0,ELEVATED,30.0,54.65,READY,SETUP,DESCRIPTIVE_ONLY
006260_20221223,006260,LS,2022-12-23,SETUP,GOOD_TRIGGER,LATE_OR_EXTENDED_REGIME,46.0,82.75,EVENT_OBSERVED,55.0,NORMAL,12.5,70.35,READY,TRIGGER,DESCRIPTIVE_ONLY
008490_20250328,008490,서흥,2025-03-28,WATCH,FALSE_TRIGGER,EARLY_REGIME,35.0,64.29,EVENT_NOT_OBSERVED,,NORMAL,21.25,52.32,PARTIAL,SETUP,DESCRIPTIVE_ONLY
009150_20260327,009150,삼성전기,2026-03-27,EXTENDED,TOO_EXTENDED,LATE_OR_EXTENDED_REGIME,53.5,74.0,EVENT_OBSERVED,55.0,ELEVATED,56.25,59.91,READY,EXTENDED,DESCRIPTIVE_ONLY
009470_20250627,009470,삼화전기,2025-06-27,WATCH,FALSE_TRIGGER,EARLY_REGIME,35.0,58.5,EVENT_NOT_OBSERVED,,NORMAL,21.25,48.26,READY,WATCH,DESCRIPTIVE_ONLY
009730_20260327,009730,이렘,2026-03-27,WATCH,NO_SETUP,EARLY_REGIME,35.0,37.0,EVENT_NOT_OBSERVED,,NORMAL,21.25,33.21,READY,WATCH,DESCRIPTIVE_ONLY
009830_20250328,009830,한화솔루션,2025-03-28,WATCH,BORDERLINE_TRIGGER,EARLY_REGIME,42.5,43.5,EVENT_NOT_OBSERVED,,NORMAL,21.25,40.01,READY,SETUP,DESCRIPTIVE_ONLY
011070_20200925,011070,LG이노텍,2020-09-25,SETUP,GOOD_TRIGGER,PERMITTED_REGIME,85.0,74.0,EVENT_OBSERVED,25.0,NORMAL,21.25,71.61,READY,SETUP,DESCRIPTIVE_ONLY
011200_20221223,011200,HMM,2022-12-23,WATCH,TOO_EARLY,PERMITTED_REGIME,77.5,69.0,EVENT_NOT_OBSERVED,,NORMAL,21.25,68.36,READY,SETUP,DESCRIPTIVE_ONLY
011210_20180629,011210,현대위아,2018-06-29,WATCH,TOO_EARLY,EARLY_REGIME,35.0,40.0,EVENT_NOT_OBSERVED,,NORMAL,21.25,35.31,PARTIAL,WATCH,DESCRIPTIVE_ONLY
011330_20260327,011330,유니켐,2026-03-27,WATCH,NO_SETUP,EARLY_REGIME,35.0,37.0,EVENT_NOT_OBSERVED,,EXTREME,65.0,26.65,READY,WATCH,DESCRIPTIVE_ONLY
012170_20250328,012170,아센디오,2025-03-28,WATCH,NO_SETUP,EARLY_REGIME,35.0,74.64,EVENT_NOT_OBSERVED,,EXTREME,100.0,47.75,PARTIAL,WATCH,DESCRIPTIVE_ONLY
012450_20230630,012450,한화에어로스페이스,2023-06-30,TREND,GOOD_TRIGGER,PERMITTED_REGIME,85.0,74.0,EVENT_OBSERVED,80.0,NORMAL,21.25,77.11,READY,EXTENDED,DESCRIPTIVE_ONLY
032580_20260327,032580,피델릭스,2026-03-27,WATCH,TOO_EARLY,EARLY_REGIME,42.5,52.5,EVENT_NOT_OBSERVED,,ELEVATED,56.25,41.06,READY,SETUP,DESCRIPTIVE_ONLY
032820_20251226,032820,우리기술,2025-12-26,SETUP,GOOD_TRIGGER,PERMITTED_REGIME,77.5,63.5,EVENT_NOT_OBSERVED,,NORMAL,21.25,64.51,READY,EXTENDED,DESCRIPTIVE_ONLY
032820_20260327,032820,우리기술,2026-03-27,TREND,TOO_LATE,LATE_OR_EXTENDED_REGIME,53.5,74.0,EVENT_OBSERVED,55.0,EXTREME,65.0,58.6,READY,EXTENDED,DESCRIPTIVE_ONLY
034220_20200925,034220,LG디스플레이,2020-09-25,WATCH,FALSE_TRIGGER,PERMITTED_REGIME,77.5,57.5,EVENT_OBSERVED,55.0,NORMAL,21.25,60.81,READY,SETUP,DESCRIPTIVE_ONLY
036170_20251226,036170,에이치엠넥스,2025-12-26,SETUP,GOOD_TRIGGER,PERMITTED_REGIME,77.5,47.5,EVENT_NOT_OBSERVED,,NORMAL,12.5,54.62,READY,SETUP,DESCRIPTIVE_ONLY
