scope,version,comparison,first,second,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,mean_return_favorable,median_return_first,median_return_second,median_return_diff,median_return_favorable,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_50_rate_pct_diff,ge_50_rate_pct_favorable,ge_100_rate_pct_first,ge_100_rate_pct_second,ge_100_rate_pct_diff,ge_100_rate_pct_favorable,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_30_rate_pct_diff,le_neg_30_rate_pct_favorable,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,le_neg_50_rate_pct_diff,le_neg_50_rate_pct_favorable,le_neg_60_rate_pct_first,le_neg_60_rate_pct_second,le_neg_60_rate_pct_diff,le_neg_60_rate_pct_favorable,positive_rate_pct_diff,ge_30_rate_pct_diff,le_neg_15_rate_pct_diff,le_neg_40_rate_pct_diff,return_auc,return_auc_effect,favorable,unfavorable
WINDOW_P1,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,3035,702,20.0083,-1.168,21.1763,FAVORABLE,-14.52,-15.645,1.125,FAVORABLE,21.6145,9.4017,12.2128,FAVORABLE,9.2586,3.4188,5.8398,FAVORABLE,1.2521,5.4131,-4.161,FAVORABLE,0.2965,2.5641,-2.2676,FAVORABLE,0.1318,1.9943,-1.8625,FAVORABLE,19.5318,15.6483,-17.0641,-3.571,0.613,0.113,7,0
WINDOW_P1,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,265,702,5.5125,-1.168,6.6805,FAVORABLE,-15.6,-15.645,0.045,FAVORABLE,10.9434,9.4017,1.5417,FAVORABLE,5.283,3.4188,1.8642,FAVORABLE,8.3019,5.4131,2.8888,UNFAVORABLE,5.283,2.5641,2.7189,UNFAVORABLE,4.9057,1.9943,2.9114,UNFAVORABLE,6.3721,2.9785,-5.2771,2.284,0.506,0.006,4,3
WINDOW_P1,CLOSED_ONLY,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,3007,823,18.9524,-0.5949,19.5473,FAVORABLE,-14.59,-15.64,1.05,FAVORABLE,21.2172,9.4775,11.7397,FAVORABLE,8.979,3.7667,5.2123,FAVORABLE,1.2305,0.6075,0.623,UNFAVORABLE,0.266,0.0,0.266,UNFAVORABLE,0.0998,0.0,0.0998,UNFAVORABLE,19.9133,14.9797,-17.5527,0.5321,0.604,0.104,4,3
WINDOW_P1,CLOSED_ONLY,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,3007,218,18.9524,1.7283,17.2241,FAVORABLE,-14.59,-15.49,0.9,FAVORABLE,21.2172,11.0092,10.208,FAVORABLE,8.979,5.0459,3.9331,FAVORABLE,1.2305,1.3761,-0.1456,FAVORABLE,0.266,0.0,0.266,UNFAVORABLE,0.0998,0.0,0.0998,UNFAVORABLE,14.1523,12.8706,-12.45,0.5321,0.5876,0.0876,5,2
WINDOW_P1,CLOSED_ONLY,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,3007,605,18.9524,-1.432,20.3844,FAVORABLE,-14.59,-15.67,1.08,FAVORABLE,21.2172,8.9256,12.2916,FAVORABLE,8.979,3.3058,5.6732,FAVORABLE,1.2305,0.3306,0.8999,UNFAVORABLE,0.266,0.0,0.266,UNFAVORABLE,0.0998,0.0,0.0998,UNFAVORABLE,21.9892,15.7396,-19.3914,0.5321,0.6099,0.1099,4,3
WINDOW_P1,CLOSED_ONLY,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,218,605,1.7283,-1.432,3.1603,FAVORABLE,-15.49,-15.67,0.18,FAVORABLE,11.0092,8.9256,2.0836,FAVORABLE,5.0459,3.3058,1.7401,FAVORABLE,1.3761,0.3306,1.0455,UNFAVORABLE,0.0,0.0,0.0,TIE,0.0,0.0,0.0,TIE,7.8369,2.869,-6.9414,0.0,0.5218,0.0218,4,1
WINDOW_P2-1,ALL,NORMAL_vs_COVERAGE_COMBINED,NORMAL_EARLY_TREND_HANDOFF,COVERAGE_PATH_COMBINED,613,323,23.8401,4.3638,19.4763,FAVORABLE,8.29,-14.96,23.25,FAVORABLE,22.8385,10.8359,12.0026,FAVORABLE,8.646,3.4056,5.2404,FAVORABLE,0.8157,7.1207,-6.305,FAVORABLE,0.1631,2.7864,-2.6233,FAVORABLE,0.1631,1.548,-1.3849,FAVORABLE,23.7562,15.0127,-18.394,-4.4475,0.637,0.137,7,0
WINDOW_P2-1,ALL,NORMAL_vs_SKIPPED,NORMAL_EARLY_TREND_HANDOFF,SKIPPED_EARLY_TREND_HANDOFF,613,138,23.8401,6.0937,17.7464,FAVORABLE,8.29,-14.82,23.11,FAVORABLE,22.8385,10.1449,12.6936,FAVORABLE,8.646,4.3478,4.2982,FAVORABLE,0.8157,10.1449,-9.3292,FAVORABLE,0.1631,3.6232,-3.4601,FAVORABLE,0.1631,1.4493,-1.2862,FAVORABLE,23.3456,13.7138,-18.4434,-5.706,0.6381,0.1381,7,0
WINDOW_P2-1,ALL,NORMAL_vs_WITHOUT_DIRECT,NORMAL_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,613,185,23.8401,3.0734,20.7667,FAVORABLE,8.29,-14.97,23.26,FAVORABLE,22.8385,11.3514,11.4871,FAVORABLE,8.646,2.7027,5.9433,FAVORABLE,0.8157,4.8649,-4.0492,FAVORABLE,0.1631,2.1622,-1.9991,FAVORABLE,0.1631,1.6216,-1.4585,FAVORABLE,24.0624,15.9817,-18.3572,-3.5086,0.6363,0.1363,7,0
WINDOW_P2-1,ALL,SKIPPED_vs_WITHOUT_DIRECT,SKIPPED_EARLY_TREND_HANDOFF,PROGRESSED_WITHOUT_DIRECT_HANDOFF,138,185,6.0937,3.0734,3.0203,FAVORABLE,-14.82,-14.97,0.15,FAVORABLE,10.1449,11.3514,-1.2065,UNFAVORABLE,4.3478,2.7027,1.6451,FAVORABLE,10.1449,4.8649,5.28,UNFAVORABLE,3.6232,2.1622,1.461,UNFAVORABLE,1.4493,1.6216,-0.1723,FAVORABLE,0.7168,2.2679,0.0862,2.1974,0.4936,-0.0064,4,3
