date,ticker,foreign_net_buy_value,foreign_buy_value,foreign_sell_value
2026-05-13,001740,-380628345.0,2954653555.0,3335281900.0
2026-05-13,001750,-208744150.0,99618300.0,308362450.0
2026-05-13,001755,-569150.0,4490650.0,5059800.0
2026-05-13,001770,-857010.0,49180.0,906190.0
2026-05-13,001780,-611945726.0,1842757028.0,2454702754.0
2026-05-13,001790,-106333311.0,67995451.0,174328762.0
2026-05-13,001795,3842265.0,13291860.0,9449595.0
2026-05-13,001800,-201208025.0,713502325.0,914710350.0
2026-05-13,001810,-22599524.0,9120101.0,31719625.0
2026-05-13,001820,2192039700.0,5494443500.0,3302403800.0
2026-05-13,001940,6793750.0,60055700.0,53261950.0
2026-05-13,002020,-2661574500.0,4133158600.0,6794733100.0
2026-05-13,002025,-13108650.0,39477150.0,52585800.0
2026-05-13,002030,-69980500.0,108535500.0,178516000.0
2026-05-13,002070,5838275.0,57019710.0,51181435.0
2026-05-13,002100,-63984075.0,148927050.0,212911125.0
2026-05-13,002140,4599162.0,142350602.0,137751440.0
2026-05-13,002150,-138987640.0,82160020.0,221147660.0
2026-05-13,002170,-67107200.0,39068200.0,106175400.0
2026-05-13,002200,-127388400.0,14583005.0,141971405.0
2026-05-13,002220,28139565.0,352701600.0,324562035.0
2026-05-13,002230,33621190.0,831352005.0,797730815.0
2026-05-13,002240,-8734675.0,197413125.0,206147800.0
2026-05-13,002290,81872407.0,141101775.0,59229368.0
2026-05-13,002310,-105787480.0,358204670.0,463992150.0
2026-05-13,002320,-101175690.0,178229110.0,279404800.0
2026-05-13,002350,-86654300.0,256848740.0,343503040.0
2026-05-13,002355,-289105.0,967095.0,1256200.0
2026-05-13,002380,5842499000.0,14716448500.0,8873949500.0
2026-05-13,002390,24355555.0,59076270.0,34720715.0
2026-05-13,002420,-14922600.0,4218490.0,19141090.0
2026-05-13,002450,-58945331.0,66934772.0,125880103.0
2026-05-13,002460,-79072850.0,25191090.0,104263940.0
2026-05-13,002600,400.0,436300.0,435900.0
2026-05-13,002620,4856670.0,28789440.0,23932770.0
2026-05-13,002630,-72702601.0,73056746.0,145759347.0
2026-05-13,002680,1668030.0,14153248.0,12485218.0
2026-05-13,002690,3653966.0,24562337.0,20908371.0
2026-05-13,002700,20623379.0,379885344.0,359261965.0
2026-05-13,002710,-14149715.0,1037068085.0,1051217800.0
2026-05-13,002720,336293.0,101172478.0,100836185.0
2026-05-13,002760,-25613387.0,105248740.0,130862127.0
2026-05-13,002780,-398897209.0,531805811.0,930703020.0
2026-05-13,002790,-938115600.0,1011057025.0,1949172625.0
2026-05-13,002795,-11683200.0,14981620.0,26664820.0
2026-05-13,00279K,9169350.0,46472450.0,37303100.0
2026-05-13,002800,-20720190.0,57025500.0,77745690.0
2026-05-13,002810,22166400.0,297165850.0,274999450.0
2026-05-13,002820,-11479259.0,2846301.0,14325560.0
2026-05-13,002840,-90596100.0,61547850.0,152143950.0
2026-05-13,002870,-15330923.0,13350701.0,28681624.0
2026-05-13,002880,-922260.0,20518469.0,21440729.0
2026-05-13,002900,-83040440.0,2243455335.0,2326495775.0
2026-05-13,002920,1056764.0,22532020.0,21475256.0
2026-05-13,002960,-75467500.0,151900500.0,227368000.0
2026-05-13,002990,-207532357.0,71309020.0,278841377.0
2026-05-13,003000,1707153760.0,3301359925.0,1594206165.0
2026-05-13,003010,-305285445.0,555574780.0,860860225.0
2026-05-13,003030,77321350.0,1965031000.0,1887709650.0
2026-05-13,003060,66514683.0,158576340.0,92061657.0
2026-05-13,003070,-144240780.0,109114060.0,253354840.0
2026-05-13,003075,-4540.0,406100.0,410640.0
