ticker,isu_cd,market,sample_group,numeric_or_alpha,source,adjusted,request_start,request_end,attempt_count,source_status,eligibility_status,row_count,first_date,last_date,duplicate_count,invalid_ohlc_count,future_row_count,error_type,error_message_sanitized,evidence_summary
003670,KR7003670007,"KOSDAQ,KOSPI",GROUP_C_CORPORATE_ACTION,numeric,PyKRX (get_market_ohlcv_by_date),True,2019-05-15,2019-06-15,1,SUCCESS,ELIGIBLE_FULL,22,2019-05-15,2019-06-14,0,0,0,,,"Successfully returned 22 valid adjusted OHLC rows spanning 2019-05-15 ~ 2019-06-14 (requested 2019-05-15 ~ 2019-06-15, 0 anomalies)"
022100,KR7022100002,"KOSDAQ,KOSPI",GROUP_C_CORPORATE_ACTION,numeric,PyKRX (get_market_ohlcv_by_date),True,2023-12-15,2024-01-15,1,SUCCESS,ELIGIBLE_FULL,19,2023-12-15,2024-01-15,0,0,0,,,"Successfully returned 19 valid adjusted OHLC rows spanning 2023-12-15 ~ 2024-01-15 (requested 2023-12-15 ~ 2024-01-15, 0 anomalies)"
0001A0,KR70001A0001,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-01-30,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,136,2026-01-30,2026-08-21,0,0,0,,,"Successfully returned 136 valid adjusted OHLC rows spanning 2026-01-30 ~ 2026-08-21 (requested 2026-01-30 ~ 2026-08-21, 0 anomalies)"
0004V0,KR70004V0003,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-01-14,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,148,2026-01-14,2026-08-21,0,0,0,,,"Successfully returned 148 valid adjusted OHLC rows spanning 2026-01-14 ~ 2026-08-21 (requested 2026-01-14 ~ 2026-08-21, 0 anomalies)"
0007C0,KR70007C0003,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-12-16,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,166,2025-12-16,2026-08-21,0,0,0,,,"Successfully returned 166 valid adjusted OHLC rows spanning 2025-12-16 ~ 2026-08-21 (requested 2025-12-16 ~ 2026-08-21, 0 anomalies)"
0007J0,KR70007J0006,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-04-02,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,96,2026-04-02,2026-08-21,0,0,0,,,"Successfully returned 96 valid adjusted OHLC rows spanning 2026-04-02 ~ 2026-08-21 (requested 2026-04-02 ~ 2026-08-21, 0 anomalies)"
0008Z0,KR70008Z0005,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-08-19,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,246,2025-08-19,2026-08-21,0,0,0,,,"Successfully returned 246 valid adjusted OHLC rows spanning 2025-08-19 ~ 2026-08-21 (requested 2025-08-19 ~ 2026-08-21, 0 anomalies)"
0009K0,KR70009K0001,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-12-04,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,174,2025-12-04,2026-08-21,0,0,0,,,"Successfully returned 174 valid adjusted OHLC rows spanning 2025-12-04 ~ 2026-08-21 (requested 2025-12-04 ~ 2026-08-21, 0 anomalies)"
0010F0,KR70010F0005,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-04-03,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,95,2026-04-03,2026-08-21,0,0,0,,,"Successfully returned 95 valid adjusted OHLC rows spanning 2026-04-03 ~ 2026-08-21 (requested 2026-04-03 ~ 2026-08-21, 0 anomalies)"
0010V0,KR70010V0005,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-08-21,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,244,2025-08-21,2026-08-21,0,0,0,,,"Successfully returned 244 valid adjusted OHLC rows spanning 2025-08-21 ~ 2026-08-21 (requested 2025-08-21 ~ 2026-08-21, 0 anomalies)"
0011A0,KR70011A0009,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-03-09,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,114,2026-03-09,2026-08-21,0,0,0,,,"Successfully returned 114 valid adjusted OHLC rows spanning 2026-03-09 ~ 2026-08-21 (requested 2026-03-09 ~ 2026-08-21, 0 anomalies)"
0011T0,KR70011T0008,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2026-04-29,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,77,2026-04-29,2026-08-21,0,0,0,,,"Successfully returned 77 valid adjusted OHLC rows spanning 2026-04-29 ~ 2026-08-21 (requested 2026-04-29 ~ 2026-08-21, 0 anomalies)"
0013V0,KR70013V0002,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-12-22,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,162,2025-12-22,2026-08-21,0,0,0,,,"Successfully returned 162 valid adjusted OHLC rows spanning 2025-12-22 ~ 2026-08-21 (requested 2025-12-22 ~ 2026-08-21, 0 anomalies)"
0015G0,KR70015G0009,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-11-17,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,187,2025-11-17,2026-08-21,0,0,0,,,"Successfully returned 187 valid adjusted OHLC rows spanning 2025-11-17 ~ 2026-08-21 (requested 2025-11-17 ~ 2026-08-21, 0 anomalies)"
0015N0,KR70015N0000,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-11-27,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,179,2025-11-27,2026-08-21,0,0,0,,,"Successfully returned 179 valid adjusted OHLC rows spanning 2025-11-27 ~ 2026-08-21 (requested 2025-11-27 ~ 2026-08-21, 0 anomalies)"
0015S0,KR70015S0005,KOSDAQ,GROUP_D_ALPHA,alphanumeric,PyKRX (get_market_ohlcv_by_date),True,2025-12-10,2026-08-21,1,SUCCESS,ELIGIBLE_FULL,170,2025-12-10,2026-08-21,0,0,0,,,"Successfully returned 170 valid adjusted OHLC rows spanning 2025-12-10 ~ 2026-08-21 (requested 2025-12-10 ~ 2026-08-21, 0 anomalies)"
