ticker,previous_status,corrected_canonical_status,behavior_changed,final_candidate_changed,gate_or_stage_changed,comparison_basis
107640,TECHNICAL_FIX_REQUIRED_FIRST,INSUFFICIENT_DATA,true,true,true,targeted corrected Repository V2 snapshot as_of 2026-08-21
148780,TECHNICAL_FIX_REQUIRED_FIRST,BLOCKED,true,true,true,targeted corrected Repository V2 snapshot as_of 2026-08-21
176750,TECHNICAL_FIX_REQUIRED_FIRST,INSUFFICIENT_DATA,true,true,true,targeted corrected Repository V2 snapshot as_of 2026-08-21
221800,TECHNICAL_FIX_REQUIRED_FIRST,INSUFFICIENT_DATA,true,true,true,targeted corrected Repository V2 snapshot as_of 2026-08-21
448900,TECHNICAL_FIX_REQUIRED_FIRST,INSUFFICIENT_DATA,true,true,true,targeted corrected Repository V2 snapshot as_of 2026-08-21
