variant,cohort,metric,bin,count,rate_pct,distribution_count
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,0 to +5,83,41.919192,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,+5 to +10,25,12.626263,198
FASTCORE_V1_W25_PREWINNER_ARMED_V00,NEVER_WINNER_FIRST_ARM,arm_to_next_fast_delta_pp,> +10,2,1.010101,198
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,<= -20,0,0.0,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,-20 to -15,0,0.0,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,-15 to -10,0,0.0,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,-10 to -5,15,5.050505,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,-5 to 0,110,37.037037,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,0 to +5,132,44.444444,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,+5 to +10,34,11.447811,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,ALL_FIRST_ARM,arm_to_next_fast_delta_pp,> +10,6,2.020202,297
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,<= -20,0,0.0,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,-20 to -15,0,0.0,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,-15 to -10,0,0.0,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,-10 to -5,6,5.084746,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,-5 to 0,47,39.830508,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,0 to +5,46,38.983051,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,+5 to +10,18,15.254237,118
FASTCORE_V1_W30_PREWINNER_ARMED_V00,RECOVERY_FIRST_ARM,arm_to_next_fast_delta_pp,> +10,1,0.847458,118
