ticker,name,market,entry_execution_date,entry_open_price,pattern_a_stage_at_entry,coverage_path,policy_a_status,policy_a_exit_reason,policy_a_terminal_return_pct,policy_a_terminal_giveback_pct,policy_b_status,policy_b_exit_reason,policy_b_terminal_return_pct,policy_b_terminal_giveback_pct,paired_return_delta_pct,paired_giveback_delta_pct,exit4_triggered,policy_b_better,policy_b_equal,policy_b_worse
000640,동아쏘시오홀딩스,KOSPI,2024-08-19,114819.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.0,25.16,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.0,25.16,0.0,0.0,False,False,True,False
000660,SK하이닉스,KOSPI,2019-04-08,78900.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,57.79,32.96,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,61.6,29.15,3.81,-3.81,True,True,False,False
000670,영풍,KOSPI,2025-11-17,55064.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-41.07,71.46,REALIZED,EXIT3_PROGRESSED_TO_WEAK,-41.07,71.46,0.0,0.0,False,False,True,False
000700,유수홀딩스,KOSPI,2025-06-16,6070.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,2.97,15.65,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,2.97,15.65,0.0,0.0,False,False,True,False
000720,현대건설,KOSPI,2018-04-23,53027.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_TRANSITION,-18.34,64.03,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,-3.45,49.14,14.89,-14.89,True,True,False,False
000810,삼성화재,KOSPI,2018-10-01,281500.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,53.46,33.4,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,36.23,3.56,-17.23,-29.84,True,False,False,True
000990,DB하이텍,KOSPI,2025-09-22,57800.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,77.85,220.94,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,61.94,34.43,-15.91,-186.51,True,False,False,True
001040,CJ,KOSPI,2021-01-18,113500.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,3.08,31.63,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,15.33,19.38,12.25,-12.25,True,True,False,False
001120,LX인터내셔널,KOSPI,2021-01-11,27600.0,EARLY_TREND,NORMAL_EARLY_TREND_HANDOFF,REALIZED,EXIT3_PROGRESSED_TO_EARLY_TREND,17.57,36.42,REALIZED,EXIT4_SCORE_DRAWDOWN_GE_15,11.59,10.51,-5.98,-25.91,True,False,False,True
001200,유진투자증권,KOSPI,2025-07-14,4115.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,9.6,58.57,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,9.6,58.57,0.0,0.0,False,False,True,False
001230,동국홀딩스,KOSPI,2026-02-23,2098.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-7.01,34.13,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-7.01,34.13,0.0,0.0,False,False,True,False
001250,GS글로벌,KOSPI,2024-09-02,3950.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-29.75,73.8,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-29.75,73.8,0.0,0.0,False,False,True,False
001290,상상인증권,KOSPI,2025-07-14,845.0,TRANSITION,SKIPPED_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,21.07,89.82,OPEN_AT_CUTOFF,SKIPPED_EARLY_TREND_HANDOFF,21.07,89.82,0.0,0.0,False,False,True,False
001390,KG케미칼,KOSPI,2025-12-08,5640.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.68,50.89,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-19.68,50.89,0.0,0.0,False,False,True,False
001450,현대해상,KOSPI,2025-07-07,27350.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,65.81,1.65,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,65.81,1.65,0.0,0.0,False,False,True,False
001500,현대차증권,KOSPI,2025-06-16,7560.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,9.13,87.7,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,9.13,87.7,0.0,0.0,False,False,True,False
001510,SK증권,KOSPI,2025-06-16,1271.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,90.01,297.01,OPEN_AT_CUTOFF,,90.01,297.01,0.0,0.0,False,False,True,False
001540,안국약품,KOSDAQ,2025-12-08,9120.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,29.71,19.96,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,29.71,19.96,0.0,0.0,False,False,True,False
001680,대상,KOSPI,2025-03-04,23950.0,TRANSITION,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-23.3,32.28,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,-23.3,32.28,0.0,0.0,False,False,True,False
001720,신영증권,KOSPI,2024-10-07,78700.0,EARLY_TREND,NEVER_PROGRESSED,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,111.05,134.57,OPEN_AT_CUTOFF,NO_PROGRESSED_BEFORE_CUTOFF,111.05,134.57,0.0,0.0,False,False,True,False
001740,SK네트웍스,KOSPI,2019-02-07,6240.0,TRANSITION,NORMAL_EARLY_TREND_HANDOFF,OPEN_AT_CUTOFF,,21.63,138.63,OPEN_AT_CUTOFF,,21.63,138.63,0.0,0.0,False,False,True,False
