strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,140710,2017-06-30,2017-07-03,3740.0,2017-09-25,2017-09-26,3130.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-16.31,0.0,-16.31,61,16.31,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2017-09-26,3130.0
V2,140710,2019-01-18,2019-01-21,3105.0,2019-08-07,2019-08-08,2665.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-14.17,12.72,-16.59,137,26.89,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,2019-08-08,2665.0
V2,140710,2020-06-05,2020-06-08,3570.0,2021-03-31,2021-04-01,6095.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,70.73,85.99,-14.43,203,15.26,3,PATTERN_A_FAST_FINAL_STRATEGY_V02,2021-04-01,6095.0
V2,140710,2024-01-05,2024-01-08,5250.0,2024-04-16,2024-04-17,4425.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.71,1.71,-16.1,69,17.42,4,PATTERN_A_FAST_FINAL_STRATEGY_V02,2024-04-17,4425.0
V2,140710,2025-01-24,2025-01-31,5500.0,2025-04-09,2025-04-10,4860.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-11.64,1.82,-15.27,49,13.46,5,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-04-10,4860.0
V2,140710,2025-08-01,2025-08-04,5765.0,,,,NO_PROGRESSED_BEFORE_CUTOFF,OPEN_AT_CUTOFF,9.63,36.77,-4.68,256,27.14,6,PATTERN_A_FAST_FINAL_STRATEGY_V02,2026-08-21,6320.0
V3,140710,2017-06-30,2017-07-03,3740.0,2021-10-22,2021-10-25,6085.0,SOFT_EXIT,REALIZED,62.7,104.01,-50.27,1059,41.31,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2021-10-25,6085.0
V3,140710,2024-01-05,2024-01-08,5250.0,2025-10-10,2025-10-13,5580.0,SOFT_EXIT,REALIZED,6.29,21.81,-16.38,427,15.52,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2025-10-13,5580.0
V3,140710,2026-01-16,2026-01-19,6640.0,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,-4.82,18.75,-13.1,145,23.57,3,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-08-21,6320.0
V4,140710,2017-06-30,2017-07-03,3740.0,2017-09-25,2017-09-26,3130.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-16.31,0.0,-16.31,61,16.31,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2017-09-26,3130.0
V4,140710,2019-01-18,2019-01-21,3105.0,2019-08-07,2019-08-08,2665.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-14.17,12.72,-16.59,137,26.89,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2019-08-08,2665.0
V4,140710,2020-06-05,2020-06-08,3570.0,2021-11-05,2021-11-08,5915.0,WINNER_SOFT_WATCH_EXIT,REALIZED,65.69,113.73,-14.43,352,48.04,3,PATTERN_A_FAST_FINAL_STRATEGY_V04,2021-11-08,5915.0
V4,140710,2024-01-05,2024-01-08,5250.0,2024-04-16,2024-04-17,4425.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-15.71,1.71,-16.1,69,17.42,4,PATTERN_A_FAST_FINAL_STRATEGY_V04,2024-04-17,4425.0
V4,140710,2025-01-24,2025-01-31,5500.0,2025-04-09,2025-04-10,4860.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-11.64,1.82,-15.27,49,13.46,5,PATTERN_A_FAST_FINAL_STRATEGY_V04,2025-04-10,4860.0
V4,140710,2025-08-01,2025-08-04,5765.0,2026-06-05,2026-06-08,5870.0,WINNER_HARD_EXIT,REALIZED,1.82,36.77,-4.68,204,34.95,6,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-06-08,5870.0
Julia,140710,2017-06-30,2017-07-03,3740.0,2021-03-31,2021-04-01,6095.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,62.97,77.54,-50.27,920,14.57,1,JULIA_STRATEGY_V00,2021-04-01,6095.0
Julia,140710,2024-01-05,2024-01-08,5250.0,,,,NO_PROGRESSED_BEFORE_CUTOFF,OPEN_AT_CUTOFF,20.38,50.19,-16.38,638,29.81,2,JULIA_STRATEGY_V00,2026-08-21,6320.0
