ticker,isu_cd,market,first_common_date,last_common_date,canonical_adjusted_date_min,canonical_metadata_requested_start,raw_pre_boundary_present,raw_pre_boundary_first_date,raw_pre_boundary_last_date,raw_pre_boundary_session_count,corporate_action_detected,corporate_action_type,pre_boundary_identity,post_boundary_identity,ticker_code_continued,economic_identity_continued,identity_boundary_date,classification,authority_basis,authority_artifact,confidence_status
012210,KR7012210001,KOSDAQ,2025-12-29,2026-08-21,2025-12-29,2025-12-29,True,2023-05-16,2025-12-26,520,False,NONE,,삼미금속,True,,2025-12-29,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
044990,KR7044990000,KOSDAQ,2024-10-25,2026-08-21,2024-10-25,2024-10-25,True,2021-08-17,2024-10-24,551,False,NONE,,에이치엔에스하이텍,True,,2024-10-25,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
067370,KR7067370007,KOSDAQ,2022-10-05,2026-08-21,2022-10-05,2022-10-05,True,2021-08-17,2022-10-04,278,False,NONE,,선바이오,True,,2022-10-05,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
084440,KR7084440007,KOSDAQ,2022-11-18,2026-08-21,2022-11-18,2022-11-18,True,2021-08-17,2022-11-17,296,False,NONE,,유비온,True,,2022-11-18,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
107640,KR7107640005,KOSDAQ,2024-06-24,2026-08-21,2024-06-24,2024-06-24,True,2021-08-17,2024-06-21,700,False,NONE,,한중엔시에스,True,,2024-06-24,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
148780,KR7148780000,KOSDAQ,2022-06-20,2026-08-21,2022-06-20,2022-06-20,True,2021-08-17,2022-06-17,205,False,NONE,,비큐AI,True,,2022-06-20,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
176750,KR7176750008,KOSDAQ,2024-12-20,2026-08-21,2024-12-20,2024-12-20,True,2021-08-17,2024-12-19,822,False,NONE,,듀켐바이오,True,,2024-12-20,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
199800,KR7199800004,KOSDAQ,2021-12-10,2026-08-21,2021-12-10,2021-12-10,True,2021-08-17,2021-12-09,78,False,NONE,,툴젠,True,,2021-12-10,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
200350,KR7200350007,KOSDAQ,2021-12-30,2026-08-21,2021-12-30,2021-12-30,True,2021-08-17,2021-12-29,92,False,NONE,,아티스트스튜디오,True,,2021-12-30,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
203400,KR7203400007,KOSDAQ,2021-09-08,2026-08-21,2021-09-08,2021-09-08,True,2021-08-17,2021-09-07,16,False,NONE,,에이비온,True,,2021-09-08,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
210120,KR7210120002,KOSDAQ,2023-08-17,2026-08-21,2023-08-17,2023-08-17,True,2021-08-17,2023-08-16,494,False,NONE,,캔버스엔,True,,2023-08-17,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
211050,KR7211050000,KOSDAQ,2022-02-16,2026-08-21,2022-02-16,2022-02-16,True,2021-08-17,2022-02-15,122,False,NONE,,인카금융서비스,True,,2022-02-16,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
221800,KR7221800006,KOSDAQ,2023-11-02,2026-08-21,2023-11-02,2023-11-02,True,2021-08-17,2023-11-01,544,False,NONE,,지구홀딩스,True,,2023-11-02,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
232830,KR7232830000,KOSDAQ,2023-06-29,2026-08-21,2023-06-29,2023-06-29,True,2021-08-17,2023-06-28,460,False,NONE,,아이티센피엔에스,True,,2023-06-29,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
246250,KR7246250005,KOSDAQ,2023-10-20,2026-08-21,2023-10-20,2023-10-20,True,2021-08-17,2023-10-19,535,False,NONE,,에스엘에스바이오,True,,2023-10-20,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
260970,KR7260970009,KOSDAQ,2021-09-29,2026-08-21,2021-09-29,2021-09-29,True,2021-08-17,2021-09-28,28,False,NONE,,에스앤디,True,,2021-09-29,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
291230,KR7291230001,KOSDAQ,2021-08-20,2026-08-21,2021-08-20,2021-08-20,True,2021-08-17,2021-08-19,3,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,삼성기업인수목적2호,컴투스엔,True,False,2021-08-20,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
303360,KR7303360002,KOSDAQ,2023-06-16,2026-08-21,2023-06-16,2023-06-16,True,2021-08-17,2023-06-15,451,False,NONE,,프로티아,True,,2023-06-16,NO_ACTION_REQUIRED,KRX Tier-A authority has one COMMON interval with lifecycle_transition_present=false; no same-identity repair authority is present,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_corrected_effective_authority/effective_historical_common_population.json,NOT_APPLICABLE
307870,KR7307870006,KOSDAQ,2021-11-18,2026-08-21,2021-11-18,2021-11-18,True,2021-08-17,2021-11-17,62,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,골든브릿지이안제5호기업인수목적 / 상상인이안제1호기업인수목적,비투엔,True,False,2021-11-18,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
310870,KR7310870001,KOSDAQ,2021-12-14,2026-08-21,2021-12-14,2021-12-14,True,2021-09-01,2021-12-13,69,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,한국제8호기업인수목적,디와이씨,True,False,2021-12-14,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
321260,KR7321260002,KOSDAQ,2021-10-27,2026-08-21,2021-10-27,2021-10-27,True,2021-08-17,2021-10-26,46,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,유진기업인수목적4호,프로이천,True,False,2021-10-27,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
323280,KR7323280008,KOSDAQ,2022-06-30,2026-08-21,2022-06-30,2022-06-30,True,2021-08-17,2022-06-29,163,True,SPAC_TO_COMMON_IDENTITY_TRANSITION,신영해피투모로우제5호기업인수목적,태성,True,False,2022-06-30,IDENTITY_BOUNDARY_EXPECTED,KRX Tier-A SPAC lifecycle intervals + official issue-name markers + PIT first_common_date,artifacts/data/end_to_end_data_parity/v01/survivorship_safe_denominator_freeze/v01_spac_prelabel_lifecycle_correction_v01/spac_authority_evidence.json,PROVEN
