ticker,candidate_rank,rcept_no,report_nm,probe_request_id,source,evidence_origin,retrieval_mode,http_status,transport_response_sha256,archive_detected,extracted_member_sha256,canonical_raw_sha256,event_node_path,timing_node_path,binding_relationship,authority_valid,validation_reason
003670,11,20210111000364,[기재정정]주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,12,20210111000245,[기재정정]특수관계인의유상증자참여,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,13,20201207000015,[기재정정]주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,14,20201106000339,[기재정정]주요사항보고서(유상증자결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,15,20210111000395,[발행조건확정]증권신고서(지분증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,16,20201207000019,[발행조건확정]증권신고서(지분증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,17,20201106000377,증권신고서(지분증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
003670,18,20201117000218,[기재정정]증권신고서(지분증권),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,1,20150902000259,증권발행실적보고서(합병등),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,2,20150526000696,[첨부추가]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,3,20150618000357,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,4,20150611000338,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,5,20150603000301,[기재정정]증권신고서(합병),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,6,20150526800003,회사합병결정,,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,7,20150526000677,주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,8,20150619000436,[기재정정]주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,9,20150612000450,[기재정정]주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
028260,10,20150608000390,[기재정정]주요사항보고서(합병결정),,,,,200,7facdcd1154ee2da86363c2e8e5955358ea72c319f98211980a12d93d38e91fd,False,,,,,,False,EMPTY_OR_UNUSABLE_DOCUMENT
