strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,102960,2022-08-26,2022-08-29,5770.0,2022-09-28,2022-09-29,4930.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-14.56,3.12,-16.46,22,17.68,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2022-09-29,4930.0
V2,102960,2022-11-04,2022-11-07,5510.0,2025-10-31,2025-11-03,15695.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,184.85,190.2,-12.25,730,5.35,2,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-11-03,15695.0
V3,102960,2022-08-26,2022-08-29,5770.0,2023-05-12,2023-05-15,6305.0,SOFT_EXIT,REALIZED,9.27,21.84,-18.11,176,12.57,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2023-05-15,6305.0
V3,102960,2024-07-12,2024-07-15,7305.0,2026-06-23,2026-06-24,15570.0,SOFT_EXIT,REALIZED,113.14,201.16,-18.14,471,88.02,2,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-06-24,15570.0
V4,102960,2022-08-26,2022-08-29,5770.0,2023-09-25,2023-09-26,6830.0,WINNER_HARD_EXIT,REALIZED,18.37,58.93,-18.11,269,40.56,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2023-09-26,6830.0
V4,102960,2024-07-12,2024-07-15,7305.0,2026-07-08,2026-07-09,13355.0,WINNER_HARD_EXIT,REALIZED,82.82,201.16,-18.14,482,118.34,2,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-07-09,13355.0
Julia,102960,2022-08-26,2022-08-29,5770.0,2025-10-31,2025-11-03,15695.0,EXIT4_SCORE_DRAWDOWN_GE_15,REALIZED,172.01,177.12,-18.11,776,5.11,1,JULIA_STRATEGY_V00,2025-11-03,15695.0
