candidate_id,ticker,isu_cd,corp_code,requested_as_of,rcept_no,rcept_dt,reprt_code,endpoint,http_status,content_type,response_byte_length,status,classification,error_type,retry_count,known_good_control_result,diagnostic_classification,final_classification,future_filing_used,request_url_redacted
001740|KR7001740000|KOSPI|2021-07-02,001740,KR7001740000,00131780,2021-07-02,20210322000867,2021-03-22,11011,fnlttXbrl.xml,,"",0,,EMPTY_RESPONSE,URLError,1,NOT_APPLICABLE,OPENDART_TRANSPORT_FAILURE,EVALUATION_ERROR,false,"https://opendart.fss.or.kr/api/fnlttXbrl.xml?rcept_no=20210322000867&reprt_code=11011&crtfc_key=%3CREDACTED%3E"
KNOWN_GOOD_CONTROL,001740,KR7001740000,00131780,2021-07-02,20210517000579,2021-05-17,11013,fnlttXbrl.xml,,"",0,,EMPTY_RESPONSE,URLError,0,BLOCKED_OPENDART_TRANSPORT,OPENDART_TRANSPORT_FAILURE,NOT_APPLICABLE,false,"https://opendart.fss.or.kr/api/fnlttXbrl.xml?rcept_no=20210517000579&reprt_code=11013&crtfc_key=%3CREDACTED%3E"
