snapshot_date,ticker,name,category,official_stage,manual_stage_fit,candidate_stage,ma6,ma12,ma24,ma24_slope,weekly_ma12_slope,ma24_slope_acceleration,avg_price_change_12m,range_position,distance_to_resistance,ma_spread,ma_spread_ratio,ma_order_bullish,ma_order_bearish,core_led,weekly_led,transition_eligibility,previously_expanded_before_snapshot,current_episode_terminated,current_strict_expansion,previously_expanded_after_snapshot,provenance_extractor
2026-08-14,003100,선광,TRANS_MATCH,transition,MATCH,transition,20818.333333333332,20075.0,18450.833333333332,0.014618275135184655,-0.07411517577583127,-0.011719792779404825,0.19304675118858947,0.3151105651105651,0.36617405582922824,0.12266839378238342,2.044937882713144,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,003800,에이스침대,TRANS_MATCH,transition,MATCH,transition,33158.333333333336,31462.5,29010.416666666668,0.025480521393328015,-0.009609224855861576,-0.01163854986612356,0.1846564166928146,0.5562310030395137,0.18318695106649938,0.12743215565796215,5.635333105763215,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,004590,한국가구,TRANS_MATCH,transition,MATCH,transition,5302.5,5114.166666666667,4725.0,0.0401284109149278,-0.07940799772306817,0.013624315255385433,0.17951182010378644,0.3148854961832061,0.4179278230500582,0.1155,1.0715135869565207,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,005670,푸드웰,TRANS_MATCH,transition,MATCH,transition,6118.333333333333,6520.0,5838.333333333333,0.009582822969954607,-0.02768750812426879,-0.022351449679586466,0.264382676147382,0.2609457092819615,0.41291585127201563,0.11361111111111116,5.425415244596148,False,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,007390,네이처셀,TRANS_MATCH,transition,MATCH,transition,22268.333333333332,22421.666666666668,22367.916666666668,0.08791164251697237,0.04315712771595126,0.017381855559884585,0.004817567315233222,0.4656606097936557,0.4409148665819568,0.00696969696969708,0.02242245856558456,False,False,True,True,True,True,False,False,True,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,008370,원풍,TRANS_MATCH,transition,MATCH,transition,4987.5,4948.75,4662.916666666667,0.010793478751750074,-0.023426427678199357,-0.013823614395258366,0.13060447405997153,0.5318627450980392,0.16637630662020905,0.06783350748867983,1.8399219987440456,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,013030,하이록코리아,TRANS_MATCH,transition,MATCH,transition,36058.333333333336,34787.5,31075.0,0.02059527882312695,-0.08236253494874168,-0.03578347072512034,0.271356783919598,0.35797665369649806,0.34303534303534305,0.15770042194092834,2.555269599272681,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,017650,대림제지,TRANS_MATCH,transition,MATCH,transition,9245.0,8415.0,7612.916666666667,0.01992854750474482,0.0035551504102095954,0.003473713187904126,0.2355316285329745,0.6831275720164609,0.14012738853503184,0.17270723104056435,1.6391903123097797,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,017890,한국알콜,TRANS_MATCH,transition,MATCH,transition,12336.666666666666,11208.333333333334,10147.916666666666,0.02672737237047329,0.020079260237780838,0.007959119492960687,0.23337918386061446,0.8265027322404371,0.08610169491525424,0.16237017804154302,1.6817773403795688,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,036190,금화피에스시,TRANS_MATCH,transition,MATCH,transition,34741.666666666664,33195.833333333336,30341.666666666668,0.02361540624121461,-0.0383612662942272,-0.022945829507222237,0.20767015309989398,0.4641025641025641,0.24588235294117647,0.13728549141965668,2.833316134201786,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,000050,경방,TRANS_MATCH,transition,MATCH,transition,9008.333333333334,8400.0,7534.166666666667,0.012203313927451998,-0.056594860166288674,-0.014463352739214619,0.2596850787303175,0.2675760755508919,0.4589086127547666,0.17912110166059136,1.723727286163279,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,000370,한화손해보험,TRANS_MATCH,transition,MATCH,transition,6413.333333333333,6007.5,5351.458333333333,0.01892106307021013,-0.03278258589037497,-0.03417221567994644,0.27943916940278635,0.28212290502793297,0.4759259259259259,0.18761042402826855,16.47778362529126,True,False,True,False,True,True,False,False,True,build_historical_snapshot_and_lifecycle_stream_v02
2026-08-14,000850,화천기공,TRANS_MATCH,transition,MATCH,transition,35891.666666666664,34808.333333333336,31758.333333333332,0.014508185811260343,-0.03600654664484437,-0.009968530627002536,0.21248185776487677,0.3171355498721228,0.2976588628762542,0.13121693121693118,2.5983945923109415,True,False,True,False,True,False,False,False,False,build_historical_snapshot_and_lifecycle_stream_v02
