ticker,sequences,count
138930,[1],1
139130,[1],1
139480,[1],1
140410,[1],1
140860,[1],1
144960,"[1, 2, 3]",3
145020,"[1, 2, 3]",3
145990,[1],1
146320,[1],1
160980,[1],1
161390,[1],1
161890,[1],1
166090,[1],1
170900,"[1, 2]",2
170920,[1],1
171090,[1],1
174900,[1],1
176750,[1],1
178320,[1],1
178920,[1],1
181710,[1],1
183190,[1],1
187870,[1],1
190510,[1],1
192080,[1],1
192400,[1],1
192440,[1],1
194370,[1],1
194480,[1],1
194700,[1],1
195870,[1],1
195940,"[1, 2]",2
200670,"[1, 2, 3]",3
200880,[1],1
203650,"[1, 2]",2
204270,[1],1
204320,"[1, 2]",2
204620,[1],1
207940,"[1, 2, 3]",3
210540,[1],1
212560,[1],1
213420,"[1, 2]",2
214150,[1],1
214180,[1],1
214320,"[1, 2]",2
214430,[1],1
215200,[1],1
216080,[1],1
217730,[1],1
218410,[1],1
219130,[1],1
220260,[1],1
222040,[1],1
226320,[1],1
226950,[1],1
228760,[1],1
232140,[1],1
232680,"[1, 2]",2
234080,[1],1
234690,[1],1
236200,"[1, 2]",2
237690,"[1, 2]",2
240810,[1],1
241560,"[1, 2]",2
241710,[1],1
241770,[1],1
244920,[1],1
249420,[1],1
251270,[1],1
251370,[1],1
252990,[1],1
253590,[1],1
254490,[1],1
256840,[1],1
256940,[1],1
259630,[1],1
263750,"[1, 2]",2
264450,[1],1
264660,"[1, 2]",2
264850,[1],1
265740,[1],1
267250,[1],1
267270,"[1, 2]",2
267290,[1],1
267320,[1],1
268280,[1],1
271560,"[1, 2, 3]",3
272110,[1],1
272210,"[1, 2]",2
274090,[1],1
277810,[1],1
281820,[1],1
282330,"[1, 2, 3]",3
285130,[1],1
290550,[1],1
290650,"[1, 2]",2
293480,[1],1
294870,"[1, 2]",2
298020,"[1, 2]",2
298380,"[1, 2]",2
300720,[1],1
306200,"[1, 2]",2
307950,[1],1
310200,[1],1
316140,"[1, 2]",2
317400,[1],1
319400,[1],1
319660,[1],1
323410,[1],1
326030,[1],1
331920,[1],1
333430,[1],1
334970,[1],1
336260,[1],1
339950,[1],1
348210,[1],1
348340,[1],1
352820,"[1, 2]",2
353810,[1],1
356860,[1],1
357780,[1],1
361390,"[1, 2]",2
362320,[1],1
365270,[1],1
366030,[1],1
368770,[1],1
373220,[1],1
375500,[1],1
376300,[1],1
381970,[1],1
383220,"[1, 2]",2
383800,"[1, 2]",2
388050,[1],1
389500,[1],1
397030,[1],1
403870,"[1, 2]",2
417840,[1],1
453340,"[1, 2]",2
950190,[1],1
950210,[1],1
