layer,market,tier,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,median_return_first,median_return_second,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_100_rate_pct_first,ge_100_rate_pct_second,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,return_auc,panel_favorable,loss_30_count,loss_50_count,deep_loss_generalizable
ELIGIBLE,KOSPI,A_EVALUABLE,213,74,34.6344,10.1305,24.5039,7.56,-14.61,31.4554,18.9189,15.0235,6.7568,0.939,2.7027,0.4695,1.3514,0.6056,True,4,2,False
ELIGIBLE,KOSDAQ,B_DESCRIPTIVE,60,15,11.6908,2.3007,9.3901,-13.915,-15.15,21.6667,13.3333,6.6667,6.6667,3.3333,6.6667,0.0,6.6667,0.56,True,4,1,False
FILLED,KOSPI,A_EVALUABLE,113,32,34.8085,4.3528,30.4557,5.62,-14.445,28.3186,12.5,16.8142,9.375,1.7699,3.125,0.885,3.125,0.6121,True,3,2,False
FILLED,KOSDAQ,C_TOO_SMALL,25,5,4.0628,4.768,-0.7052,-14.17,-15.11,16.0,20.0,0.0,0.0,8.0,0.0,0.0,0.0,0.592,False,3,0,False
