layer,market,tier,first_n,second_n,mean_return_first,mean_return_second,mean_return_diff,median_return_first,median_return_second,ge_50_rate_pct_first,ge_50_rate_pct_second,ge_100_rate_pct_first,ge_100_rate_pct_second,le_neg_30_rate_pct_first,le_neg_30_rate_pct_second,le_neg_50_rate_pct_first,le_neg_50_rate_pct_second,return_auc,panel_favorable,loss_30_count,loss_50_count,deep_loss_generalizable
ELIGIBLE,KOSPI,A_EVALUABLE,81,56,24.838,11.3845,13.4535,12.19,-6.765,20.9877,16.0714,9.8765,3.5714,0.0,5.3571,0.0,0.0,0.5743,True,3,0,False
ELIGIBLE,KOSDAQ,B_DESCRIPTIVE,17,13,29.3082,-19.1554,48.4636,31.38,-16.89,29.4118,0.0,5.8824,0.0,0.0,30.7692,0.0,0.0,0.8462,True,5,0,False
FILLED,KOSPI,A_EVALUABLE,48,28,25.9656,4.66,21.3056,14.155,-14.505,18.75,10.7143,12.5,7.1429,0.0,7.1429,0.0,0.0,0.6287,True,2,0,False
FILLED,KOSDAQ,C_TOO_SMALL,7,5,17.0671,-22.45,39.5171,17.54,-15.11,14.2857,0.0,0.0,0.0,0.0,40.0,0.0,0.0,0.8286,True,3,0,False
