sample_id,ticker,name,reference_date,outcome_review_end,fast_trigger_event_sequence,fast_trigger_event_date,fast_score_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_weeks,censor_status
INV_OOS_B_002,281740,레이크머티리얼즈,2023-03-31,2024-05-03,1,2023-04-14,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_002,281740,레이크머티리얼즈,2023-03-31,2024-05-03,2,2023-06-16,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_002,281740,레이크머티리얼즈,2023-03-31,2024-05-03,3,2024-02-23,79.57,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_004,064350,현대로템,2022-09-30,2023-10-20,1,2023-04-21,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_004,064350,현대로템,2022-09-30,2023-10-20,2,2023-06-23,,UNAVAILABLE,,,,,DATA_UNAVAILABLE,,DATA_UNAVAILABLE
INV_OOS_B_030,010620,현대미포조선,2023-03-31,2024-05-03,1,2023-07-07,77.99,READY,True,2023-06-30,2023-06-16,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_030,010620,현대미포조선,2023-03-31,2024-05-03,2,2023-09-01,76.04,READY,True,2023-08-25,2023-06-16,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_024,004020,현대제철,2024-12-27,2026-01-16,1,2025-03-07,72.31,READY,False,,,2025-06-27,FAST_EARLIER_PATTERN_A_LATER,16.0,NOT_CENSORED
INV_OOS_B_024,004020,현대제철,2024-12-27,2026-01-16,2,2025-07-04,77.99,READY,True,2025-06-27,2025-06-27,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
INV_OOS_B_024,004020,현대제철,2024-12-27,2026-01-16,3,2025-09-05,75.49,READY,True,2025-08-29,2025-06-27,,PATTERN_A_ALREADY_ACTIVE,,NOT_CENSORED
