review_order,sample_id,ticker,name,historical_market,reference_date,outcome_review_end,human_stage,human_stage_confidence,human_trigger_event_observed,human_trigger_event_date,stage_review_status,human_outcome_label,human_outcome_confidence,outcome_review_status
1,INV_OOS_B_002,281740,레이크머티리얼즈,KOSDAQ,2023-03-31,2024-05-03,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
2,INV_OOS_B_004,064350,현대로템,KOSPI,2022-09-30,2023-10-20,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
3,INV_OOS_B_030,010620,현대미포조선,KOSPI,2023-03-31,2024-05-03,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
4,INV_OOS_B_024,004020,현대제철,KOSPI,2024-12-27,2026-01-16,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
5,INV_OOS_B_031,270520,지오릿에너지,KOSDAQ,2024-03-29,2025-03-28,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
6,INV_OOS_B_007,036710,심텍홀딩스,KOSDAQ,2023-06-30,2024-07-26,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
7,INV_OOS_B_005,000720,현대건설,KOSPI,2021-06-25,2022-07-01,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
8,INV_OOS_B_008,200130,콜마비앤에이치,KOSDAQ,2023-12-22,2025-01-10,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
9,INV_OOS_B_023,125210,아모그린텍,KOSDAQ,2023-03-31,2024-05-03,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
10,INV_OOS_B_010,022100,포스코DX,KOSPI,2024-09-27,2025-10-17,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
11,INV_OOS_B_009,402030,코난테크놀로지,KOSDAQ,2025-06-27,2026-07-24,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
12,INV_OOS_B_018,033780,KT&G,KOSPI,2023-09-22,2024-10-18,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
13,INV_OOS_B_006,138040,메리츠금융지주,KOSPI,2025-06-27,2025-12-30,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
14,INV_OOS_B_034,005850,에스엘,KOSPI,2021-06-25,2022-07-01,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
15,INV_OOS_B_028,217330,싸이토젠,KOSDAQ,2024-03-29,2025-03-28,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
16,INV_OOS_B_016,256940,케이피에스,KOSDAQ,2022-12-23,2024-01-19,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
17,INV_OOS_B_022,010140,삼성중공업,KOSPI,2024-03-29,2025-03-28,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
18,INV_OOS_B_027,084370,유진테크,KOSDAQ,2024-12-27,2026-01-16,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
19,INV_OOS_B_033,018880,한온시스템,KOSPI,2022-12-23,2024-01-19,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
20,INV_OOS_B_035,222080,씨아이에스,KOSDAQ,2025-03-28,2026-04-17,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
21,INV_OOS_B_011,048410,현대바이오,KOSDAQ,2024-09-27,2025-10-17,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
22,INV_OOS_B_012,214320,이노션,KOSPI,2023-12-22,2025-01-10,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
23,INV_OOS_B_003,060230,소니드,KOSDAQ,2023-06-30,2024-07-26,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
24,INV_OOS_B_029,002350,넥센타이어,KOSPI,2024-06-28,2025-07-04,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
25,INV_OOS_B_013,119830,아이텍,KOSDAQ,2024-06-28,2025-07-04,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
26,INV_OOS_B_020,271560,오리온,KOSPI,2023-12-22,2025-01-10,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
27,INV_OOS_B_021,214150,클래시스,KOSDAQ,2021-06-25,2022-07-01,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
28,INV_OOS_B_001,178920,PI첨단소재,KOSPI,2023-06-30,2024-07-26,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
29,INV_OOS_B_026,101530,해태제과식품,KOSPI,2024-09-27,2025-10-17,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
30,INV_OOS_B_015,079940,가비아,KOSDAQ,2024-12-27,2026-01-16,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
31,INV_OOS_B_025,028050,삼성엔지니어링,KOSPI,2022-03-25,2023-04-07,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
32,INV_OOS_B_019,051900,LG생활건강,KOSPI,2025-06-27,2026-07-24,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
33,INV_OOS_B_036,086520,에코프로,KOSDAQ,2021-03-26,2022-04-29,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
34,INV_OOS_B_032,005180,빙그레,KOSPI,2024-06-28,2025-07-04,UNLABELED,UNLABELED,UNLABELED,,PENDING,UNLABELED,UNLABELED,PENDING
