sample_id,asset_type,file_path,sha256,data_start,data_end,reference_date,human_exposure_phase
INV_OOS_B_034,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/034_INV_OOS_B_034_daily.png,0a314c4ba0df60bde47bea242ff3f943ba1465f5032483a4dc8b2bfa817cfa1a,2014-05-26,2021-06-25,2021-06-25,PASS_A
INV_OOS_B_034,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/034_INV_OOS_B_034_outcome.png,de36365fe0350c9e6f321077f80cd11a45d968a591c12cd628dbf0d3957a20c4,2021-06-25,2022-07-01,2021-06-25,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_035,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/035_INV_OOS_B_035_monthly.png,e6b59c28930b16f8e7de70f68f02d29022d9ccf0468538483fd8dafedc5898e2,2021-08-31,2025-02-28,2025-03-28,PASS_A
INV_OOS_B_035,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/035_INV_OOS_B_035_weekly.png,a167478dc47c525f12f1cfb0056f8764ab50ce6eb0ceac01838cc6515c02c084,2021-08-20,2025-03-28,2025-03-28,PASS_A
INV_OOS_B_035,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/035_INV_OOS_B_035_daily.png,d1cb880745fe877cd23429195ab543ea4b2b05f3cba0bfef19e9ba7f6eee1d32,2021-08-17,2025-03-28,2025-03-28,PASS_A
INV_OOS_B_035,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/035_INV_OOS_B_035_outcome.png,a5b957a9410267d43b06c082ebb2fdd45f79d68f7a80b12dcd8529be141341a0,2025-03-28,2026-04-17,2025-03-28,PASS_B_AFTER_STAGE_FREEZE
INV_OOS_B_036,MONTHLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/036_INV_OOS_B_036_monthly.png,4c3df43f99d67d0455e2467c6c7bdf3214238108eadabd1634ace2e5b6c18fa5,2014-05-31,2021-02-28,2021-03-26,PASS_A
INV_OOS_B_036,WEEKLY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/036_INV_OOS_B_036_weekly.png,f6794654a7b0150fcfb069b3d2788b3b4a6d1ae745dab7d4074ccc17d43bf486,2014-05-30,2021-03-26,2021-03-26,PASS_A
INV_OOS_B_036,DAILY_STAGE_BLIND,artifacts/pattern_a_fast/investable_oos/charts/stage_blind/036_INV_OOS_B_036_daily.png,08a3de940f905ca3a8526b2ef88c301796a545cb1cc90a34541522ccf6900d29,2014-05-26,2021-03-26,2021-03-26,PASS_A
INV_OOS_B_036,OUTCOME_BLIND,artifacts/pattern_a_fast/investable_oos/charts/outcome_blind/036_INV_OOS_B_036_outcome.png,440c0dd535dcb676d105d5f35e28ee8e0c5a0fb521acda9a202db956d7e0f23d,2021-03-26,2022-04-29,2021-03-26,PASS_B_AFTER_STAGE_FREEZE
