source_provider,source_product,source_screen_id,requested_date,effective_date,retrieved_at,source_file,sha256,row_count,raw_schema,normalization_version,normalized_file,normalized_sha256,retrieval_status
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2022-09-30,2022-09-30,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20220930.csv,56f8db25046286b84cb215ea8de6a08e6353dda7256633598df17649fd1ae635,2651,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20220930.csv,ebf8d576432f8c2c02a2d7f0b602b8b32d00006b57f9c6141f41349c853499e7,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2022-12-30,2022-12-29,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20221229.csv,ae41be63b7d128b31c8a032ef70b6e6c6b558f14f77ba01a6a97c4173073be48,2690,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20221229.csv,4e0c292c4167763ce600ed4246019c1910b407343cad154af1b13465e8d70441,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2023-03-31,2023-03-31,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20230331.csv,8a83a5d90f58327610cfa5c54a64b7722d26e0b5dd33cc1613953489adb36b05,2712,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20230331.csv,d70fc40fe2ba55f5aed5b1a0d618b117e31ce8e91f59096a5c864891f651cfae,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2023-06-30,2023-06-30,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20230630.csv,5d72e4b9e3ba72f5eaeb190da0a01a44fa1824450fd78ef48e34ccd213e28504,2730,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20230630.csv,d78caa7c9ee7520e0d2bdf66679f68e422ada0e624859ab1b4ccd1de51a44a80,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2023-09-22,2023-09-22,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20230922.csv,94cf07875733ce91c965712da2977e00a85eebaeaf74f320809f9b5dc9e5dc37,2752,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20230922.csv,1bcc959f992b6bd45f6800a50a82493383870bc861a8b00281e4bb55969569d6,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2023-12-29,2023-12-28,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20231228.csv,71dfb552e5ede47a45daec69b78f743fa638345df547302a6760ca0932bcabc6,2787,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20231228.csv,2df08979d9aabebe02a84ca63ef877ed47dc0c0839c35dfb12df0d241269bb1e,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2024-03-29,2024-03-29,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20240329.csv,e8c952d0ddc23221f8c389132a42f810dcb3b063c7ad018d036b854e506aabfe,2802,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20240329.csv,7f48e4a11bcc9164292ffa3daf280ea0b0becf37f903603cb92de4af80a02d05,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2024-06-28,2024-06-28,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20240628.csv,a9568c837d83f097f8104345fea359ff3230b3cbe58babc116a78bf5d3990762,2817,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20240628.csv,a0bcbc0f839b8d300eb388b3feffafd8e9797187e8c01d9831903f3b8a44f792,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2024-09-27,2024-09-27,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20240927.csv,d3af764c0090af1ce642f0afaa8eb48f13197e1559ebef98adb438d4af9fa2c2,2834,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20240927.csv,22b3e9f39f051377e09e56515b13235f11d002181c490b6abb5e97ae00306227,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2024-12-27,2024-12-27,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20241227.csv,39359486da9f40e9a7eb0ca3a20a1ebdf7ae4123cce309751f99571f78cdb126,2866,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20241227.csv,b101e057a76a7813fb1319f530b3608509abb820702b932f7f2135809a6fe2d5,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2025-03-28,2025-03-28,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20250328.csv,3475f30c8b46faf16edb969b358a842bc4b248249a3e469f6276dbfbc9028813,2879,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20250328.csv,4c48123e0e842851d27d257d05ee23a3377f44cedd4b01e08fd43ebf6e120e39,SUCCESS
KRX,ALL_STOCK_MARKET_DATA,MDC0201020101,2025-06-27,2025-06-27,2026-08-18T12:44:34+00:00,artifacts/investability/history/source/krx_market_cap_20250627.csv,2ce977814ec85892eed7a4f3d4f8de7ad3ea6ee0119341c50595043eca4b2243,2875,종목코드|종목명|시장구분|종가|거래량|거래대금|시가총액|상장주식수,KRX_ALL_STOCK_UI_EXPORT_NORMALIZED_V01,artifacts/investability/history/normalized/krx_market_cap_20250627.csv,fd9082ce456ab6213a26a1a48890de059c99da9000cde31df9201f0a31f379c9,SUCCESS
