source_api,idx_class,idx_name,has_close,has_ohlc,has_volume,has_trading_value,has_market_cap,classification,candidate_role
krx_dd_trd,KRX,코리아 밸류업 지수,True,True,True,True,True,THEMATIC,INVENTORY_ONLY
krx_dd_trd,KRX,KRX TMI,True,True,True,True,True,BROAD_MARKET,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 300,True,True,True,True,True,BROAD_MARKET,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 중대형 TMI,True,True,True,True,True,SIZE_STYLE,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 중형 TMI,True,True,True,True,True,SIZE_STYLE,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 소형 TMI,True,True,True,True,True,SIZE_STYLE,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 초소형 TMI,True,True,True,True,True,SIZE_STYLE,INVENTORY_ONLY
krx_dd_trd,KRX,KTOP 30,True,True,True,True,True,BROAD_MARKET,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 100,True,True,True,True,True,BROAD_MARKET,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 자동차,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 반도체,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 헬스케어,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 은행,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 에너지화학,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 철강,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 방송통신,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 건설,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
krx_dd_trd,KRX,KRX 증권,True,True,True,True,True,SECTOR_INDUSTRY,INVENTORY_ONLY
