market,ticker,name,listing_date,historical_present,current_present,expected,classification
KOSPI,279570,케이뱅크보통주,20260305,False,True,ABSENT_THEN_PRESENT,PASS
KOSPI,000020,동화약품보통주,19760324,True,True,SURVIVOR,PASS
KOSPI,000040,KR모터스보통주,19760525,True,True,SURVIVOR,PASS
KOSPI,000050,경방보통주,19560303,True,True,SURVIVOR,PASS
KOSDAQ,950260,인제니아테라퓨틱스(Reg.S),20260818,False,True,ABSENT_THEN_PRESENT,PASS
KOSDAQ,000250,삼천당제약,20001004,True,True,SURVIVOR,PASS
KOSDAQ,000440,중앙에너비스,19930324,True,True,SURVIVOR,PASS
KOSDAQ,001000,신라섬유,19940628,True,True,SURVIVOR,PASS
