portfolio,signal_id,ticker,isu_cd,market,name,signal_date,scheduled_execution_date,fast_score,pattern_score,ranking,execution_result
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_039840_KR7039840004_KOSDAQ_01,039840,KR7039840004,KOSDAQ,디오,2021-07-16,2021-07-19,80.24,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_010130_KR7010130003_KOSPI_01,010130,KR7010130003,KOSPI,고려아연,2021-07-23,2021-07-26,77.99,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_099190_KR7099190001_KOSDAQ_01,099190,KR7099190001,KOSDAQ,아이센스,2021-07-23,2021-07-26,77.99,,2,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_003410_KR7003410008_KOSPI_01,003410,KR7003410008,KOSPI,쌍용C&E,2021-07-30,2021-08-02,82.05,,1,SKIP_INSUFFICIENT_CASH
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_003800_KR7003800000_KOSDAQ_01,003800,KR7003800000,KOSDAQ,에이스침대,2021-08-20,2021-08-23,79.42,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_010120_KR7010120004_KOSPI_01,010120,KR7010120004,KOSPI,LS ELECTRIC,2021-08-20,2021-08-23,78.49,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_039840_KR7039840004_KOSDAQ_02,039840,KR7039840004,KOSDAQ,디오,2021-08-20,2021-08-23,75.49,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_069260_KR7069260008_KOSPI_01,069260,KR7069260008,KOSPI,TKG휴켐스,2021-08-27,2021-08-30,80.24,,1,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_100120_KR7100120005_KOSDAQ_01,100120,KR7100120005,KOSDAQ,뷰웍스,2021-08-27,2021-08-30,78.49,,2,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_000880_KR7000880005_KOSPI_01,000880,KR7000880005,KOSPI,한화,2021-08-27,2021-08-30,77.99,,3,EXECUTED
PORTFOLIO_A_NO_PARTIAL_PROFIT,PATTERN_A_FAST_FINAL_STRATEGY_V02_FUNDAMENTALS_ABC_JULIA_NO_LOSS_GUARD_V01_041830_KR7041830001_KOSDAQ_02,041830,KR7041830001,KOSDAQ,인바디,2021-08-27,2021-08-30,75.49,,4,EXECUTED
