portfolio,date,cash,invested_market_value,equity,position_count,cash_ratio,invested_ratio,high_water_mark,drawdown_pct
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-01,200000000.0,0.0,200000000.0,0,1.0,0.0,200000000.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-02,200000000.0,0.0,200000000.0,0,1.0,0.0,200000000.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-05,175058982.0,24953244.0,200012226.0,5,0.8752414064928211,0.12475859350717891,200012226.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-06,175058982.0,25104592.0,200163574.0,5,0.8745796175681795,0.1254203824318205,200163574.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-07,175058982.0,25119640.0,200178622.0,5,0.874513872914961,0.1254861270850391,200178622.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-08,175058982.0,24826036.0,199885018.0,5,0.8757984152669211,0.12420158473307889,200178622.0,-0.14667100665723964
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-09,175058982.0,24818524.0,199877506.0,5,0.8758313304149392,0.12416866958506076,200178622.0,-0.1504236551293725
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-12,150157298.0,48954306.0,199111604.0,10,0.754136348577655,0.24586365142234504,200178622.0,-0.5330329429483194
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-13,150157298.0,49289188.0,199446486.0,10,0.7528701107323595,0.24712988926764046,200178622.0,-0.36574135274045627
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-14,150157298.0,49585660.0,199742958.0,10,0.7517526500233365,0.2482473499766635,200178622.0,-0.21763762566014977
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-15,150157298.0,49748134.0,199905432.0,10,0.7511416598224304,0.24885834017756955,200178622.0,-0.13647311449671573
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-16,150157298.0,51518470.0,201675768.0,10,0.7445480410913818,0.2554519589086181,201675768.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-19,150157298.0,51434994.0,201592292.0,10,0.7448563459956098,0.2551436540043902,201675768.0,-0.04139118984289869
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-20,150157298.0,53090966.0,203248264.0,10,0.7387876041096223,0.2612123958903777,203248264.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-21,150157298.0,52856666.0,203013964.0,10,0.7396402446483927,0.26035975535160727,203248264.0,-0.11527773737836089
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-22,150157298.0,53111418.0,203268716.0,10,0.7387132705654519,0.2612867294345481,203268716.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-23,150157298.0,52772078.0,202929376.0,10,0.7399485523475912,0.2600514476524089,203268716.0,-0.1669415769812832
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-26,149088782.0,53829198.0,202917980.0,11,0.7347243551310731,0.26527564486892685,203268716.0,-0.1725479487950321
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-27,149088782.0,53870308.0,202959090.0,11,0.7345755344094221,0.26542446559057786,203268716.0,-0.15232348887371794
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-28,149088782.0,52924744.0,202013526.0,11,0.7380138595274061,0.2619861404725939,203268716.0,-0.6175027936910826
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-29,149088782.0,54261154.0,203349936.0,11,0.7331636534176239,0.2668363465823761,203349936.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-04-30,149088782.0,54086922.0,203175704.0,11,0.7337923731274484,0.2662076268725517,203349936.0,-0.08568087279849923
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-03,143732773.0,59056129.0,202788902.0,12,0.7087802714174171,0.2912197285825829,203349936.0,-0.27589583308252896
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-04,143732773.0,58506527.0,202239300.0,12,0.710706440340725,0.28929355965927495,203349936.0,-0.5461698301198359
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-06,143732773.0,59530829.0,203263602.0,12,0.707124992304328,0.29287500769567193,203349936.0,-0.04245587763548331
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-07,143732773.0,59510922.0,203243695.0,12,0.707194252692562,0.292805747307438,203349936.0,-0.0522454061652633
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-10,138739193.0,65911617.0,204650810.0,13,0.6779313162747804,0.3220686837252196,204650810.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-11,138739193.0,66385263.0,205124456.0,13,0.6763659278150627,0.32363407218493734,205124456.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-12,138739193.0,64965777.0,203704970.0,13,0.6810790772556997,0.31892092274430023,205124456.0,-0.6920120729046575
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-13,138739193.0,64690835.0,203430028.0,13,0.6819995767783112,0.3180004232216888,205124456.0,-0.8260487476929645
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-14,138739193.0,65170708.0,203909901.0,13,0.6803945876075924,0.3196054123924076,205124456.0,-0.5921063844283925
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-17,108795261.0,93608278.0,202403539.0,19,0.5375165945097432,0.4624834054902568,205124456.0,-1.3264712814156088
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-18,108795261.0,94740448.0,203535709.0,19,0.534526651537102,0.46547334846289795,205124456.0,-0.7745283185540797
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-20,108795261.0,94614020.0,203409281.0,19,0.5348588838480777,0.4651411161519223,205124456.0,-0.8361630950528887
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-21,108795261.0,92823332.0,201618593.0,19,0.539609266095811,0.4603907339041891,205124456.0,-1.7091394504417323
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-24,73121109.0,128355275.0,201476384.0,26,0.36292645097303317,0.6370735490269669,205124456.0,-1.778467605052414
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-25,73121109.0,129859529.0,202980638.0,26,0.36023686653305326,0.6397631334669467,205124456.0,-1.0451303768479026
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-26,73121109.0,131444476.0,204565585.0,26,0.35744579910643326,0.6425542008935667,205124456.0,-0.2724545921525823
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-27,73121109.0,132299409.0,205420518.0,26,0.35595815701331257,0.6440418429866874,205420518.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-28,73121109.0,132893044.0,206014153.0,26,0.35493245456781797,0.645067545432182,206014153.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-05-31,28422663.0,178540631.0,206963294.0,35,0.13733190292187755,0.8626680970781224,206963294.0,0.0
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-01,28422663.0,178074166.0,206496829.0,35,0.13764212815103324,0.8623578718489667,206963294.0,-0.22538537679053228
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-02,28422663.0,178381097.0,206803760.0,35,0.13743784445698667,0.8625621555430133,206963294.0,-0.07708323389943317
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-03,28422663.0,177425615.0,205848278.0,35,0.13807578706099255,0.8619242129390075,206963294.0,-0.5387506056991898
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-04,28422663.0,176676917.0,205099580.0,35,0.13857982059251414,0.8614201794074858,206963294.0,-0.9005046083195745
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-07,37563.0,205854558.0,205892121.0,41,0.00018244020129356964,0.9998175597987065,206963294.0,-0.5175666560467529
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-08,37563.0,206606288.0,206643851.0,41,0.0001817765194474623,0.9998182234805525,206963294.0,-0.1543476593487192
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-09,37563.0,205462584.0,205500147.0,41,0.00018278819041428715,0.9998172118095857,206963294.0,-0.7069596601994577
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-10,37563.0,205861282.0,205898845.0,41,0.0001824342433781015,0.999817565756622,206963294.0,-0.5143177707637392
PORTFOLIO_B_HALF_PROFIT_AT_50,2021-06-11,37563.0,206686306.0,206723869.0,41,0.00018170615798604272,0.9998182938420139,206963294.0,-0.11568476485497303
