ticker,event_type,event_date,evidence_source,comparison_window_start,comparison_window_end
005930,STOCK_SPLIT_50_TO_1,2018-05-04,KRX_PUBLIC_SPLIT_EVENT,2018-01-02,2018-12-28
035420,STOCK_SPLIT_5_TO_1,2018-10-12,KRX_PUBLIC_SPLIT_EVENT,2018-01-02,2018-12-28
035720,STOCK_SPLIT_5_TO_1,2021-04-15,KRX_PUBLIC_SPLIT_EVENT,2021-01-04,2021-12-30
003670,RIGHTS_OFFERING,2021-02-09,KRX_RIGHTS_OFFERING_EVENT,2020-06-01,2021-06-30
028260,MERGER,2015-09-01,KRX_MERGER_EVENT,2015-01-02,2016-12-30
000100,BONUS_ISSUE_STOCK_DIVIDEND,2020-04-01,KRX_BONUS_ISSUE_EVENT,2020-01-02,2021-12-30
004020,MERGER,2015-07-01,KRX_MERGER_EVENT,2015-01-02,2015-12-30
010130,RIGHTS_OFFERING,2022-08-30,KRX_RIGHTS_OFFERING_EVENT,2022-01-03,2023-12-28
