ticker,name,market,total_trades,first_entry_date,last_exit_date,last_trade_status,sequential_cumulative_return_pct,loss_guard_count,positive_trade_count,win_rate_pct,trade_ids
003000,부광약품,KOSPI,2,2026-03-03,2026-06-01,REALIZED,-26.17,2,0,0.0,"003000_01,003000_02"
003010,혜인,KOSPI,1,2025-03-04,2026-06-26,REALIZED,-15.62,1,0,0.0,003010_01
003030,세아제강지주,KOSPI,1,2025-01-31,2025-09-02,REALIZED,-18.14,1,0,0.0,003030_01
003070,코오롱글로벌,KOSPI,1,2026-03-23,2026-05-12,REALIZED,-15.12,1,0,0.0,003070_01
003090,대웅,KOSPI,3,2024-10-14,2026-03-05,REALIZED,-42.31,3,0,0.0,"003090_01,003090_02,003090_03"
003160,디아이,KOSPI,1,2025-10-13,2026-05-04,REALIZED,76.59,0,1,100.0,003160_01
003200,일신방직,KOSPI,1,2025-07-14,2025-08-04,REALIZED,-15.68,1,0,0.0,003200_01
003230,삼양식품,KOSPI,5,2019-04-01,2023-05-31,REALIZED,-58.69,4,0,0.0,"003230_01,003230_02,003230_03,003230_04,003230_05"
003240,태광산업,KOSPI,1,2025-03-04,,OPEN_AT_CUTOFF,29.71,0,1,100.0,003240_01
003300,한일홀딩스,KOSPI,1,2025-07-07,,OPEN_AT_CUTOFF,-4.07,0,0,0.0,003300_01
003470,유안타증권,KOSPI,1,2025-05-19,2026-05-04,REALIZED,71.47,0,1,100.0,003470_01
003490,대한항공,KOSPI,3,2025-01-20,,OPEN_AT_CUTOFF,-25.5,2,1,33.33,"003490_01,003490_02,003490_03"
003530,한화투자증권,KOSPI,1,2025-06-02,2026-03-03,REALIZED,76.55,0,1,100.0,003530_01
003540,대신증권,KOSPI,1,2025-07-07,2026-03-03,REALIZED,79.04,0,1,100.0,003540_01
003550,LG,KOSPI,1,2017-05-02,,OPEN_AT_CUTOFF,88.47,0,1,100.0,003550_01
003650,미창석유,KOSPI,1,2024-11-04,,OPEN_AT_CUTOFF,55.98,0,1,100.0,003650_01
003670,포스코퓨처엠,KOSPI,1,2026-05-11,2026-05-18,REALIZED,-19.83,1,0,0.0,003670_01
003690,코리안리,KOSPI,1,2024-10-07,2025-11-03,REALIZED,47.96,0,1,100.0,003690_01
003720,삼영,KOSPI,2,2024-09-19,2026-05-04,REALIZED,87.79,1,1,50.0,"003720_01,003720_02"
004000,롯데정밀화학,KOSPI,1,2026-04-20,2026-06-09,REALIZED,-17.18,1,0,0.0,004000_01
004020,현대제철,KOSPI,2,2025-07-07,2026-07-01,REALIZED,-36.98,1,0,0.0,"004020_01,004020_02"
004090,한국석유,KOSPI,1,2026-02-02,2026-06-02,REALIZED,-17.78,1,0,0.0,004090_01
004150,한솔홀딩스,KOSPI,1,2025-06-16,,OPEN_AT_CUTOFF,10.3,0,1,100.0,004150_01
004170,신세계,KOSPI,3,2017-05-02,2026-05-04,REALIZED,298.78,1,2,66.67,"004170_01,004170_02,004170_03"
004370,농심,KOSPI,4,2019-03-18,,OPEN_AT_CUTOFF,0.72,2,2,50.0,"004370_01,004370_02,004370_03,004370_04"
004690,삼천리,KOSPI,1,2025-07-07,2025-08-28,REALIZED,-14.55,1,0,0.0,004690_01
004710,한솔테크닉스,KOSPI,1,2025-07-07,2025-08-21,REALIZED,-16.34,1,0,0.0,004710_01
004800,효성,KOSPI,1,2025-06-02,2025-11-03,REALIZED,110.2,0,1,100.0,004800_01
004960,한신공영,KOSPI,1,2025-05-26,2026-06-01,REALIZED,42.26,0,1,100.0,004960_01
004990,롯데지주,KOSPI,1,2025-06-02,2026-06-09,REALIZED,-18.31,1,0,0.0,004990_01
005010,휴스틸,KOSPI,1,2025-03-10,2025-03-26,REALIZED,-15.41,1,0,0.0,005010_01
005180,빙그레,KOSPI,4,2018-09-03,2026-03-31,REALIZED,6.84,3,1,25.0,"005180_01,005180_02,005180_03,005180_04"
005290,동진쎄미켐,KOSDAQ,1,2025-10-13,2025-11-07,REALIZED,-19.67,1,0,0.0,005290_01
005300,롯데칠성,KOSPI,1,2025-07-14,2026-05-29,REALIZED,-14.14,1,0,0.0,005300_01
005380,현대차,KOSPI,4,2017-05-29,,OPEN_AT_CUTOFF,100.21,2,2,50.0,"005380_01,005380_02,005380_03,005380_04"
005430,한국공항,KOSPI,1,2025-07-14,,OPEN_AT_CUTOFF,44.15,0,1,100.0,005430_01
005490,POSCO홀딩스,KOSPI,4,2017-05-15,2026-06-24,REALIZED,45.92,2,2,50.0,"005490_01,005490_02,005490_03,005490_04"
005500,삼진제약,KOSPI,1,2025-07-14,2026-03-05,REALIZED,-11.76,1,0,0.0,005500_01
005680,삼영전자,KOSPI,1,2025-05-07,,OPEN_AT_CUTOFF,34.4,0,1,100.0,005680_01
005690,파미셀,KOSPI,1,2025-05-26,2025-08-01,REALIZED,1.12,0,1,100.0,005690_01
005830,DB손해보험,KOSPI,3,2017-07-17,2026-06-01,REALIZED,84.71,2,1,33.33,"005830_01,005830_02,005830_03"
005850,에스엘,KOSPI,5,2018-02-05,2026-06-01,REALIZED,-16.29,4,1,20.0,"005850_01,005850_02,005850_03,005850_04,005850_05"
005930,삼성전자,KOSPI,4,2019-11-04,,OPEN_AT_CUTOFF,222.21,2,2,50.0,"005930_01,005930_02,005930_03,005930_04"
