control_id,ticker,source,evidence_origin,request_id,date,open,high,low,close,volume
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-11,49900.0,49900.0,48600.0,48860.0,201022.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-12,49440.0,49440.0,48880.0,49000.0,249325.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-13,49600.0,50180.0,49400.0,49800.0,205566.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-16,50320.0,50600.0,49860.0,50340.0,157549.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-17,50240.0,50540.0,49820.0,49980.0,155440.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-18,51000.0,51360.0,50580.0,51360.0,269252.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-19,52000.0,52980.0,51540.0,52780.0,343811.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-20,51800.0,52260.0,51420.0,51620.0,235220.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-23,51000.0,52080.0,51000.0,51900.0,232380.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-24,51840.0,51860.0,50080.0,50460.0,315406.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-25,49220.0,50500.0,49220.0,50400.0,332292.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-26,50420.0,52160.0,50400.0,52140.0,360931.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-27,53380.0,53639.0,52440.0,53000.0,606216.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-04-30,0.0,0.0,0.0,53000.0,0.0
CORP_005930_STOCK_SPLIT,005930,NAVER_DIRECT,LIVE_NAVER_HTTP_RESPONSE,REQ_PRICE_NAVER_005930_2018-04-11_2018-06-20,2018-05-02,0.0,0.0,0.0,53000.0,0.0
