ticker,candidate_rank,rcept_no,report_nm,rcept_dt,corp_code,event_match_score,selection_status,rejection_reason
005930,1,20180131800068,주식분할결정,20180131,00126380,80,REJECTED_AUTHORITY_VALIDATION,SOURCE_EVENT_CLASSIFICATION_FAILED: No valid event family found in structured blocks
005930,2,20180316800856,[기재정정]주식분할결정,20180316,00126380,80,REJECTED_AUTHORITY_VALIDATION,"ISSUER_MISMATCH: claimed '삼성전자', parsed ''"
005930,3,20180223000294,주주총회소집공고,20180223,00126380,50,SELECTED,
005930,4,20180223000490,[기재정정]주주총회소집공고,20180223,00126380,50,NOT_PROBED_LOWER_PRIORITY,Higher rank candidate already selected
005930,5,20180531002185,임원ㆍ주요주주특정증권등소유상황보고서,20180531,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,6,20180531001432,임원ㆍ주요주주특정증권등소유상황보고서,20180531,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,7,20180531001089,임원ㆍ주요주주특정증권등소유상황보고서,20180531,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,8,20180531000218,대규모기업집단현황공시[연1회공시및1/4분기용(대표회사)],20180531,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,9,20180530800761,기업설명회(IR)개최(안내공시),20180530,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,10,20180530000514,임원ㆍ주요주주특정증권등소유상황보고서,20180530,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,11,20180529000439,임원ㆍ주요주주특정증권등소유상황보고서,20180530,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,12,20180529000335,임원ㆍ주요주주특정증권등소유상황보고서,20180529,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,13,20180529000327,임원ㆍ주요주주특정증권등소유상황보고서,20180529,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,14,20180529000189,임원ㆍ주요주주특정증권등소유상황보고서,20180529,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
005930,15,20180529000149,임원ㆍ주요주주특정증권등소유상황보고서,20180529,00126380,0,REJECTED_EVENT_MISMATCH,No target keywords found in report title
