idx_name,left_source_api,right_source_api,date,classification,left_open,left_high,left_low,left_close,right_open,right_high,right_low,right_close,open_match,high_match,low_match,close_match
비금속,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,46651.92,53115.38,46485.25,52687.08,3305.43,3347.67,3262.19,3333.63,False,False,False,False
비금속,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,58159.61,58851.28,55601.91,56034.21,3492.11,3510.19,3462.47,3510.19,False,False,False,False
비금속,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,66865.37,70412.86,65031.08,68525.54,3469.93,3494.67,3429.80,3494.67,False,False,False,False
비금속,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,65693.80,66052.40,63883.79,64710.33,3423.08,3483.95,3421.42,3469.52,False,False,False,False
비금속,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,63223.31,64559.01,62463.35,62704.76,3468.79,3468.79,3398.69,3457.19,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,25.81,26.05,25.38,25.61,232.61,235.25,230.65,232.84,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,23.67,24.43,23.49,24.39,233.33,237.44,229.32,237.29,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,26.06,26.28,25.90,26.26,222.05,223.32,220.35,223.32,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,26.50,27.09,26.50,26.88,224.50,226.11,221.98,224.83,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,28.40,29.08,28.12,28.69,217.58,217.89,213.63,215.46,False,False,False,False
섬유·의류,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,28.53,29.02,28.16,28.69,214.43,215.94,212.27,215.94,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,282.31,285.64,278.81,280.73,939.76,950.33,923.82,944.56,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,270.82,274.56,266.72,273.30,835.17,842.49,817.81,835.41,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,294.45,300.40,290.82,296.90,866.75,884.72,860.72,884.68,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,284.95,290.07,282.64,285.76,852.21,872.45,852.21,866.34,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,277.65,283.33,277.65,280.32,837.89,852.01,836.90,840.62,False,False,False,False
오락·문화,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,276.07,276.07,268.72,272.52,827.67,829.26,816.53,822.78,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,3089.48,3097.25,3028.21,3056.60,1967.49,2030.18,1967.49,1991.92,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,2828.62,2934.10,2823.75,2931.90,1922.45,1978.14,1894.64,1954.34,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,2983.71,3010.81,2953.40,2976.87,2017.26,2043.70,1999.09,2043.70,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,3028.06,3140.80,3015.92,3136.13,1976.13,2018.48,1976.13,2016.85,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,3108.61,3115.72,3062.34,3115.72,1984.40,1996.27,1958.30,1959.86,False,False,False,False
운송·창고,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,3112.58,3116.81,3050.06,3099.27,1949.53,1982.54,1930.72,1977.13,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,3992.30,4023.65,3891.66,3901.49,5257.04,5284.43,5017.00,5055.01,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,3552.45,3762.77,3543.86,3754.34,4686.05,4866.81,4598.79,4857.73,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,4114.61,4127.12,3988.12,4055.49,5174.73,5199.30,5050.32,5172.94,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,4363.11,4455.25,4353.48,4448.12,5391.54,5528.88,5391.54,5517.69,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,4224.53,4232.25,4121.67,4133.03,5202.86,5245.26,5135.07,5176.90,False,False,False,False
운송장비·부품,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,4072.49,4072.49,3907.12,3936.12,5064.47,5071.26,4976.35,5017.40,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,446.39,446.93,432.08,432.82,629.57,634.95,608.14,616.16,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,390.88,421.35,388.66,420.99,554.75,613.87,551.34,609.15,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,454.79,458.56,441.71,451.21,600.33,606.50,588.12,605.81,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,487.76,495.65,481.89,490.63,629.54,631.11,618.36,629.58,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,490.85,492.42,484.51,486.33,610.44,624.33,600.53,621.15,False,False,False,False
유통,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,485.90,486.49,468.43,472.17,616.55,641.70,611.26,638.03,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,4104.60,4125.51,4049.38,4058.04,4656.66,4793.90,4639.95,4749.76,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,3879.08,3955.49,3850.82,3953.24,4805.85,4805.85,4659.35,4739.91,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,4129.76,4208.49,4129.76,4170.31,4831.53,5053.24,4767.35,5047.39,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,4200.53,4229.92,4176.83,4208.86,4735.40,4913.85,4728.42,4887.18,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,4033.03,4052.06,4012.21,4044.01,4783.18,4905.28,4776.92,4880.19,False,False,False,False
음식료·담배,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,4035.82,4035.82,3950.56,3983.16,4858.40,4877.96,4830.33,4851.91,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,1836.86,1840.43,1781.63,1783.39,1641.88,1641.88,1539.79,1543.69,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,1591.10,1710.78,1583.27,1707.83,1327.53,1500.92,1318.44,1494.65,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,1902.74,1911.01,1847.71,1887.54,1508.88,1528.85,1452.47,1491.07,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,1963.33,1992.71,1930.91,1949.81,1697.58,1712.54,1635.71,1663.61,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,1858.51,1869.69,1809.21,1820.06,1564.45,1583.18,1551.42,1566.64,False,False,False,False
의료·정밀기기,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,1795.23,1795.23,1709.73,1729.07,1535.00,1535.00,1472.71,1481.67,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,3872.37,3971.49,3795.32,3805.14,1287.23,1326.01,1283.44,1299.02,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,3439.35,3686.98,3407.89,3657.04,1223.65,1235.19,1200.44,1233.28,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,4329.75,4392.46,4193.41,4392.46,1322.21,1325.77,1293.24,1322.67,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,4659.72,4761.55,4562.60,4633.43,1347.42,1362.00,1335.14,1350.76,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,4648.03,4747.88,4544.41,4643.82,1332.92,1344.76,1316.62,1320.52,False,False,False,False
일반서비스,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,4482.31,4482.31,4291.22,4367.78,1310.93,1310.93,1281.58,1293.14,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,1513.85,1513.85,1436.26,1440.39,114259.00,114259.00,106229.00,106870.20,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,1233.08,1370.36,1228.30,1363.93,84864.38,107918.70,84713.92,107016.50,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,1531.44,1550.62,1460.60,1503.94,98259.60,99611.97,94068.28,95201.30,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,1661.45,1672.19,1603.59,1646.63,112146.80,112146.80,108404.70,110898.40,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,1592.84,1603.86,1579.67,1594.64,105759.20,111279.40,103952.20,110356.70,False,False,False,False
전기전자,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,1561.48,1561.48,1500.39,1505.23,108731.30,113569.80,108483.70,112518.50,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,8523.82,8723.58,8409.53,8499.73,14731.71,15664.05,14731.71,15535.93,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,7955.72,8270.80,7827.09,8178.13,15690.22,15690.22,15162.54,15431.81,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,9409.23,9572.86,9147.82,9509.33,16002.24,16465.14,15959.90,16465.14,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,10018.80,10249.72,9777.32,9915.71,16597.38,16756.88,16481.09,16562.15,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,9772.77,9873.22,9470.22,9630.81,16967.44,16975.62,16330.77,16493.66,False,False,False,False
제약,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,9414.95,9414.95,9058.53,9180.82,16229.44,16340.88,15966.32,16267.56,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,2650.25,2650.25,2522.91,2530.58,20779.54,20779.54,19579.09,19679.13,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,2215.68,2436.18,2204.43,2422.39,16271.65,19665.99,16208.92,19530.98,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,2708.36,2734.49,2593.19,2662.87,18549.17,18730.55,17867.40,18153.36,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,2937.44,2972.50,2849.09,2922.07,20728.22,20757.87,20194.04,20608.24,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,2841.22,2857.13,2804.08,2823.72,19706.18,20491.57,19435.78,20338.08,False,False,False,False
제조,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,2767.62,2767.62,2669.28,2689.01,20044.70,20688.40,19993.73,20528.83,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,6241.88,6425.50,6200.46,6228.35,208.73,213.34,208.43,210.74,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,5702.82,5906.44,5697.81,5848.51,201.32,204.61,201.32,202.87,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,6162.65,6654.85,6130.60,6625.00,214.06,216.24,213.20,216.19,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,6576.73,6605.59,6431.53,6559.33,214.44,217.26,213.58,217.26,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,6487.46,6521.18,6348.61,6378.02,216.57,218.00,213.28,215.62,False,False,False,False
종이·목재,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,6297.18,6343.93,6158.35,6301.36,215.37,215.37,211.22,214.17,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,957.53,960.93,941.72,949.91,639.40,664.36,629.32,648.44,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,904.50,930.50,904.50,929.43,593.19,593.19,571.65,577.86,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,976.55,976.55,959.25,966.71,618.66,620.00,600.63,607.84,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,972.36,981.98,968.87,978.96,616.68,651.75,615.77,649.90,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,996.95,1025.10,995.50,1025.10,631.38,642.42,625.82,628.99,False,False,False,False
통신,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,1032.41,1048.21,1015.38,1038.96,626.20,655.82,621.22,650.25,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-07-24,SAME_NAME_DIFFERENT_SERIES,1917.51,1919.76,1841.19,1848.17,4526.78,4625.44,4482.89,4509.17,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-07-31,SAME_NAME_DIFFERENT_SERIES,1677.65,1784.95,1665.80,1776.88,4192.18,4215.76,4001.67,4198.06,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-08-07,SAME_NAME_DIFFERENT_SERIES,1987.98,2013.95,1931.54,1978.40,4512.73,4637.31,4468.41,4637.31,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-08-14,SAME_NAME_DIFFERENT_SERIES,2164.15,2186.52,2102.40,2153.20,4707.08,4807.79,4707.08,4787.18,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-08-20,SAME_NAME_DIFFERENT_SERIES,2103.84,2122.81,2087.14,2101.74,4650.91,4710.32,4636.31,4650.13,False,False,False,False
화학,kosdaq_dd_trd,kospi_dd_trd,2026-08-21,SAME_NAME_DIFFERENT_SERIES,2069.42,2069.42,2012.12,2027.38,4637.10,4637.10,4518.30,4571.20,False,False,False,False
