market,sector_code,internal_sector_name,official_idx_name,source_api,mapping_status,common_date_count,date,pykrx_open,pykrx_high,pykrx_low,pykrx_close,krx_open,krx_high,krx_low,krx_close,open_match,high_match,low_match,close_match
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,14731.71,15664.05,14731.71,15535.93,14731.71,15664.05,14731.71,15535.93,True,True,True,True
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,15690.22,15690.22,15162.54,15431.81,15690.22,15690.22,15162.54,15431.81,True,True,True,True
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,16002.24,16465.14,15959.9,16465.14,16002.24,16465.14,15959.90,16465.14,True,True,True,True
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,16597.38,16756.88,16481.09,16562.15,16597.38,16756.88,16481.09,16562.15,True,True,True,True
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,16967.44,16975.62,16330.77,16493.66,16967.44,16975.62,16330.77,16493.66,True,True,True,True
KOSPI,1009,제약,제약,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,16229.44,16340.88,15966.32,16267.56,16229.44,16340.88,15966.32,16267.56,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,3441.57,3481.77,3416.58,3418.45,3441.57,3481.77,3416.58,3418.45,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,3305.43,3347.67,3262.19,3333.63,3305.43,3347.67,3262.19,3333.63,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,3492.11,3510.19,3462.47,3510.19,3492.11,3510.19,3462.47,3510.19,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,3469.93,3494.67,3429.8,3494.67,3469.93,3494.67,3429.80,3494.67,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,3423.08,3483.95,3421.42,3469.52,3423.08,3483.95,3421.42,3469.52,True,True,True,True
KOSPI,1010,비금속,비금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,3468.79,3468.79,3398.69,3457.19,3468.79,3468.79,3398.69,3457.19,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,6464.4,6629.66,6408.1,6514.57,6464.40,6629.66,6408.10,6514.57,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,6039.39,6242.18,5867.94,6189.84,6039.39,6242.18,5867.94,6189.84,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,6767.89,6768.01,6511.8,6713.85,6767.89,6768.01,6511.80,6713.85,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,7057.93,7114.24,6949.4,7075.96,7057.93,7114.24,6949.40,7075.96,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,6909.09,7121.73,6909.09,6959.89,6909.09,7121.73,6909.09,6959.89,True,True,True,True
KOSPI,1011,금속,금속,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,6876.41,6876.41,6639.54,6677.76,6876.41,6876.41,6639.54,6677.76,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,2906.9,2921.09,2806.6,2828.04,2906.90,2921.09,2806.60,2828.04,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,2490.8,2705.3,2482.42,2690.58,2490.80,2705.30,2482.42,2690.58,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,2935.41,2952.04,2811.22,2898.32,2935.41,2952.04,2811.22,2898.32,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,3193.07,3231.82,3093.51,3155.49,3193.07,3231.82,3093.51,3155.49,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,2958.01,2976.51,2924.22,2939.4,2958.01,2976.51,2924.22,2939.40,True,True,True,True
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,2933.8,2933.8,2800.7,2826.12,2933.80,2933.80,2800.70,2826.12,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,114259.0,114259.0,106229.0,106870.2,114259.00,114259.00,106229.00,106870.20,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,84864.38,107918.7,84713.92,107016.5,84864.38,107918.70,84713.92,107016.50,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,98259.6,99611.97,94068.28,95201.3,98259.60,99611.97,94068.28,95201.30,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,112146.8,112146.8,108404.7,110898.4,112146.80,112146.80,108404.70,110898.40,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,105759.2,111279.4,103952.2,110356.7,105759.20,111279.40,103952.20,110356.70,True,True,True,True
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,108731.3,113569.8,108483.7,112518.5,108731.30,113569.80,108483.70,112518.50,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,1641.88,1641.88,1539.79,1543.69,1641.88,1641.88,1539.79,1543.69,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,1327.53,1500.92,1318.44,1494.65,1327.53,1500.92,1318.44,1494.65,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,1508.88,1528.85,1452.47,1491.07,1508.88,1528.85,1452.47,1491.07,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,1697.58,1712.54,1635.71,1663.61,1697.58,1712.54,1635.71,1663.61,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,1564.45,1583.18,1551.42,1566.64,1564.45,1583.18,1551.42,1566.64,True,True,True,True
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,1535.0,1535.0,1472.71,1481.67,1535.00,1535.00,1472.71,1481.67,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,5257.04,5284.43,5017.0,5055.01,5257.04,5284.43,5017.00,5055.01,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,4686.05,4866.81,4598.79,4857.73,4686.05,4866.81,4598.79,4857.73,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,5174.73,5199.3,5050.32,5172.94,5174.73,5199.30,5050.32,5172.94,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-14,5391.54,5528.88,5391.54,5517.69,5391.54,5528.88,5391.54,5517.69,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-20,5202.86,5245.26,5135.07,5176.9,5202.86,5245.26,5135.07,5176.90,True,True,True,True
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-21,5064.47,5071.26,4976.35,5017.4,5064.47,5071.26,4976.35,5017.40,True,True,True,True
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-24,629.57,634.95,608.14,616.16,629.57,634.95,608.14,616.16,True,True,True,True
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-07-31,554.75,613.87,551.34,609.15,554.75,613.87,551.34,609.15,True,True,True,True
KOSPI,1016,유통,유통,kospi_dd_trd,EXACT_MARKET_SERIES_MATCH,6,2026-08-07,600.33,606.5,588.12,605.81,600.33,606.50,588.12,605.81,True,True,True,True
