market,sector_code,internal_sector_name,official_idx_name,source_api,official_idx_class,common_date_count,ohlc_compared_field_count,exact_field_match_count,rounding_difference_count,candidate_count,mapping_status,evidence_dates,active_reference_code,name_semantic_warning
KOSPI,1005,음식료·담배,음식료·담배,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1006,섬유·의류,섬유·의류,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1007,종이·목재,종이·목재,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1008,화학,화학,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1009,제약,제약,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1010,비금속,비금속,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1011,금속,금속,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1012,기계·장비,기계·장비,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1013,전기전자,전기전자,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1014,의료·정밀기기,의료·정밀기기,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1015,운송장비·부품,운송장비·부품,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1016,유통,유통,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1017,전기·가스,전기·가스,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1018,건설,건설,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1019,운송·창고,운송·창고,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1020,통신,통신,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1021,금융,금융,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1024,,증권,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1025,,보험,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1026,일반서비스,일반서비스,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1027,제조,제조,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1045,,부동산,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1046,,IT 서비스,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSPI,1047,,오락·문화,kospi_dd_trd,KOSPI,6,24,24,0,51,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
KOSDAQ,2012,,일반서비스,kosdaq_dd_trd,KOSDAQ,6,24,24,0,40,EXACT_MARKET_SERIES_MATCH,2026-07-24;2026-07-31;2026-08-07;2026-08-14;2026-08-20;2026-08-21,True,False
