krx_idx_name,native_market,native_sector_code,native_idx_name,native_source_api,date,krx_open,krx_high,krx_low,krx_close,native_open,native_high,native_low,native_close,open_match,high_match,low_match,close_match
KRX 300 금융,KOSPI,1010,비금속,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,3468.79,3468.79,3398.69,3457.19,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,6464.40,6629.66,6408.10,6514.57,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,6039.39,6242.18,5867.94,6189.84,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,6767.89,6768.01,6511.80,6713.85,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,7057.93,7114.24,6949.40,7075.96,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,6909.09,7121.73,6909.09,6959.89,False,False,False,False
KRX 300 금융,KOSPI,1011,금속,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,6876.41,6876.41,6639.54,6677.76,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,2906.90,2921.09,2806.60,2828.04,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,2490.80,2705.30,2482.42,2690.58,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,2935.41,2952.04,2811.22,2898.32,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,3193.07,3231.82,3093.51,3155.49,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,2958.01,2976.51,2924.22,2939.40,False,False,False,False
KRX 300 금융,KOSPI,1012,기계·장비,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,2933.80,2933.80,2800.70,2826.12,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,114259.00,114259.00,106229.00,106870.20,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,84864.38,107918.70,84713.92,107016.50,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,98259.60,99611.97,94068.28,95201.30,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,112146.80,112146.80,108404.70,110898.40,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,105759.20,111279.40,103952.20,110356.70,False,False,False,False
KRX 300 금융,KOSPI,1013,전기전자,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,108731.30,113569.80,108483.70,112518.50,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1641.88,1641.88,1539.79,1543.69,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1327.53,1500.92,1318.44,1494.65,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,1508.88,1528.85,1452.47,1491.07,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1697.58,1712.54,1635.71,1663.61,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1564.45,1583.18,1551.42,1566.64,False,False,False,False
KRX 300 금융,KOSPI,1014,의료·정밀기기,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1535.00,1535.00,1472.71,1481.67,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,5257.04,5284.43,5017.00,5055.01,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,4686.05,4866.81,4598.79,4857.73,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,5174.73,5199.30,5050.32,5172.94,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,5391.54,5528.88,5391.54,5517.69,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,5202.86,5245.26,5135.07,5176.90,False,False,False,False
KRX 300 금융,KOSPI,1015,운송장비·부품,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,5064.47,5071.26,4976.35,5017.40,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,629.57,634.95,608.14,616.16,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,554.75,613.87,551.34,609.15,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,600.33,606.50,588.12,605.81,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,629.54,631.11,618.36,629.58,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,610.44,624.33,600.53,621.15,False,False,False,False
KRX 300 금융,KOSPI,1016,유통,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,616.55,641.70,611.26,638.03,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1079.33,1123.81,1079.33,1090.93,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1048.46,1075.16,1038.16,1069.15,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,1092.77,1100.07,1076.77,1100.07,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,1048.41,1060.38,1043.40,1057.62,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,1003.77,1030.20,1002.29,1019.51,False,False,False,False
KRX 300 금융,KOSPI,1017,전기·가스,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,1011.91,1016.77,995.46,1015.17,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,155.80,158.50,151.48,151.95,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,126.17,131.41,124.71,131.38,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-08-07,2091.46,2129.52,2078.67,2124.70,158.60,158.99,149.89,154.26,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-08-14,2103.40,2129.17,2099.39,2123.56,168.18,170.57,160.73,164.42,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-08-20,2058.13,2065.95,2029.21,2031.93,160.09,163.74,159.20,159.84,False,False,False,False
KRX 300 금융,KOSPI,1018,건설,kospi_dd_trd,2026-08-21,2023.56,2088.31,2014.34,2085.67,157.99,157.99,150.55,151.28,False,False,False,False
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-07-24,2123.72,2152.66,2077.59,2125.78,1967.49,2030.18,1967.49,1991.92,False,False,False,False
KRX 300 금융,KOSPI,1019,운송·창고,kospi_dd_trd,2026-07-31,2037.14,2087.19,1998.01,2079.06,1922.45,1978.14,1894.64,1954.34,False,False,False,False
