ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
095570,4150,187798949850,70831,293480867,45252759,2026-09-21
006840,6890,91275695290,6657,45214630,13247561,2026-09-21
027410,3710,355109294610,47232,175674165,95716791,2026-09-21
282330,138700,2397277762200,24314,3377575500,17283906,2026-09-21
138930,15750,4832726078250,580637,9106582315,306839751,2026-09-21
001460,35800,223612170000,3210,114211750,6246150,2026-09-21
001465,26900,57938565000,1150,30845450,2153850,2026-09-21
001040,128700,3755079642600,67193,8646361450,29176998,2026-09-21
079160,5280,874277168160,271226,1448069065,165582797,2026-09-21
00104K,126600,535076419200,5139,642902800,4226512,2026-09-21
000120,70700,1612832720800,27318,1928640200,22812344,2026-09-21
011150,1892,67981022516,41363,77885320,35930773,2026-09-21
011155,5660,1132000000,2175,12384080,200000,2026-09-21
001045,65600,148270628800,4046,263756450,2260223,2026-09-21
097950,174600,2628460875600,39062,6848042250,15054186,2026-09-21
097955,110600,146814089800,7987,882572950,1327433,2026-09-21
000480,4290,201160202100,11774,50175135,46890490,2026-09-21
000590,67000,77350294000,102,6847600,1154482,2026-09-21
012030,1633,328517032589,347823,561241443,201173933,2026-09-21
005830,188300,12333715716700,93096,17501271100,65500349,2026-09-21
016610,10310,437622270590,33098,341451265,42446389,2026-09-21
000990,131900,5738255157200,705129,90652920582,43504588,2026-09-21
000300,4200,174035631000,0,0,41437055,2026-09-21
001530,25350,525140992350,36031,931182925,20715621,2026-09-21
015590,2215,118272822220,129887,287350030,53396308,2026-09-21
000210,51900,1087610379600,51723,2708627400,20955884,2026-09-21
000215,25000,42152875000,2271,57067000,1686115,2026-09-21
375500,85100,3292827317300,254621,21630809250,38693623,2026-09-21
37550L,53300,112566988300,2985,156370500,2111951,2026-09-21
37550K,27050,57180589250,6330,172109300,2113885,2026-09-21
007340,49200,2878734558000,169076,8224487000,58510865,2026-09-21
004840,3955,76222199620,11269,44693215,19272364,2026-09-21
155660,4370,69920000000,8530,37468590,16000000,2026-09-21
069730,5400,77760000000,17471,94798900,14400000,2026-09-21
017860,11630,205311763420,55092,650340985,17653634,2026-09-21
092780,3670,48328248200,1155140,4896470793,13168460,2026-09-21
017940,94400,647584000000,6477,613383400,6860000,2026-09-21
365550,3115,766567235000,294640,923436222,246089000,2026-09-21
383220,68400,2620203930000,56115,3856998044,38307075,2026-09-21
007700,13480,527261667160,9504,128538850,39114367,2026-09-21
114090,8940,552989689800,45626,408452065,61855670,2026-09-21
078930,113300,10525059583500,181339,20550768800,92895495,2026-09-21
006360,36600,3132282534000,1283903,46757162725,85581490,2026-09-21
001250,2565,211699104660,353264,898885912,82533764,2026-09-21
007070,23300,1948052769500,136853,3193394275,83607415,2026-09-21
078935,59800,106424624800,8328,496727450,1779676,2026-09-21
499790,37950,752580415950,41972,1597534550,19830841,2026-09-21
012630,25900,1547310573900,73289,1906712375,59741721,2026-09-21
039570,7510,194941583510,7465,55835615,25957601,2026-09-21
089470,3780,120582000000,38126,144327514,31900000,2026-09-21
267270,136700,6492892666200,182499,25027509000,47497386,2026-09-21
009540,339000,23992086324000,138935,46950453400,70773116,2026-09-21
267250,211000,16667540935000,128619,27047938750,78993085,2026-09-21
443060,233500,10468612910000,95294,22269608500,44833460,2026-09-21
071970,51100,1733388394500,107371,5485916950,33921495,2026-09-21
322000,118600,1328320000000,425580,50742633350,11200000,2026-09-21
267260,714000,25737654390000,55048,39493788000,36047135,2026-09-21
329180,450500,47285031862500,212050,95396998500,104961225,2026-09-21
097230,15200,1372489228800,220055,3348408775,90295344,2026-09-21
014790,2465,93321451465,19409,47847605,37858601,2026-09-21
003580,1588,80453645940,349247,548891106,50663505,2026-09-21
204320,47300,2221071776000,267234,12656584925,46957120,2026-09-21
060980,39950,357806062650,8255,327313650,8956347,2026-09-21
011200,21100,19902321167000,472293,9900492750,943237970,2026-09-21
035000,6300,102108157200,20272,127464910,16207644,2026-09-21
002460,11090,112563500000,4383,47988760,10150000,2026-09-21
487570,48000,178844496000,1947,92705200,3725927,2026-09-21
298050,161100,721719622800,7622,1237968350,4479948,2026-09-21
015360,14400,392400000000,11166,160990700,27250000,2026-09-21
294870,23500,1548822255000,124758,2942963775,65907330,2026-09-21
175330,31000,5782176544000,355943,10989746075,186521824,2026-09-21
234080,10940,173230020760,9495,103872000,15834554,2026-09-21
001060,27200,633377296000,33386,912238675,23285930,2026-09-21
001067,50100,10519647300,2,100200,209973,2026-09-21
001065,22700,7762287700,45,1015900,341951,2026-09-21
096760,4360,322312747120,54651,239175360,73924942,2026-09-21
008970,1148,119124409236,720197,837663965,103766907,2026-09-21
105560,177500,62957072785000,676174,119783916350,354687734,2026-09-21
415640,10280,1259768233440,195113,1993873085,122545548,2026-09-21
432320,1670,251776355950,755688,1267014648,150764285,2026-09-21
002380,465000,3995696640000,14472,6682773500,8592896,2026-09-21
344820,23800,380098185600,7622,180993075,15970512,2026-09-21
009070,4190,125700000000,403438,1695745615,30000000,2026-09-21
009440,756,17568790596,0,0,23239141,2026-09-21
119650,918,100782913662,0,0,109785309,2026-09-21
092220,3160,126882304480,1842303,5749109929,40152628,2026-09-21
