ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
005930,274500,1604803477896000,21669476,5874450961500,5846278608,2026-08-14
000660,1645000,1201659940425000,4520990,7489699281000,730492365,2026-08-14
005935,195600,156943807306800,3859277,744107274500,802371203,2026-08-14
402340,1154000,152279977444000,658916,759169507500,131958386,2026-08-14
009150,1558000,116372778368000,968103,1504282797000,74693696,2026-08-14
005380,453000,92755267998000,1203960,537907833750,204757766,2026-08-14
373220,369500,86463000000000,243455,88824353500,234000000,2026-08-14
207940,1548000,71658392148000,29916,46418943500,46290951,2026-08-14
032830,301000,60200000000000,393407,117956229796,200000000,2026-08-14
028260,369000,59839837389000,276255,101489609250,162167581,2026-08-14
012450,1160000,59813545160000,172790,198972929500,51563401,2026-08-14
105560,168500,59764883179000,951351,159988557050,354687734,2026-08-14
000270,141700,55321521816600,771767,108962687510,390412998,2026-08-14
329180,510000,53530224750000,217718,110849102000,104961225,2026-08-14
034020,82600,52910350659600,2119063,174686604500,640561146,2026-08-14
055550,107400,50418955668600,692324,74129271450,469450239,2026-08-14
012330,547000,49630722901000,352348,189458397000,90732583,2026-08-14
068270,201000,46756052376000,341446,68583218500,232617176,2026-08-14
034730,585000,42414081255000,214973,124078796000,72502703,2026-08-14
006400,516000,41582133480000,463047,232587955250,80585530,2026-08-14
086790,133000,36490910484000,677841,90111928750,274367748,2026-08-14
035420,228000,35790889380000,750112,170768122000,156977585,2026-08-14
066570,215000,35020197170000,1598040,342729059750,162884638,2026-08-14
010120,206500,30975000000000,752430,154914006500,150000000,2026-08-14
042660,95800,29354403145200,2001550,191311675750,306413394,2026-08-14
267260,803000,28945849405000,93551,73783488000,36047135,2026-08-14
298040,2954000,27544714792000,38152,111455712500,9324548,2026-08-14
000810,615000,27458195895000,188284,116311697408,44647473,2026-08-14
009540,386000,27318422776000,234796,90131325500,70773116,2026-08-14
005490,334000,26466670018000,322904,106774187250,79241527,2026-08-14
010130,1196000,24964070924000,21024,25118717500,20872969,2026-08-14
316140,33700,24536622283400,1291926,43341929800,728089682,2026-08-14
042700,229000,21826493800000,558447,128154006750,95312200,2026-08-14
096770,128700,21757093815600,677520,86091340200,169052788,2026-08-14
017670,100500,21586400326500,3102246,306384937950,214790053,2026-08-14
015760,33250,21345305560250,1652497,54682654125,641964077,2026-08-14
006800,37650,21067693032000,1141221,42622756750,559566880,2026-08-14
000150,1276000,20663333460000,52301,65463337500,16193835,2026-08-14
011200,21250,20043806862500,1054863,22230176750,943237970,2026-08-14
051910,280500,19801152211500,137186,38155064750,70592343,2026-08-14
010140,22300,19624000000000,3051125,68105885375,880000000,2026-08-14
138040,116700,19529426759100,324838,37587214500,167347273,2026-08-14
018260,243500,18841494300000,287095,68681089500,77377800,2026-08-14
267250,235500,18602871517500,132163,31119384000,78993085,2026-08-14
033780,176000,18270640256000,416621,73425216050,103810456,2026-08-14
003550,120000,18143040480000,503011,59729979800,151192004,2026-08-14
079550,815000,17930000000000,76887,62323444000,22000000,2026-08-14
035720,40000,17719242800000,2102824,84441024450,442981070,2026-08-14
196170,314000,16826111702000,375775,118768097750,53586343,2026-08-14
010950,147600,16617220099200,325864,47268775200,112582792,2026-08-14
024110,20400,16267487727600,979364,19874698800,797425869,2026-08-14
064350,146900,16033002841700,269781,39372384750,109142293,2026-08-14
086280,211000,15825000000000,133920,27949298500,75000000,2026-08-14
011070,654000,15478287978000,267685,171262940000,23667107,2026-08-14
272210,80300,15170226936700,357798,28833520050,188919389,2026-08-14
003670,170500,15165330510000,244914,40955734400,88946220,2026-08-14
278470,390500,14619599527500,215060,84479294250,37438155,2026-08-14
047810,146400,14270355664800,322739,47430841250,97475107,2026-08-14
030200,53400,13457957979000,698261,37352089400,252021685,2026-08-14
307950,489500,13424039189000,230623,112328846750,27423982,2026-08-14
000720,115800,12894997587000,493320,57012417650,111355765,2026-08-14
086520,93600,12708647827200,771000,71184027000,135776152,2026-08-14
005830,176800,11580461703200,258950,45210453900,65500349,2026-08-14
247540,116700,11416811647800,345739,40014658550,97830434,2026-08-14
071050,204000,11368102368000,163281,32918083000,55725992,2026-08-14
259960,238000,10980804254000,94621,22410081500,46137833,2026-08-14
078930,117000,10868772915000,805628,93140248700,92895495,2026-08-14
0126Z0,433500,10786801741500,74399,30414655750,24883049,2026-08-14
005940,28750,10614675518750,268957,7669236575,369206105,2026-08-14
323410,22200,10592073701400,577751,12827109975,477120437,2026-08-14
006260,323500,10093200000000,258716,82034732750,31200000,2026-08-14
028050,49800,9760800000000,1592948,78818866300,196000000,2026-08-14
277810,501000,9719328858000,133799,67526947750,19399858,2026-08-14
003490,26300,9684203384300,1622859,42618256175,368220661,2026-08-14
003230,1270000,9566929050000,85777,108381909000,7533015,2026-08-14
047050,53300,9376684600400,679737,36222245400,175922788,2026-08-14
161390,71600,8869454940400,222029,15879768450,123875069,2026-08-14
443060,196800,8823224928000,124077,24495400800,44833460,2026-08-14
016360,93000,8304900000000,473641,43766589150,89300000,2026-08-14
036930,177800,8264343313800,1264896,225427761800,46481121,2026-08-14
180640,120000,8011473480000,73770,8796130950,66762279,2026-08-14
009830,35400,7961195774400,2932229,103893827975,224892536,2026-08-14
090430,135700,7937467396300,230356,31096991250,58492759,2026-08-14
039490,300500,7881608958000,52239,15579945500,26228316,2026-08-14
064400,79900,7741187245200,1588466,126840034050,96885948,2026-08-14
352820,179400,7733366378400,183626,32835012550,43106836,2026-08-14
005387,213000,7447317090000,128706,26829858500,34963930,2026-08-14
047040,18010,7400446560380,4858982,87770874565,410907638,2026-08-14
007660,95600,7017921336400,685133,64035519950,73409219,2026-08-14
021240,98200,6949361233200,81317,7979277000,70767426,2026-08-14
326030,87300,6836746725000,99781,8664510200,78313250,2026-08-14
000100,83700,6666504203700,202661,16889190200,79647601,2026-08-14
267270,138600,6641974924200,188751,25981616250,47921897,2026-08-14
032640,15060,6391881643920,693603,10331240275,424427732,2026-08-14
241560,66100,6336085896500,112144,7352428700,95856065,2026-08-14
377300,45150,6107561727750,267260,12118797925,135272685,2026-08-14
000880,83800,5908563612200,0,0,70507919,2026-08-14
353200,119100,5885555767500,1046555,122762134950,49416925,2026-08-14
001440,29950,5869978250200,1672531,49449679750,195992596,2026-08-14
028300,43150,5747503322450,630949,27094217100,133198223,2026-08-14
240810,116600,5723182856600,1261268,145346483400,49083901,2026-08-14
029780,48550,5624949158050,144643,6938295325,115858891,2026-08-14
062040,182500,5592320125000,344392,61917123900,30642850,2026-08-14
058470,70800,5395798980000,725587,51143619100,76211850,2026-08-14
036570,247500,5332145445000,74476,18211213250,21544022,2026-08-14
271560,134000,5296857592000,70656,9487641100,39528788,2026-08-14
175330,28000,5222611072000,310199,8708367600,186521824,2026-08-14
010060,279000,5208994728000,218591,59645321250,18670232,2026-08-14
034220,10270,5135000000000,4154923,42018368210,500000000,2026-08-14
454910,79200,5133742416000,622463,49293704350,64819980,2026-08-14
128940,398500,5105179913500,48151,19037818000,12810991,2026-08-14
039030,404000,4977098200000,179666,71816553750,12319550,2026-08-14
000500,167100,4975838129700,115657,19058061250,29777607,2026-08-14
005385,211000,4924942560000,80033,16593140000,23340960,2026-08-14
088350,5630,4889823900000,14537788,79379061170,868530000,2026-08-14
298380,84100,4708545638300,289348,24432774250,55987463,2026-08-14
138930,15130,4695248009290,1063153,15978388035,310327033,2026-08-14
088980,9690,4640754112170,1881794,18144610675,478921993,2026-08-14
051900,307500,4604973322500,76531,23558975750,14975523,2026-08-14
087010,194000,4523565900000,134526,25950153150,23317350,2026-08-14
000990,102800,4472271646400,322120,32543880450,43504588,2026-08-14
066970,109700,4462953622000,506428,54228807800,40683260,2026-08-14
011790,89800,4453927160400,133427,11792768450,49598298,2026-08-14
000250,189000,4433462208000,171924,33030873350,23457472,2026-08-14
141080,113900,4216511710200,212377,24370330750,37019418,2026-08-14
214450,398000,4135079904000,197721,79531151250,10389648,2026-08-14
108490,280000,4105087840000,392691,108773450250,14661028,2026-08-14
082740,49050,4093082315100,659245,31894490050,83447142,2026-08-14
222800,108700,4072329299700,861169,92738708750,37463931,2026-08-14
004170,427000,4033092287000,50719,21570113750,9445181,2026-08-14
001040,138100,4029343423800,158621,21570103950,29176998,2026-08-14
002380,465500,3999993088000,15647,7191590250,8592896,2026-08-14
004020,29900,3990028971500,674289,19878335650,133445785,2026-08-14
018880,3820,3920322948640,4462143,17030759156,1026262552,2026-08-14
319660,134100,3884436347400,344400,45641802800,28966714,2026-08-14
001450,45350,3866008137500,1120890,50334551650,85248250,2026-08-14
052690,101000,3860220000000,101395,10270974800,38220000,2026-08-14
111770,85900,3806355101200,57535,4892032650,44311468,2026-08-14
103590,74300,3543024477000,528090,37890690850,47685390,2026-08-14
007340,58900,3446289948500,899436,50811682925,58510865,2026-08-14
095340,161300,3419085455400,187860,29992465150,21197058,2026-08-14
036460,36600,3378655800000,120369,4388595650,92313000,2026-08-14
214370,61900,3324958500000,135246,8404462950,53715000,2026-08-14
403870,40400,3324920000000,2322000,93505928025,82300000,2026-08-14
310210,179700,3314223812100,101942,17998767400,18443093,2026-08-14
022100,21750,3306755355750,286086,6187275725,152034729,2026-08-14
011780,130600,3285546645000,88702,11517284000,25157325,2026-08-14
440110,65500,3282272268500,1187394,79946605500,50111027,2026-08-14
161890,136700,3226814025900,604709,82959497400,23605077,2026-08-14
145020,256000,3203884288000,48360,12318161500,12515173,2026-08-14
251270,39100,3203641726100,120680,4693765675,81934571,2026-08-14
031210,44900,3134989750200,36874,1632829900,69821598,2026-08-14
035250,14590,3121391895000,338739,4945772650,213940500,2026-08-14
009420,59700,3118766088600,218964,12946156600,52240638,2026-08-14
319400,28000,3118529092000,9773083,280309158800,111376039,2026-08-14
028670,5790,3095157474480,2372468,13589648370,534569512,2026-08-14
008930,44300,3029745665000,162179,7076414050,68391550,2026-08-14
006360,35350,3025305671500,2080996,72722687100,85581490,2026-08-14
084370,131100,3004293106200,141541,18211139200,22916042,2026-08-14
302440,37650,2953889220450,63121,2361406325,78456553,2026-08-14
012750,77700,2952536130600,34679,2675446200,37999178,2026-08-14
023530,102900,2910912889500,158161,16179541000,28288755,2026-08-14
131290,260000,2875971540000,103411,26806798000,11061429,2026-08-14
005850,61600,2861228832000,121386,7367954950,46448520,2026-08-14
095610,147500,2855600000000,460898,67573307750,19360000,2026-08-14
375500,73800,2855589377400,217727,16110728000,38693623,2026-08-14
483650,228500,2854859577500,238990,54636941250,12493915,2026-08-14
004800,169700,2840847067900,13899,2328470650,16740407,2026-08-14
017800,72500,2834197912500,78826,5701969750,39092385,2026-08-14
450080,39900,2825473413000,274415,10816944350,70813870,2026-08-14
085620,20850,2818503000000,303943,6121807045,135180000,2026-08-14
347850,61400,2814429192600,759933,46393329500,45837609,2026-08-14
257720,42850,2809942398200,2550832,110983065450,65576252,2026-08-14
192820,247500,2809003477500,148572,36604559250,11349509,2026-08-14
080220,81500,2807090889500,4217565,351086523350,34442833,2026-08-14
097950,185400,2791046084400,82077,15230222400,15054186,2026-08-14
139130,17470,2766608737760,377644,6529081385,158363408,2026-08-14
001720,166100,2730684000000,16041,2649559850,16440000,2026-08-14
064760,244000,2727777504000,137010,32883825250,11179416,2026-08-14
003690,15290,2702064563990,465747,6983293495,176721031,2026-08-14
489790,53300,2691031187000,323767,17332237600,50488390,2026-08-14
204320,57100,2681251552000,771435,43590507950,46957120,2026-08-14
004370,437500,2661155875000,154401,66058338500,6082642,2026-08-14
058610,118600,2630234896000,1362139,162590112250,22177360,2026-08-14
026960,26300,2622110000000,56264,1469646875,99700000,2026-08-14
383220,67000,2566574025000,65465,4389803900,38307075,2026-08-14
282330,145200,2509623151200,85341,12388403900,17283906,2026-08-14
357780,322000,2504698252000,38880,12188503250,7778566,2026-08-14
000240,26250,2492050050000,78619,2046879350,94935240,2026-08-14
336260,37850,2478937529100,599888,22369129850,65493726,2026-08-14
009970,189400,2453452939800,36439,6962004500,12953817,2026-08-14
011170,57200,2446753966800,140201,8014086450,42775419,2026-08-14
181710,74700,2446659483300,422676,30987493000,32753139,2026-08-14
214150,37500,2446337212500,512724,19522715650,65235659,2026-08-14
067310,36600,2433565805400,1927123,70840325100,66490869,2026-08-14
950160,28550,2425898068000,9800839,276301438575,84970160,2026-08-14
004990,24300,2421829756800,167388,4038597200,99663776,2026-08-14
031980,111200,2397738324000,324859,35075252450,21562395,2026-08-14
226950,112000,2359039200000,274197,30243975050,21062850,2026-08-14
014680,218500,2358496866000,97298,21060917500,10794036,2026-08-14
178320,36950,2351894732150,1260086,45942990300,63650737,2026-08-14
073240,8140,2338298736180,11897318,99169808965,287260287,2026-08-14
279570,5720,2320576263720,577558,3279094775,405695151,2026-08-14
007070,27700,2315925395500,163137,4481500300,83607415,2026-08-14
103140,82000,2297990796000,98939,8072849600,28024278,2026-08-14
018670,244000,2261695536000,19292,4631640000,9269244,2026-08-14
081660,42500,2256403200000,112161,4762647050,53091840,2026-08-14
237690,106400,2221274283200,76624,8129352850,20876638,2026-08-14
005290,43450,2214651974700,480216,20552882675,50970126,2026-08-14
098460,32350,2206406290550,1142412,36624760200,68204213,2026-08-14
069960,102200,2203934006400,117886,12082935150,21564912,2026-08-14
005440,11920,2186094612080,145894,1719712610,183397199,2026-08-14
030000,18980,2183482450500,339762,6432370470,115041225,2026-08-14
139480,78900,2177310119100,124603,9702182450,27595819,2026-08-14
140410,68700,2102631787800,99056,6719605700,30605994,2026-08-14
051600,46350,2085750000000,80273,3705256850,45000000,2026-08-14
439260,54700,2083453531000,327274,18222000500,38088730,2026-08-14
010170,13370,2078843274200,6497690,83865121975,155485660,2026-08-14
032820,11950,2064776113400,1939230,22960230805,172784612,2026-08-14
457190,68200,2060927070400,90161,6045646300,30218872,2026-08-14
