ticker,close,market_cap,volume,trading_value,shares_outstanding,effective_date
095570,4250,192324225750,57218,242915127,45252759,2026-09-04
006840,7710,102138695310,7977,62220600,13247561,2026-09-04
027410,3885,371859733035,37451,145163033,95716791,2026-09-04
282330,147600,2551104525600,49243,7185471500,17283906,2026-09-04
138930,15390,4722263767890,966052,14988396665,306839751,2026-09-04
001460,37700,235479855000,2056,77092400,6246150,2026-09-04
001465,27100,58369335000,1305,35285650,2153850,2026-09-04
001040,131400,3833857537200,94879,12291940700,29176998,2026-09-04
079160,5400,894147103800,332755,1781391840,165582797,2026-09-04
00104K,128800,544374745600,4053,512059700,4226512,2026-09-04
000120,73400,1674426049600,26371,1939904350,22812344,2026-09-04
011150,1994,71645961362,31198,62363835,35930773,2026-09-04
011155,6530,1306000000,8099,55477140,200000,2026-09-04
001045,68900,155729364700,2651,180299600,2260223,2026-09-04
097950,183400,2760937712400,46433,8530231650,15054186,2026-09-04
097955,121200,160884879600,3100,375856150,1327433,2026-09-04
000480,4525,212179467250,9003,40662170,46890490,2026-09-04
000590,66900,77234845800,39,2606300,1154482,2026-09-04
012030,1507,303169117031,537858,800370976,201173933,2026-09-04
005830,195700,12818418299300,219058,43093960200,65500349,2026-09-04
016610,9950,422341570550,49830,497748025,42446389,2026-09-04
000990,89900,3911062461200,271916,24215698350,43504588,2026-09-04
000300,4200,174035631000,0,0,41437055,2026-09-04
001530,27600,571751139600,26565,722431500,20715621,2026-09-04
015590,1492,79667291536,721084,1072278907,53396308,2026-09-04
000210,53600,1123235382400,57884,3128266800,20955884,2026-09-04
000215,24800,41815652000,873,21392675,1686115,2026-09-04
375500,73400,2840111928200,324809,23931502650,38693623,2026-09-04
37550L,48150,101690440650,4058,194140000,2111951,2026-09-04
37550K,24800,52424348000,1295,32335125,2113885,2026-09-04
007340,45100,2638840011500,83013,3768806025,58510865,2026-09-04
004840,4080,78631245120,18035,73203620,19272364,2026-09-04
155660,4470,71520000000,25105,111944359,16000000,2026-09-04
069730,5550,79920000000,24908,137405290,14400000,2026-09-04
017860,11780,207959808520,29562,346483690,17653634,2026-09-04
092780,3295,43390075700,35436,116946489,13168460,2026-09-04
017940,97700,670222000000,7823,763464500,6860000,2026-09-04
365550,3085,759184565000,210044,647068839,246089000,2026-09-04
383220,66900,2562743317500,73056,4849074900,38307075,2026-09-04
007700,14190,555032867730,10199,144568040,39114367,2026-09-04
114090,9580,592577318600,70715,672439000,61855670,2026-09-04
078930,123900,11509751830500,506916,63479541000,92895495,2026-09-04
006360,34250,2931166032500,846974,29000759400,85581490,2026-09-04
001250,2660,219539812240,337836,897756740,82533764,2026-09-04
007070,25400,2123628341000,246492,6148245600,83607415,2026-09-04
078935,62800,111763652800,9008,571956900,1779676,2026-09-04
499790,42800,848759994800,46330,1989206750,19830841,2026-09-04
012630,22650,1353149980650,45149,1019309100,59741721,2026-09-04
039570,7560,196239463560,1682,12728890,25957601,2026-09-04
089470,3955,126164500000,23683,92909000,31900000,2026-09-04
267270,140000,6709065580000,285024,39896189600,47921897,2026-09-04
009540,348500,24664430926000,106579,36899184750,70773116,2026-09-04
267250,240500,18997836942500,272287,64246430250,78993085,2026-09-04
443060,210500,9437443330000,41674,8731158000,44833460,2026-09-04
071970,50200,1702859049000,65818,3290295200,33921495,2026-09-04
322000,138900,1555680000000,233245,32071420100,11200000,2026-09-04
267260,714000,25737654390000,77266,55236654000,36047135,2026-09-04
329180,436500,45815574712500,185290,80757764000,104961225,2026-09-04
097230,16110,1454657991840,124067,1993771485,90295344,2026-09-04
014790,2555,96728725555,11758,30296005,37858601,2026-09-04
003580,1737,88002508185,95225,162290646,50663505,2026-09-04
204320,48500,2277420320000,335652,16217961025,46957120,2026-09-04
060980,40150,364515707050,6437,255716225,9078847,2026-09-04
011200,21050,19855159268500,876481,18511901550,943237970,2026-09-04
035000,6580,106646297520,35885,235277110,16207644,2026-09-04
002460,10740,109011000000,12606,135251835,10150000,2026-09-04
487570,48100,179217088700,1611,77808325,3725927,2026-09-04
298050,172800,774135014400,7867,1367478500,4479948,2026-09-04
015360,14080,383680000000,7440,104995930,27250000,2026-09-04
294870,23300,1535640789000,109364,2546710825,65907330,2026-09-04
175330,31000,5782176544000,842330,26164156925,186521824,2026-09-04
234080,11260,178297078040,9477,106482510,15834554,2026-09-04
001060,27500,640363075000,37639,1030712925,23285930,2026-09-04
001067,48900,10267679700,20,978000,209973,2026-09-04
001065,22650,7745190150,64,1451950,341951,2026-09-04
096760,4180,309006257560,38111,158976884,73924942,2026-09-04
008970,1138,118086740166,1041179,1173423989,103766907,2026-09-04
105560,172000,61006290248000,1344239,232543894644,354687734,2026-09-04
415640,10600,1298982808800,134106,1412326075,122545548,2026-09-04
432320,1483,223583434655,203720,301904643,150764285,2026-09-04
002380,482000,4141775872000,30228,14501352750,8592896,2026-09-04
344820,25050,400061325600,6147,154015875,15970512,2026-09-04
009070,4140,124200000000,110649,453453544,30000000,2026-09-04
009440,756,17568790596,0,0,23239141,2026-09-04
119650,918,100782913662,0,0,109785309,2026-09-04
092220,2600,104396832800,153520,395299867,40152628,2026-09-04
003620,2635,533257893120,425827,1128823276,202374912,2026-09-04
016380,5590,559049734230,145628,816569445,100008897,2026-09-04
001390,4520,300144434720,115578,521859854,66403636,2026-09-04
001940,27200,385597536000,4233,112457350,14176380,2026-09-04
025000,54400,238201769600,2567,139936500,4378709,2026-09-04
092230,98600,416550095600,2927,289014450,4224646,2026-09-04
