bucket,total_trades,trade_rate_pct,unique_tickers,positive_count,positive_rate_pct,mean_return,median_return,mean_mfe,median_mfe,mean_mae,median_mae,mean_holding_days,median_holding_days,soft_exit_count,soft_exit_rate_pct,hard_exit_count,hard_exit_rate_pct,open_at_cutoff_count,open_at_cutoff_rate_pct,winner_ge_20_count,winner_ge_20_rate_pct,winner_ge_30_count,winner_ge_30_rate_pct,winner_ge_50_count,winner_ge_50_rate_pct,winner_ge_100_count,winner_ge_100_rate_pct,winner_ge_200_count,winner_ge_200_rate_pct,tail_le_-15_count,tail_le_-15_rate_pct,tail_le_-20_count,tail_le_-20_rate_pct,tail_le_-30_count,tail_le_-30_rate_pct,tail_le_-40_count,tail_le_-40_rate_pct,tail_le_-50_count,tail_le_-50_rate_pct,tail_le_-60_count,tail_le_-60_rate_pct
A_100B_TO_LT_300B,725,45.944233,551,480,66.206897,3.188993,7.0,42.614221,28.0,-26.200055,-17.44,291.973793,104.0,273,37.655172,258,35.586207,194,26.758621,155,21.37931,93,12.827586,37,5.103448,7,0.965517,2,0.275862,173,23.862069,160,22.068966,134,18.482759,114,15.724138,94,12.965517,64,8.827586
B_GE_300B,853,54.055767,550,620,72.684642,9.119555,9.44,43.799648,29.03,-23.618511,-15.75,291.747948,125.0,428,50.17585,231,27.080891,194,22.743259,216,25.322392,121,14.185229,45,5.275498,22,2.579132,8,0.937866,154,18.053927,143,16.764361,117,13.716295,94,11.01993,59,6.916764,38,4.454865
