ticker,name,market,isu_cd,control_trade_id,control_trade_sequence,entry_signal_date,entry_signal_information_date,entry_execution_date,entry_open,identity_effective_from,identity_effective_to,v2_exit_reason,v2_exit_signal_date,v2_exit_execution_date,v2_exit_price,v2_terminal_return,v2_mfe,v2_mae,v2_holding_days,v2_trade_status,v2_loss_guard_triggered,v0_entry_execution_date,v0_entry_open,v0_exit_reason,v0_exit_signal_date,v0_exit_execution_date,v0_exit_price,v0_terminal_return,v0_mfe,v0_mae,v0_holding_days,v0_trade_status,v0_mfe_tier,v0_hwm,v0_max_hwm_drawdown,v0_fast_state_at_exit,v0_soft_threshold,v0_hard_threshold,v0_unexecuted_exit_signal_date,v0_entry_date_match_control,v0_entry_open_match_control,return_delta_v0_minus_v2,improved_worsened_same,v2_giveback_pp,v0_giveback_pp
004560,현대비앤지스틸,KOSPI,KR7004560009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004560_KR7004560009_KOSPI_01,1,2024-03-15,2024-03-15,2024-03-18,20850.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,2024-08-31,2024-09-02,14180.0,-31.99,11.03,-41.49,115,REALIZED,False,2024-03-18,20850.0,HARD_EXIT,2026-03-03,2026-03-04,18500.0,-11.27,22.3,-52.57,475,REALIZED,MFE_20_TO_50,25500.0,-56.33,EXTENDED,-10.0,-20.0,,True,True,20.72,improved,43.02,33.57
004690,삼천리,KOSPI,KR7004690004,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004690_KR7004690004_KOSPI_01,1,2025-07-04,2025-07-04,2025-07-07,147800.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2025-08-27,2025-08-28,126300.0,-14.55,19.62,-16.58,38,REALIZED,True,2025-07-07,147800.0,OPEN_AT_CUTOFF,,,,-12.11,19.62,-27.2,276,OPEN_AT_CUTOFF,BELOW_WINNER_MODE,176800.0,-37.84,,,,,True,True,2.44,improved,34.17,31.73
004700,조광피혁,KOSPI,KR7004700001,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004700_KR7004700001_KOSPI_01,1,2025-06-13,2025-06-13,2025-06-16,61100.0,2010-01-04,2026-08-21,NO_PROGRESSED_BEFORE_CUTOFF,,,,6.06,43.37,-5.73,291,OPEN_AT_CUTOFF,False,2025-06-16,61100.0,SOFT_EXIT,2025-07-18,2025-07-21,72500.0,18.66,43.37,-4.75,26,REALIZED,MFE_20_TO_50,87600.0,-15.64,SETUP,-10.0,-20.0,,True,True,12.6,improved,37.31,24.71
004710,한솔테크닉스,KOSPI,KR7004710000,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004710_KR7004710000_KOSPI_01,1,2021-04-02,2021-04-02,2021-04-05,10541.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2021-05-17,2021-05-18,8778.0,-16.73,6.08,-16.73,31,REALIZED,True,2021-04-05,10541.0,HARD_EXIT,2026-05-28,2026-05-29,12130.0,15.07,43.46,-68.09,1246,REALIZED,MFE_20_TO_50,15122.0,-69.87,EXTENDED,-10.0,-20.0,,True,True,31.8,improved,22.81,28.39
004800,효성,KOSPI,KR7004800009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004800_KR7004800009_KOSPI_01,1,2021-04-02,2021-04-02,2021-04-05,66710.0,2010-01-04,2026-08-21,EXIT3_PROGRESSED_TO_TRANSITION,2022-04-30,2022-05-02,63860.0,-4.27,48.39,-10.51,267,REALIZED,False,2021-04-05,66710.0,SOFT_EXIT,2021-05-21,2021-05-24,76956.0,15.36,29.91,-1.96,34,REALIZED,MFE_20_TO_50,86662.0,-11.11,SETUP,-10.0,-20.0,,True,True,19.63,improved,52.66,14.55
004800,효성,KOSPI,KR7004800009,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004800_KR7004800009_KOSPI_02,2,2025-05-30,2025-05-30,2025-06-02,63700.0,2010-01-04,2026-08-21,EXIT4_SCORE_DRAWDOWN_GE_15,2025-10-31,2025-11-03,133900.0,110.2,110.2,-0.47,103,REALIZED,False,2025-06-02,63700.0,SOFT_EXIT,2025-07-04,2025-07-07,67300.0,5.65,26.22,-0.47,24,REALIZED,MFE_20_TO_50,80400.0,-13.93,SETUP,-10.0,-20.0,,True,True,-104.55,worsened,0.0,20.57
004990,롯데지주,KOSPI,KR7004990008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004990_KR7004990008_KOSPI_01,1,2021-06-04,2021-06-04,2021-06-07,42300.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2021-08-13,2021-08-17,35950.0,-15.01,3.19,-15.48,51,REALIZED,True,2021-06-07,42300.0,OPEN_AT_CUTOFF,,,,-46.1,3.19,-53.24,1276,OPEN_AT_CUTOFF,BELOW_WINNER_MODE,43650.0,-54.59,,,,,True,True,-31.09,worsened,18.2,49.29
004990,롯데지주,KOSPI,KR7004990008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004990_KR7004990008_KOSPI_02,2,2022-04-29,2022-04-29,2022-05-02,33950.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2023-03-14,2023-03-15,28900.0,-14.87,22.68,-16.05,216,REALIZED,True,2022-05-02,33950.0,HARD_EXIT,2022-10-21,2022-10-24,32950.0,-2.95,22.68,-6.33,118,REALIZED,MFE_20_TO_50,41650.0,-22.93,SETUP,-10.0,-20.0,,True,True,11.92,improved,37.55,25.63
004990,롯데지주,KOSPI,KR7004990008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004990_KR7004990008_KOSPI_03,3,2024-02-23,2024-02-23,2024-02-26,30000.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2024-04-16,2024-04-17,25350.0,-15.5,3.0,-16.83,36,REALIZED,True,2024-02-26,30000.0,SOFT_EXIT,2025-07-18,2025-07-21,30600.0,2.0,20.33,-34.07,340,REALIZED,MFE_20_TO_50,36100.0,-35.86,SETUP,-10.0,-20.0,,True,True,17.5,improved,18.5,18.33
004990,롯데지주,KOSPI,KR7004990008,PATTERN_A_FAST_FINAL_STRATEGY_V02_CONTROL_004990_KR7004990008_KOSPI_04,4,2025-05-30,2025-05-30,2025-06-02,29500.0,2010-01-04,2026-08-21,LOSS_GUARD_CLOSE_LE_NEG_15,2026-06-08,2026-06-09,24100.0,-18.31,34.24,-19.49,248,REALIZED,True,2025-06-02,29500.0,SOFT_EXIT,2025-07-18,2025-07-21,30600.0,3.73,22.37,-9.15,34,REALIZED,MFE_20_TO_50,36100.0,-15.48,SETUP,-10.0,-20.0,,True,True,22.04,improved,52.55,18.64
