ticker,control_category,window_start,window_end,candidate_rows,pykrx_rows,overlap_rows,date_only_candidate,date_only_pykrx,open_mismatch,high_mismatch,low_mismatch,close_mismatch,parity_status
001530,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
002140,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
002360,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
002820,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
003350,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
003610,HISTORICAL_ONLY_DELISTED,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
0001A0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0004V0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0007C0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0007J0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0008Z0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0009K0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0010F0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0010V0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0011A0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0011T0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0013V0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0015G0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0015N0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0015S0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0017J0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0039P0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0082N0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0088M0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0117P0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0156T0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0218L0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0120G0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
0126Z0,ALPHA_23_FULL_SET,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
035720,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
003670,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
011070,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
028260,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
009150,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
000100,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
004020,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
010130,CORPORATE_ACTION_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
000610,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
015940,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
037510,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
045820,EXISTING_EMPTY_CONTROL,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
000810,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
001040,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
001740,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
002790,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
003540,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
000500,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
000970,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
001250,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
001380,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
001420,EXISTING_OHLC_ANOMALY_CONTROL,2018-01-02,2019-12-31,490,490,490,0,0,0,0,0,0,MATCH
030990,KNOWN_UNSUPPORTED_CONTROL,2018-01-02,2019-12-31,0,0,0,0,0,0,0,0,0,NOT_APPLICABLE
