ticker,control_category,expected_count,candidate_count,first_expected_date,first_candidate_date,last_expected_date,last_candidate_date,missing_expected_count,unexpected_count,pre_listing_rows,post_delisting_rows,future_rows,coverage_status,reason
0010V0,ALPHA_23_FULL_SET,244,244,2025-08-21,2025-08-21,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0010V0
0011A0,ALPHA_23_FULL_SET,114,114,2026-03-09,2026-03-09,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0011A0
0011T0,ALPHA_23_FULL_SET,77,77,2026-04-29,2026-04-29,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0011T0
0013V0,ALPHA_23_FULL_SET,162,162,2025-12-22,2025-12-22,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0013V0
0015G0,ALPHA_23_FULL_SET,187,187,2025-11-17,2025-11-17,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0015G0
0015N0,ALPHA_23_FULL_SET,179,179,2025-11-27,2025-11-27,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0015N0
0015S0,ALPHA_23_FULL_SET,170,170,2025-12-10,2025-12-10,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0015S0
0017J0,ALPHA_23_FULL_SET,51,51,2026-06-10,2026-06-10,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0017J0
0039P0,ALPHA_23_FULL_SET,36,36,2026-07-01,2026-07-01,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0039P0
0082N0,ALPHA_23_FULL_SET,109,109,2026-03-16,2026-03-16,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0082N0
0088M0,ALPHA_23_FULL_SET,101,101,2026-03-26,2026-03-26,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0088M0
0117P0,ALPHA_23_FULL_SET,53,53,2026-06-08,2026-06-08,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0117P0
0156T0,ALPHA_23_FULL_SET,20,20,2026-07-24,2026-07-24,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0156T0
0218L0,ALPHA_23_FULL_SET,19,19,2026-07-27,2026-07-27,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0218L0
0120G0,ALPHA_23_FULL_SET,182,182,2025-11-24,2025-11-24,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0120G0
0126Z0,ALPHA_23_FULL_SET,182,182,2025-11-24,2025-11-24,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,ALPHA_23_MANDATORY_0126Z0
035720,CORPORATE_ACTION_CONTROL,4092,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,3,0,0,0,COVERAGE_VALID,STOCK_SPLIT_5_TO_1_2021
003670,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RIGHTS_ISSUE_REORGANIZATION
011070,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,MERGER_SPINOFF_HISTORY
028260,CORPORATE_ACTION_CONTROL,2864,2864,2014-12-18,2014-12-18,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,MERGER_REORGANIZATION_2015
009150,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,SPINOFF_CAPITAL_CHANGE_HISTORY
000100,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,BONUS_ISSUE_STOCK_DIVIDEND_HISTORY
004020,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,MERGER_REORGANIZATION_HISTORY
010130,CORPORATE_ACTION_CONTROL,4095,4095,2010-01-04,2010-01-04,2026-08-21,2026-08-21,0,0,0,0,0,COVERAGE_VALID,RIGHTS_ISSUE_CAPITAL_CHANGE_HISTORY
000610,EXISTING_EMPTY_CONTROL,12,12,2010-01-04,2010-01-04,2010-01-19,2010-01-19,0,0,0,0,0,COVERAGE_VALID,EXISTING_EMPTY_RECONCILED
015940,EXISTING_EMPTY_CONTROL,9,9,2010-01-04,2010-01-04,2010-01-14,2010-01-14,0,0,0,0,0,COVERAGE_VALID,EXISTING_EMPTY_RECONCILED
