일자,종가,대비,등락률,시가,고가,저가
"2023/12/28","17.78","1.23","7.43","16.62","17.78","16.42"
"2023/12/27","16.55","0.30","1.85","16.42","16.94","16.23"
"2023/12/26","16.25","1.28","8.55","15.83","16.31","15.75"
"2023/12/22","14.97","0.04","0.27","15.32","15.34","14.93"
"2023/12/21","14.93","0.15","1.01","14.91","15.09","14.72"
"2023/12/20","14.78","0.93","6.71","13.92","15.42","13.79"
"2023/12/19","13.85","0.42","-2.94","14.31","14.35","13.85"
"2023/12/18","14.27","0.29","2.07","14.57","14.57","14.21"
"2023/12/15","13.98","0.13","-0.92","13.89","14.61","13.87"
"2023/12/14","14.11","0.19","-1.33","14.25","14.28","13.84"
"2023/12/13","14.30","0.15","-1.04","14.30","14.40","14.09"
"2023/12/12","14.45","0.14","-0.96","14.42","14.65","14.32"
"2023/12/11","14.59","0.17","-1.15","14.80","14.94","14.56"
"2023/12/08","14.76","2.09","-12.40","14.79","14.94","14.59"
"2023/12/07","16.85","2.29","15.73","16.75","16.88","16.64"
"2023/12/06","14.56","0.28","-1.89","14.49","14.56","14.34"
"2023/12/05","14.84","0.23","1.57","14.62","14.84","14.54"
"2023/12/04","14.61","0.11","0.76","14.90","14.97","14.56"
"2023/12/01","14.50","0.04","0.28","14.52","14.81","14.50"
"2023/11/30","14.46","0.14","-0.96","14.61","14.69","14.32"
"2023/11/29","14.60","0.75","-4.89","14.86","15.02","14.58"
"2023/11/28","15.35","0.15","0.99","15.57","15.75","15.32"
"2023/11/27","15.20","0.16","1.06","15.42","15.46","15.15"
"2023/11/24","15.04","0.09","-0.59","15.07","15.15","14.90"
"2023/11/23","15.13","0.75","-4.72","16.00","16.02","15.13"
"2023/11/22","15.88","0.30","-1.85","16.27","16.28","15.86"
"2023/11/21","16.18","0.50","-3.00","16.36","16.51","16.17"
"2023/11/20","16.68","0.13","0.79","16.85","16.91","16.56"
"2023/11/17","16.55","0.43","-2.53","16.84","16.95","16.55"
"2023/11/16","16.98","0.26","-1.51","17.21","17.28","16.86"
"2023/11/15","17.24","0.11","-0.63","16.72","17.42","16.72"
"2023/11/14","17.35","0.33","-1.87","17.51","17.55","17.30"
"2023/11/13","17.68","0.55","3.21","17.43","17.97","17.43"
"2023/11/10","17.13","0.29","1.72","17.21","17.43","17.12"
"2023/11/09","16.84","0.72","-4.10","17.22","17.29","16.38"
"2023/11/08","17.56","0.67","-3.68","17.84","18.11","17.43"
"2023/11/07","18.23","0.42","-2.25","18.04","19.18","17.88"
"2023/11/06","18.65","1.95","11.68","16.85","18.97","16.66"
"2023/11/03","16.70","0.79","-4.52","17.01","17.18","16.67"
"2023/11/02","17.49","1.30","-6.92","17.73","17.88","17.27"
"2023/11/01","18.79","1.10","-5.53","19.09","19.20","18.74"
"2023/10/31","19.89","0.14","-0.70","19.25","20.12","19.05"
"2023/10/30","20.03","0.01","0.05","21.04","21.04","19.88"
