일자,종가,대비,등락률,시가,고가,저가
"2021/12/30","16.50","0.05","-0.30","16.53","16.66","16.33"
"2021/12/29","16.55","0.52","-3.05","16.95","16.98","16.48"
"2021/12/28","17.07","0.39","-2.23","17.76","17.78","16.94"
"2021/12/27","17.46","0.96","5.82","17.29","17.60","17.18"
"2021/12/24","16.50","0.43","-2.54","16.58","16.69","16.47"
"2021/12/23","16.93","0.49","-2.81","17.24","17.28","16.89"
"2021/12/22","17.42","0.90","-4.91","17.51","17.82","17.42"
"2021/12/21","18.32","1.20","-6.15","18.43","19.11","18.12"
"2021/12/20","19.52","2.50","14.69","18.39","19.55","18.22"
"2021/12/17","17.02","0.04","0.24","17.43","17.48","16.98"
"2021/12/16","16.98","1.45","-7.87","17.09","17.67","16.97"
"2021/12/15","18.43","0.03","0.16","18.80","18.98","18.28"
"2021/12/14","18.40","0.40","2.22","18.45","18.88","18.07"
"2021/12/13","18.00","0.61","3.51","17.19","18.10","16.92"
"2021/12/10","17.39","0.74","4.44","17.02","17.41","16.83"
"2021/12/09","16.65","1.04","-5.88","16.95","17.01","16.27"
"2021/12/08","17.69","0.79","-4.27","17.16","18.34","17.07"
"2021/12/07","18.48","2.43","-11.62","20.85","20.99","18.43"
"2021/12/06","20.91","0.82","4.08","21.49","21.69","20.44"
"2021/12/03","20.09","0.93","-4.42","21.51","21.52","20.01"
"2021/12/02","21.02","0.45","2.19","21.65","22.04","20.84"
"2021/12/01","20.57","2.66","-11.45","22.07","22.93","20.57"
"2021/11/30","23.23","2.31","11.04","18.93","24.98","18.76"
"2021/11/29","20.92","2.88","15.96","20.71","21.41","19.94"
"2021/11/26","18.04","1.88","11.63","16.38","18.25","16.38"
"2021/11/25","16.16","0.11","-0.68","16.45","16.49","16.16"
"2021/11/24","16.27","0.23","-1.39","16.34","16.70","16.19"
"2021/11/23","16.50","0.33","2.04","16.43","16.52","16.35"
"2021/11/22","16.17","0.08","-0.49","16.26","16.52","16.14"
"2021/11/19","16.25","0.49","-2.93","16.54","16.86","16.25"
"2021/11/18","16.74","0.23","1.39","16.72","17.09","16.54"
"2021/11/17","16.51","0.54","3.38","16.18","16.71","16.17"
"2021/11/16","15.97","0.07","0.44","16.20","16.31","15.92"
"2021/11/15","15.90","0.28","-1.73","16.12","16.14","15.90"
"2021/11/12","16.18","0.80","-4.71","16.47","16.54","16.15"
"2021/11/11","16.98","1.21","-6.65","18.31","18.43","16.98"
"2021/11/10","18.19","0.19","1.06","18.30","18.46","17.79"
"2021/11/09","18.00","0.24","-1.32","17.77","18.57","17.75"
"2021/11/08","18.24","0.22","1.22","19.12","19.38","18.12"
"2021/11/05","18.02","0.42","2.39","17.93","18.42","17.52"
"2021/11/04","17.60","0.76","-4.14","17.33","17.80","17.13"
"2021/11/03","18.36","1.08","6.25","17.69","18.55","17.40"
"2021/11/02","17.28","1.05","-5.73","17.60","17.64","16.82"
"2021/11/01","18.33","0.22","-1.19","18.46","18.46","17.92"
"2021/10/29","18.55","1.46","8.54","17.07","18.85","17.03"
"2021/10/28","17.09","0.21","1.24","17.01","17.09","16.58"
"2021/10/27","16.88","0.77","4.78","16.50","17.03","16.48"
"2021/10/26","16.11","0.92","-5.40","16.51","16.53","16.01"
"2021/10/25","17.03","0.17","-0.99","18.50","18.53","17.03"
"2021/10/22","17.20","0.48","-2.71","17.89","17.89","17.14"
