일자,종가,대비,등락률,시가,고가,저가
"2025/12/30","28.85","1.37","4.99","27.76","28.88","27.73"
"2025/12/29","27.48","1.28","4.89","27.17","27.54","26.73"
"2025/12/26","26.20","0.21","0.81","26.40","26.57","26.20"
"2025/12/24","25.99","0.12","-0.46","26.08","26.09","25.78"
"2025/12/23","26.11","1.08","-3.97","26.80","26.83","26.02"
"2025/12/22","27.19","0.08","-0.29","27.24","27.53","27.04"
"2025/12/19","27.27","0.59","-2.12","27.47","27.89","27.22"
"2025/12/18","27.86","1.08","4.03","28.23","28.51","27.74"
"2025/12/17","26.78","1.59","-5.60","27.93","28.39","26.78"
"2025/12/16","28.37","1.45","5.39","26.85","28.64","26.59"
"2025/12/15","26.92","1.87","7.47","28.06","28.06","26.69"
"2025/12/12","25.05","2.35","-8.58","26.79","26.93","25.04"
"2025/12/11","27.40","0.24","-0.87","27.15","27.99","26.52"
"2025/12/10","27.64","0.23","-0.83","27.96","27.96","27.44"
"2025/12/09","27.87","0.54","1.98","27.51","27.96","27.44"
"2025/12/08","27.33","0.38","1.41","28.06","28.26","27.26"
"2025/12/05","26.95","1.45","-5.11","28.42","28.42","26.64"
"2025/12/04","28.40","0.96","-3.27","29.54","29.73","28.37"
"2025/12/03","29.36","0.37","-1.24","29.48","29.78","28.89"
"2025/12/02","29.73","1.82","-5.77","31.71","31.72","29.73"
"2025/12/01","31.55","1.31","4.33","31.00","32.01","30.73"
"2025/11/28","30.24","0.55","-1.79","30.50","30.88","30.24"
"2025/11/27","30.79","2.27","-6.87","32.06","32.16","30.77"
"2025/11/26","33.06","4.10","-11.03","36.31","36.31","32.97"
"2025/11/25","37.16","1.56","-4.03","36.98","37.92","36.79"
"2025/11/24","38.72","2.66","-6.43","39.40","40.07","38.61"
"2025/11/21","41.38","5.10","14.06","40.70","41.58","39.79"
"2025/11/20","36.28","3.23","-8.18","36.33","36.43","34.88"
"2025/11/19","39.51","0.25","0.64","37.84","41.71","37.84"
"2025/11/18","39.26","4.90","14.26","35.41","40.12","34.68"
"2025/11/17","34.36","2.30","-6.27","35.93","36.13","34.08"
"2025/11/14","36.66","3.32","9.96","35.97","36.93","34.46"
"2025/11/13","33.34","2.76","-7.65","34.89","34.93","33.10"
"2025/11/12","36.10","2.83","-7.27","38.48","38.48","36.10"
"2025/11/11","38.93","0.82","-2.06","39.71","40.03","38.92"
"2025/11/10","39.75","2.13","-5.09","41.15","41.28","39.69"
"2025/11/07","41.88","1.68","4.18","43.93","44.65","41.88"
"2025/11/06","40.20","0.31","-0.77","39.17","40.64","38.58"
"2025/11/05","40.51","4.73","13.22","37.50","42.97","37.48"
"2025/11/04","35.78","2.89","8.79","33.62","35.78","33.42"
"2025/11/03","32.89","2.49","8.19","31.15","33.14","30.77"
"2025/10/31","30.40","1.49","-4.67","31.96","31.97","30.38"
"2025/10/30","31.89","0.74","-2.27","32.97","33.02","31.68"
"2025/10/29","32.63","0.61","-1.84","33.61","34.00","32.38"
"2025/10/28","33.24","0.30","0.91","33.36","34.27","32.99"
"2025/10/27","32.94","1.65","5.27","32.57","32.99","32.16"
"2025/10/24","31.29","0.66","2.15","30.77","31.31","30.53"
"2025/10/23","30.63","0.65","2.17","31.05","31.44","30.03"
"2025/10/22","29.98","0.64","-2.09","30.60","30.91","29.45"
"2025/10/21","30.62","0.28","-0.91","30.26","31.65","30.00"
"2025/10/20","30.90","3.68","-10.64","32.18","32.34","30.90"
"2025/10/17","34.58","4.69","15.69","32.72","34.62","32.09"
"2025/10/16","29.89","2.23","8.06","27.86","30.11","27.78"
"2025/10/15","27.66","2.79","-9.16","28.89","29.02","27.26"
"2025/10/14","30.45","2.42","8.63","26.55","31.12","26.01"
