date,kospi_close,trading_value,v_kospi200_close,v_level_pct_252,v_z_60,v_change_20,kospi_return_20,kospi_return_60,kospi_drawdown_60,participation_pct_252,participation_ratio_20,future_return_20,future_min_return_20,future_risk_event_20,score_balanced_v01,score_downside_sensitive_v01,score_participation_aware_v01,fear_score,regime
2011-08-26,1778.95,4946328995373.0,38.37,0.9841269841269841,1.7161356133465129,0.9281407035175879,-0.17482663450611124,-0.1692351518208225,-0.18418868287940426,0.04365079365079365,1.2315573988687578,-0.024306472919418787,-0.07096320863430672,0.0,95.5863187668933,95.77388909216558,95.85213497571598,95.77388909216558,PANIC
2011-08-25,1764.58,6028398095399.0,37.4,0.9801587301587301,1.6768613894219062,0.9489317352787909,-0.1884413906020761,-0.17638053274958343,-0.19077864247749476,0.28174603174603174,1.238512434816473,-0.06339752235659468,-0.06339752235659468,0.0,93.9270097383437,94.91298003720267,90.6867895610122,94.91298003720267,PANIC
2011-08-22,1710.7,7275178704684.0,37.99,0.9841269841269841,1.9726796612573494,1.122346368715084,-0.21210558070770946,-0.18223059309434908,-0.21548755153421784,0.6666666666666666,1.2230847910644116,0.08393055474367217,0.02248202490208695,0.0,90.78752728005661,91.55676421845044,81.55676421845044,91.55676421845044,PANIC
2011-08-24,1754.78,7752416455369.0,36.68,0.9761904761904762,1.6628671486769617,0.8907216494845362,-0.19086088440079307,-0.16191213063392218,-0.19527283900228842,0.7738095238095238,1.2406446401536768,-0.032676460866889245,-0.032676460866889245,0.0,88.7998138149396,89.83479651154703,78.22765365440418,89.83479651154703,PANIC
2020-03-19,1457.64,11928752280010.0,69.24,1.0,3.2880152807941254,2.7960526315789473,-0.3360783420633112,-0.33639873256364494,-0.35708898445253057,0.996031746031746,1.79253911631774,0.3134450207184214,0.017027523942811706,0.0,89.49991306115311,89.67983622066292,74.73936003018675,89.67983622066292,PANIC
2011-08-19,1744.88,9503988061565.0,41.91,0.9880952380952381,2.607698870744356,1.152542372881356,-0.18655129974266205,-0.14293152313261648,-0.19981289467529428,0.9404761904761905,1.228178147313583,0.05335037366466455,-0.01958873962679386,0.0,89.02985518880176,89.49212568142339,75.38498282428054,89.49212568142339,PANIC
2020-03-18,1591.2,9574901913317.0,62.8,0.9920634920634921,3.194426815798288,2.4524463991203955,-0.28011075219197046,-0.2750004556306841,-0.2981806152828316,0.9841269841269841,1.7504482634670258,0.16708773252890885,-0.08393665158371033,0.0,89.21094743557116,89.48719247027493,74.72528770837017,89.48719247027493,PANIC
2020-03-23,1482.46,9644349898230.0,62.5,0.9841269841269841,2.431457138122065,1.6427061310782243,-0.28694974603663226,-0.3272889808550127,-0.34614180174219866,0.9761904761904762,1.8296034550112403,0.2677441549856321,0.08601243878418297,0.0,88.31173195674985,88.87448797116656,74.23163082830942,88.87448797116656,PANIC
2020-03-20,1566.15,10630607027888.0,60.73,0.9841269841269841,2.4901038880744073,2.0671717171717168,-0.27588263579367867,-0.2894636554183414,-0.30922924247436323,0.9880952380952381,1.8274458646498217,0.21211889027232367,-0.053436771701305785,0.0,88.25643911360702,88.79794353605547,73.9765149646269,88.79794353605547,PANIC
2018-10-29,1996.05,6358836446715.0,23.03,0.9920634920634921,3.1770229733469693,1.0290748898678417,-0.15257511367351184,-0.13025764818147345,-0.15257511367351184,0.503968253968254,0.9591077480566966,0.04357105282933804,0.009338443425765952,0.0,90.27725933973834,87.76283153141021,82.99729862800544,87.76283153141021,PANIC
2020-03-24,1609.97,10480502291277.0,53.78,0.9722222222222222,1.7824332869411261,1.3670774647887325,-0.23466326933224313,-0.2648807349503214,-0.2899018634910133,0.9841269841269841,1.8404661189803453,0.1777548649974845,0.046889072467188875,0.0,86.7486861722933,87.74647861221669,72.98457385031193,87.74647861221669,PANIC
2011-08-23,1776.68,8092121479231.0,34.78,0.9722222222222222,1.4945022828136838,0.7583417593528816,-0.1738216584204456,-0.1540585837809011,-0.1852296855438207,0.8095238095238095,1.2347876646221592,0.013435171218227238,-0.015489564806267841,0.0,86.90335607503971,87.34534194443374,75.9545113142397,87.34534194443374,PANIC
2020-03-26,1686.24,12372233119199.0,52.76,0.9682539682539683,1.5899406031002796,0.9657228017883754,-0.1794013304848434,-0.2349912213446087,-0.2562619913992722,0.9920634920634921,1.9307423396838834,0.1202497865072587,-0.0004625676060346917,0.0,86.10990984340835,87.2743314299971,72.39337904904471,87.2743314299971,PANIC
2022-09-30,2155.49,7922894669994.0,27.19,0.9880952380952381,2.6288261221356013,0.5707683419988447,-0.12805566230456522,-0.07955059826286004,-0.1492113738987655,0.20634920634920634,0.7920318607150528,0.08338243276470791,0.003423815466552904,0.0,90.89670119263079,87.23140366645336,88.25704123902402,87.23140366645336,PANIC
2022-07-04,2300.34,7337928754327.0,24.07,0.9186507936507936,1.368035310534827,0.4267931238885596,-0.138659127927658,-0.15893427128770066,-0.15683176881545036,0.007936507936507936,0.7990452301727679,0.06603806393837419,-0.0036212038220436726,0.0,88.73307139383601,87.19916020335666,90.44220312346263,87.19916020335666,PANIC
2020-03-25,1704.76,12610527682774.0,49.32,0.9682539682539683,1.4440520655087516,0.9649402390438246,-0.1791291284061307,-0.22437930234356862,-0.24809350534788843,0.996031746031746,1.8802320874936178,0.12316689739318143,-0.011321241699711382,0.0,85.74733140363234,87.01938495691891,72.07890876644272,87.01938495691891,PANIC
