ticker,filename,raw_match,runtime_metadata_only_delta,normalized_json_sha_canonical,normalized_json_sha_run1,normalized_json_sha_run2,behavioral_match
001450,001450_현대해상.json,True,False,ee9ec57605dfc078843ed3dc15705f42e20afebc001788092cefa56e5ec9bafc,ee9ec57605dfc078843ed3dc15705f42e20afebc001788092cefa56e5ec9bafc,ee9ec57605dfc078843ed3dc15705f42e20afebc001788092cefa56e5ec9bafc,True
001540,001540_안국약품.json,True,False,fcfc3e07d3d45d32f3fa05ef9e6a6d8d7190cfe9333ba5786ce6563e403a6235,fcfc3e07d3d45d32f3fa05ef9e6a6d8d7190cfe9333ba5786ce6563e403a6235,fcfc3e07d3d45d32f3fa05ef9e6a6d8d7190cfe9333ba5786ce6563e403a6235,True
001800,001800_오리온홀딩스.json,True,False,d3b869a1fc71924953c00ba8982bedbb111001810ebcde43a70c4584dbff9f4f,d3b869a1fc71924953c00ba8982bedbb111001810ebcde43a70c4584dbff9f4f,d3b869a1fc71924953c00ba8982bedbb111001810ebcde43a70c4584dbff9f4f,True
001940,001940_KISCO홀딩스.json,True,False,8f3ee28ab936ac27e40f084b148451efd016500b7cc4dcadd5deef98f7bce5ef,8f3ee28ab936ac27e40f084b148451efd016500b7cc4dcadd5deef98f7bce5ef,8f3ee28ab936ac27e40f084b148451efd016500b7cc4dcadd5deef98f7bce5ef,True
003550,003550_LG.json,True,False,d1ec8724bf70648aa9e66a2d1b6182760c08a91e6c14576843719b8f65424767,d1ec8724bf70648aa9e66a2d1b6182760c08a91e6c14576843719b8f65424767,d1ec8724bf70648aa9e66a2d1b6182760c08a91e6c14576843719b8f65424767,True
005930,005930_삼성전자.json,True,False,8e0882fa4d6ccb2958a58bfae448a4ad84d2763d5ca284dade972a05759a6d78,8e0882fa4d6ccb2958a58bfae448a4ad84d2763d5ca284dade972a05759a6d78,8e0882fa4d6ccb2958a58bfae448a4ad84d2763d5ca284dade972a05759a6d78,True
007390,007390_네이처셀.json,True,False,db33285e2e7d9a480ac129e0c37a2d5bde258bd29ed1f55be353fa0144eed393,db33285e2e7d9a480ac129e0c37a2d5bde258bd29ed1f55be353fa0144eed393,db33285e2e7d9a480ac129e0c37a2d5bde258bd29ed1f55be353fa0144eed393,True
008930,008930_한미사이언스.json,True,False,fdf8a940aea76e7a03f7b00e6c5a24f64c0177d3a4d91e689e8be53d5588ef22,fdf8a940aea76e7a03f7b00e6c5a24f64c0177d3a4d91e689e8be53d5588ef22,fdf8a940aea76e7a03f7b00e6c5a24f64c0177d3a4d91e689e8be53d5588ef22,True
010950,010950_S-Oil.json,True,False,7c31b7d4dbe5974b6ae4d9f89e2aac27de09b619d8bed1867e28abcc053c21d8,7c31b7d4dbe5974b6ae4d9f89e2aac27de09b619d8bed1867e28abcc053c21d8,7c31b7d4dbe5974b6ae4d9f89e2aac27de09b619d8bed1867e28abcc053c21d8,True
0115D0,0115D0_KODEX 조선TOP10.json,True,False,7bb654f5ed2aec07166e19df58e94724d0361b823e0a3cdbeb8a25c0ff7a9c4f,7bb654f5ed2aec07166e19df58e94724d0361b823e0a3cdbeb8a25c0ff7a9c4f,7bb654f5ed2aec07166e19df58e94724d0361b823e0a3cdbeb8a25c0ff7a9c4f,True
017890,017890_한국알콜.json,True,False,f3a75167e5bc7f6bc38fc8e18409cddd511af3dbb4b66bd23f87799fa4c343c0,f3a75167e5bc7f6bc38fc8e18409cddd511af3dbb4b66bd23f87799fa4c343c0,f3a75167e5bc7f6bc38fc8e18409cddd511af3dbb4b66bd23f87799fa4c343c0,True
018260,018260_삼성에스디에스.json,True,False,01ff8775dc0dbafc097f0920b74b0322700e7201e3f5c74179d4a537c6da479d,01ff8775dc0dbafc097f0920b74b0322700e7201e3f5c74179d4a537c6da479d,01ff8775dc0dbafc097f0920b74b0322700e7201e3f5c74179d4a537c6da479d,True
