ticker,signal_reference_date,market_cap_value,source_type,proxy_method,anchor_date,anchor_age_days,anchor_market_cap,anchor_listed_shares,anchor_close,target_price_date,target_close,close_semantics,estimated_market_cap,market_cap_threshold,market_cap_status,near_threshold,confidence_class,posthoc_next_anchor_date,posthoc_next_anchor_shares,posthoc_share_change_flag,failure_reason
153460,2025-07-04,49693406540.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,7,50411708080.0,,7720.0,2025-07-04,7610.0,ADJUSTED_CLOSE,49693406540.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,,,,
153460,2025-07-11,50281107800.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,14,50411708080.0,,7720.0,2025-07-11,7700.0,ADJUSTED_CLOSE,50281107800.0,100000000000.0,FAIL,False,HIGH_CONFIDENCE_PROXY,,,,
153460,2025-08-29,50085207380.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,63,50411708080.0,,7720.0,2025-08-29,7670.0,ADJUSTED_CLOSE,50085207380.0,100000000000.0,FAIL,False,MEDIUM_CONFIDENCE_PROXY,,,,
155660,2026-04-03,67679999999.99999,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,280,63360000000.0,,3960.0,2026-04-03,4230.0,ADJUSTED_CLOSE,67679999999.99999,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-04-10,70480000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,287,63360000000.0,,3960.0,2026-04-10,4405.0,ADJUSTED_CLOSE,70480000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-04-17,72480000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,294,63360000000.0,,3960.0,2026-04-17,4530.0,ADJUSTED_CLOSE,72480000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-04-24,72000000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,301,63360000000.0,,3960.0,2026-04-24,4500.0,ADJUSTED_CLOSE,72000000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-05-08,70880000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,315,63360000000.0,,3960.0,2026-05-08,4430.0,ADJUSTED_CLOSE,70880000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-05-15,70080000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,322,63360000000.0,,3960.0,2026-05-15,4380.0,ADJUSTED_CLOSE,70080000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-05-22,70640000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,329,63360000000.0,,3960.0,2026-05-22,4415.0,ADJUSTED_CLOSE,70640000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-06-12,68480000000.00001,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,350,63360000000.0,,3960.0,2026-06-12,4280.0,ADJUSTED_CLOSE,68480000000.00001,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-07-03,72880000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,371,63360000000.0,,3960.0,2026-07-03,4555.0,ADJUSTED_CLOSE,72880000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
155660,2026-07-10,71840000000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,378,63360000000.0,,3960.0,2026-07-10,4490.0,ADJUSTED_CLOSE,71840000000.0,100000000000.0,FAIL,False,LOW_CONFIDENCE_PROXY,,,,
160980,2025-09-26,180686979220.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,91,142998340870.0,,13090.0,2025-09-26,16540.0,ADJUSTED_CLOSE,180686979220.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
161390,2025-08-08,5518634323950.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,42,4911646485850.0,,39650.0,2025-08-08,44550.0,ADJUSTED_CLOSE,5518634323950.0,100000000000.0,PASS,False,MEDIUM_CONFIDENCE_PROXY,,,,
161890,2026-04-17,2048920683600.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,294,2164585560900.0,,91700.0,2026-04-17,86800.0,ADJUSTED_CLOSE,2048920683600.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
166090,2025-12-05,889006446300.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,161,517186175100.0,,26150.0,2025-12-05,44950.0,ADJUSTED_CLOSE,889006446300.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
170900,2024-10-18,698875635477.395,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2024-09-27,21,631725094000.0,,66888.0,2024-10-18,73998.0,ADJUSTED_CLOSE,698875635477.395,100000000000.0,PASS,False,HIGH_CONFIDENCE_PROXY,2024-12-27,,,
170900,2025-12-12,536842896545.4064,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,168,444250637500.0,,45302.0,2025-12-12,54744.0,ADJUSTED_CLOSE,536842896545.4064,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
170920,2025-07-04,119681242450.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,7,121378140800.0,,12160.0,2025-07-04,11990.0,ADJUSTED_CLOSE,119681242450.0,100000000000.0,PASS,True,HIGH_CONFIDENCE_PROXY,,,,
171090,2025-10-31,492109458000.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,126,321873918750.0,,33750.0,2025-10-31,51600.0,ADJUSTED_CLOSE,492109458000.0,100000000000.0,PASS,False,LOW_CONFIDENCE_PROXY,,,,
173130,2026-04-17,105415501840.0,PROXY_ANCHOR_PRICE_RATIO,ANCHOR_PRICE_RATIO_PROXY,2025-06-27,294,89107410590.0,,6830.0,2026-04-17,8080.0,ADJUSTED_CLOSE,105415501840.0,100000000000.0,PASS,True,LOW_CONFIDENCE_PROXY,,,,
