control_id,ticker,official_event_type,anchor_type,anchor_date,anchor_start,anchor_end,price_window_start,price_window_end,candidate_row_count,pykrx_row_count,overlap_row_count,pre_candidate_rows,pre_pykrx_rows,pre_overlap_rows,post_candidate_rows,post_pykrx_rows,post_overlap_rows,candidate_only_date_count,candidate_only_dates,pykrx_only_date_count,pykrx_only_dates,open_mismatch_count,high_mismatch_count,low_mismatch_count,close_mismatch_count,volume_mismatch_count,candidate_error,pykrx_error,parity_status
CORP_005930_STOCK_SPLIT,005930,STOCK_SPLIT,EFFECTIVE_DATE,2018-05-04,2018-01-02,2018-12-28,2018-01-02,2018-12-28,244,244,244,83,83,83,161,161,161,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_035420_STOCK_SPLIT,035420,STOCK_SPLIT,EFFECTIVE_DATE,2018-10-12,2018-01-02,2018-12-28,2018-01-02,2018-12-28,244,244,244,192,192,192,52,52,52,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_035720_STOCK_SPLIT,035720,STOCK_SPLIT,EFFECTIVE_DATE,2021-04-15,2021-01-04,2021-12-30,2021-01-04,2021-12-30,248,248,248,70,70,70,178,178,178,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_003670_RIGHTS_OFFERING,003670,RIGHTS_OFFERING,EX_DATE,2021-01-13,2020-06-01,2021-06-30,2020-06-01,2021-06-30,270,270,270,155,155,155,115,115,115,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_028260_MERGER,028260,MERGER,MERGER_EFFECTIVE_DATE,2015-09-01,2015-01-02,2016-12-30,2015-01-02,2016-12-30,494,494,494,164,164,164,330,330,330,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_000100_BONUS_ISSUE,000100,BONUS_ISSUE,EX_DATE,2020-04-01,2020-01-02,2021-12-30,2020-01-02,2021-12-30,496,496,496,61,61,61,435,435,435,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_004020_MERGER,004020,MERGER,MERGER_EFFECTIVE_DATE,2015-07-01,2015-01-02,2015-12-30,2015-01-02,2015-12-30,248,248,248,123,123,123,125,125,125,0,[],0,[],0,0,0,0,0,,,MATCH
CORP_010130_RIGHTS_OFFERING,010130,RIGHTS_OFFERING,EFFECTIVE_DATE,2022-08-30,2022-01-03,2023-12-28,2022-01-03,2023-12-28,491,491,491,162,162,162,329,329,329,0,[],0,[],0,0,0,0,0,,,MATCH
