variant,checkpoint,checkpoint_index,recovery_class,metric,count,mean,median,p25,p75
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_2,2,NEVER_WINNER,consecutive_weak_streak,198,1.989899,2.0,2.0,2.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,arm_to_checkpoint_close_delta_pp,151,2.748024,1.861702,-2.626154,6.77944
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_additional_close_deterioration_pp,151,3.747923,2.240326,0.0,6.223905
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_running_min_close_return_pct,151,-29.5502,-28.203072,-32.15352,-26.216315
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,post_arm_additional_low_deterioration_pp,151,4.557117,3.050848,0.756346,7.238096
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,weak_observation_count,151,2.960265,3.0,3.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,strong_observation_count,151,0.039735,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,unavailable_observation_count,151,0.0,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,weak_share_usable,151,0.986755,1.0,1.0,1.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,RECOVERY,consecutive_weak_streak,151,2.880795,3.0,3.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,arm_to_checkpoint_close_delta_pp,198,0.893979,0.632216,-3.123077,4.813559
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_additional_close_deterioration_pp,198,3.663166,2.828596,0.0,5.869089
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_running_min_close_return_pct,198,-29.887409,-29.290622,-32.446612,-26.080279
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,post_arm_additional_low_deterioration_pp,198,4.590702,3.435366,1.084876,7.027049
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,weak_observation_count,198,2.979798,3.0,3.0,3.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,strong_observation_count,198,0.020202,0.0,0.0,0.0
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_3,3,NEVER_WINNER,unavailable_observation_count,198,0.0,0.0,0.0,0.0
