variant,checkpoint,checkpoint_index,recovery_class,censor_reason,count,rate_pct,total_count,eligible_count,censored_count
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_6,6,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,152,148,4
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,NONE,179,89.949749,199,179,20
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,199,179,20
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,199,179,20
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,20,10.050251,199,179,20
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,NONE,145,95.394737,152,145,7
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,RECOVERY_ALREADY_REACHED_MFE20,7,4.605263,152,145,7
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,IDENTITY_OR_SUPPORT_END,0,0.0,152,145,7
FASTCORE_V1_W25_PREWINNER_ARMED_V00,WEEK_8,8,RECOVERY,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,152,145,7
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,NONE,179,100.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,RECOVERY_ALREADY_REACHED_MFE20,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,IDENTITY_OR_SUPPORT_END,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,NEVER_WINNER,NO_COMPLETED_WEEKLY_OBSERVATION,0,0.0,179,179,0
FASTCORE_V1_W30_PREWINNER_ARMED_V00,WEEK_1,1,RECOVERY,NONE,117,99.152542,118,117,1
