ticker,name,group,requested_count,http_query_status,raw_item_count,parsed_row_count,first_returned_date,last_returned_date,duplicate_date_count,parse_error,response_length_bytes
005930,Samsung Electronics,LONG_COMMON_PARTIAL,500,SUCCESS,500,500,2024-08-05,2026-08-27,0,,33971
005930,Samsung Electronics,LONG_COMMON_PARTIAL,1000,SUCCESS,1000,1000,2022-07-25,2026-08-27,0,,66895
005930,Samsung Electronics,LONG_COMMON_PARTIAL,2000,SUCCESS,2000,2000,2018-07-04,2026-08-27,0,,132680
005930,Samsung Electronics,LONG_COMMON_PARTIAL,2900,SUCCESS,2900,2900,2014-11-04,2026-08-27,0,,190297
005930,Samsung Electronics,LONG_COMMON_PARTIAL,2999,SUCCESS,2999,2999,2014-06-10,2026-08-27,0,,196633
005930,Samsung Electronics,LONG_COMMON_PARTIAL,3000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,196697
005930,Samsung Electronics,LONG_COMMON_PARTIAL,3001,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,196697
005930,Samsung Electronics,LONG_COMMON_PARTIAL,3500,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,196697
005930,Samsung Electronics,LONG_COMMON_PARTIAL,5000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,196697
005930,Samsung Electronics,LONG_COMMON_PARTIAL,10000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,196697
000660,SK Hynix,LONG_COMMON_PARTIAL,500,SUCCESS,500,500,2024-08-05,2026-08-27,0,,35121
000660,SK Hynix,LONG_COMMON_PARTIAL,1000,SUCCESS,1000,1000,2022-07-25,2026-08-27,0,,68810
000660,SK Hynix,LONG_COMMON_PARTIAL,2000,SUCCESS,2000,2000,2018-07-04,2026-08-27,0,,135345
000660,SK Hynix,LONG_COMMON_PARTIAL,2900,SUCCESS,2900,2900,2014-11-04,2026-08-27,0,,193851
000660,SK Hynix,LONG_COMMON_PARTIAL,2999,SUCCESS,2999,2999,2014-06-10,2026-08-27,0,,200287
000660,SK Hynix,LONG_COMMON_PARTIAL,3000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,200352
000660,SK Hynix,LONG_COMMON_PARTIAL,3001,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,200352
000660,SK Hynix,LONG_COMMON_PARTIAL,3500,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,200352
000660,SK Hynix,LONG_COMMON_PARTIAL,5000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,200352
000660,SK Hynix,LONG_COMMON_PARTIAL,10000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,200352
005380,Hyundai Motor,LONG_COMMON_PARTIAL,500,SUCCESS,500,500,2024-08-05,2026-08-27,0,,34367
005380,Hyundai Motor,LONG_COMMON_PARTIAL,1000,SUCCESS,1000,1000,2022-07-25,2026-08-27,0,,68467
005380,Hyundai Motor,LONG_COMMON_PARTIAL,2000,SUCCESS,2000,2000,2018-07-04,2026-08-27,0,,136551
005380,Hyundai Motor,LONG_COMMON_PARTIAL,2900,SUCCESS,2900,2900,2014-11-04,2026-08-27,0,,197819
005380,Hyundai Motor,LONG_COMMON_PARTIAL,2999,SUCCESS,2999,2999,2014-06-10,2026-08-27,0,,204565
005380,Hyundai Motor,LONG_COMMON_PARTIAL,3000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,204633
005380,Hyundai Motor,LONG_COMMON_PARTIAL,3001,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,204633
005380,Hyundai Motor,LONG_COMMON_PARTIAL,3500,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,204633
005380,Hyundai Motor,LONG_COMMON_PARTIAL,5000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,204633
005380,Hyundai Motor,LONG_COMMON_PARTIAL,10000,SUCCESS,3000,3000,2014-06-09,2026-08-27,0,,204633
035420,NAVER,LONG_COMMON_PARTIAL,500,SUCCESS,500,500,2024-08-05,2026-08-27,0,,34400
035420,NAVER,LONG_COMMON_PARTIAL,1000,SUCCESS,1000,1000,2022-07-25,2026-08-27,0,,68503
035420,NAVER,LONG_COMMON_PARTIAL,2000,SUCCESS,2000,2000,2018-07-04,2026-08-27,0,,136542
035420,NAVER,LONG_COMMON_PARTIAL,2900,SUCCESS,2900,2900,2014-11-04,2026-08-27,0,,197124
