ticker,iteration,request_start,request_end,status,row_count,first_date,last_date,elapsed_ms,error
001290,1,2010-01-04,2026-08-21,SUCCESS,2996,2014-06-09,2026-08-21,63.57,
001290,2,2010-01-04,2026-08-21,SUCCESS,2996,2014-06-09,2026-08-21,58.86,
001290,3,2010-01-04,2026-08-21,SUCCESS,2996,2014-06-09,2026-08-21,57.67,
