ticker,isu_cd,market,currently_common,historical_only,requested_start,requested_end,attempt_count,retry_count,acquisition_status,error_type,error_message_sanitized,root_cause_category,classification_reason,probe_required
002810,KR7002810000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-16 00:00:00'), Timestamp('2014-09-05 00:00:00'), Timestamp('2014-10-23 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002820,KR7002820009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-10-22 00:00:00')],CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002840,KR7002840007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2014-07-07 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
002900,KR7002900009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-30 00:00:00'), Timestamp('2014-07-02 00:00:00'), Timestamp('2014-08-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003000,KR7003000007,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-18 00:00:00'), Timestamp('2014-10-08 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003060,KR7003060001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-08-08 00:00:00'), Timestamp('2014-09-11 00:00:00'), Timestamp('2014-11-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003220,KR7003220001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2014-06-11 00:00:00'), Timestamp('2014-06-27 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003280,KR7003280005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-17 00:00:00'), Timestamp('2014-07-24 00:00:00'), Timestamp('2014-08-05 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003300,KR7003300001,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-09-26 00:00:00'), Timestamp('2014-12-04 00:00:00'), Timestamp('2015-01-14 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003410,KR7003410008,KOSPI,False,True,2010-01-04,2024-07-08,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2012-06-14 00:00:00'), Timestamp('2012-08-09 00:00:00'), Timestamp('2012-08-13 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
003490,KR7003490000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-08-22 00:00:00'), Timestamp('2014-08-26 00:00:00'), Timestamp('2014-09-04 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003560,KR7003560000,KOSPI,False,True,2010-01-04,2026-01-14,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2016-06-28 00:00:00')],HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
003620,KR7003620002,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-12 00:00:00'), Timestamp('2014-06-18 00:00:00'), Timestamp('2014-06-27 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003670,KR7003670007,"KOSDAQ,KOSPI",True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-25 00:00:00'), Timestamp('2014-06-26 00:00:00'), Timestamp('2014-08-22 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
003850,KR7003850005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-02 00:00:00'), Timestamp('2014-07-14 00:00:00'), Timestamp('2014-07-29 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
004140,KR7004140000,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2015-03-26 00:00:00'), Timestamp('2015-09-10 00:00:00')]",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
004150,KR7004150009,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-08 00:00:00'), Timestamp('2014-09-16 00:00:00'), Timestamp('2014-10-10 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
004200,KR7004200002,KOSPI,False,True,2010-01-04,2020-07-20,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-02-23 00:00:00'), Timestamp('2010-04-28 00:00:00'), Timestamp('2010-06-14 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
004740,KR7004740007,KOSPI,False,True,2010-01-04,2017-07-04,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-21 00:00:00'), Timestamp('2010-01-22 00:00:00'), Timestamp('2010-01-29 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
004790,KR7004790002,KOSDAQ,False,True,2010-01-04,2014-03-03,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-08-11 00:00:00'), Timestamp('2010-08-18 00:00:00'), Timestamp('2010-09-28 00:00:00",HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
004840,KR7004840005,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-25 00:00:00'), Timestamp('2014-08-13 00:00:00'), Timestamp('2014-09-26 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
004990,KR7004990008,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2015-11-27 00:00:00'), Timestamp('2016-01-29 00:00:00')]",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005010,KR7005010004,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-06-09 00:00:00'), Timestamp('2015-03-02 00:00:00'), Timestamp('2015-05-11 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005030,KR7005030002,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-07-14 00:00:00'), Timestamp('2015-03-17 00:00:00'), Timestamp('2015-04-03 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005070,KR7005070008,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2015-01-28 00:00:00'), Timestamp('2015-09-02 00:00:00'), Timestamp('2015-09-25 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005110,KR7005110002,KOSPI,True,False,2010-01-04,2026-08-21,2,1,ERROR,MarketDataError,"수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2014-08-06 00:00:00'), Timestamp('2014-08-28 00:00:00'), Timestamp('2014-10-23 00:00:00",CURRENT_COMMON_INVALID_OHLC,Provider adjusted OHLC contains precision violations (close > high) on active stock,True
005350,KR7005350004,KOSPI,False,True,2010-01-04,2011-04-14,2,1,ERROR,MarketDataError,수정주가 OHLC 관계가 깨졌습니다: [Timestamp('2010-01-05 00:00:00')],HISTORICAL_ONLY_INVALID_OHLC,Provider adjusted OHLC contains precision violations on historical delisted stock,True
