ticker,market,canonical_sector_code,canonical_sector_name,naver_sector_names,naver_sector_count,mapped_naver_sector_codes,classification,possible_reference_date_drift
065150,KOSDAQ,2027,유통,식품,1,2056,SECTOR_CONFLICT,True
065170,KOSDAQ,2027,유통,건강관리업체및서비스,1,2056,SECTOR_CONFLICT,True
065420,KOSDAQ,2065,화학,석유와가스,1,2027,SECTOR_CONFLICT,True
065450,KOSDAQ,2074,의료·정밀기기,우주항공과국방,1,2075,SECTOR_CONFLICT,True
065570,KOSDAQ,2072,전기전자,조선,1,2075,SECTOR_CONFLICT,True
065650,KOSDAQ,2027,유통,컴퓨터와주변기기,1,2072,SECTOR_CONFLICT,True
065660,KOSDAQ,2027,유통,제약,1,2066,SECTOR_CONFLICT,True
065690,KOSDAQ,2065,화학,컴퓨터와주변기기,1,2072,SECTOR_CONFLICT,True
065950,KOSDAQ,2058,섬유·의류,건설,1,2026,SECTOR_CONFLICT,True
066410,KOSDAQ,2114,통신,IT서비스,1,2118,SECTOR_CONFLICT,True
066430,KOSDAQ,2027,유통,화학,1,2065,SECTOR_CONFLICT,True
066980,KOSDAQ,2012,일반서비스,건설,1,2026,SECTOR_CONFLICT,True
067170,KOSDAQ,2075,운송장비·부품,기계,1,2070,SECTOR_CONFLICT,True
067630,KOSDAQ,2066,제약,건강관리장비와용품,1,2074,SECTOR_CONFLICT,True
068100,KOSDAQ,2070,기계·장비,IT서비스,1,2118,SECTOR_CONFLICT,True
068240,KOSDAQ,2072,전기전자,기계,1,2070,SECTOR_CONFLICT,True
068330,KOSDAQ,2070,기계·장비,생명과학도구및서비스,1,2012,SECTOR_CONFLICT,True
068790,KOSDAQ,2070,기계·장비,디스플레이장비및부품,1,2072,SECTOR_CONFLICT,True
069140,KOSDAQ,2068,금속,건설,1,2026,SECTOR_CONFLICT,True
069640,KOSPI,1016,유통,"섬유,의류,신발,호화품",1,1006,SECTOR_CONFLICT,True
069920,KOSDAQ,2027,유통,건설,1,2026,SECTOR_CONFLICT,True
070300,KOSDAQ,2118,IT 서비스,핸드셋,1,2072,SECTOR_CONFLICT,True
071050,KOSPI,1021,금융,증권,1,1024,SECTOR_CONFLICT,True
071280,KOSDAQ,2070,기계·장비,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
071970,KOSPI,1012,기계·장비,조선,1,1015,SECTOR_CONFLICT,True
072710,KOSPI,1021,금융,식품,1,1005,SECTOR_CONFLICT,True
072870,KOSDAQ,2037,오락·문화,교육서비스,1,2012,SECTOR_CONFLICT,True
072990,KOSDAQ,2012,일반서비스,전자장비와기기,1,2072,SECTOR_CONFLICT,True
073010,KOSDAQ,2070,기계·장비,조선,1,2075,SECTOR_CONFLICT,True
073240,KOSPI,1008,화학,자동차부품,1,1015,SECTOR_CONFLICT,True
073570,KOSDAQ,2077,기타제조,핸드셋,1,2072,SECTOR_CONFLICT,True
073640,KOSDAQ,2068,금속,기계,1,2070,SECTOR_CONFLICT,True
074600,KOSDAQ,2067,비금속,반도체와반도체장비,1,2072,SECTOR_CONFLICT,True
075970,KOSDAQ,2067,비금속,비철금속,1,2068,SECTOR_CONFLICT,True
076610,KOSDAQ,2074,의료·정밀기기,핸드셋,1,2072,SECTOR_CONFLICT,True
077500,KOSPI,1016,유통,반도체와반도체장비,1,1013,SECTOR_CONFLICT,True
