strategy,ticker,entry_signal_date,entry_execution_date,entry_price,exit_signal_date,exit_execution_date,exit_price,exit_reason,trade_status,terminal_return_pct,mfe_pct,mae_pct,holding_days,peak_giveback_pct,trade_no,strategy_id,final_valuation_date,final_valuation_price
V2,266360,2025-06-20,2025-06-23,14950.0,2025-12-16,2025-12-17,12655.0,LOSS_GUARD_CLOSE_LE_NEG_15,REALIZED,-15.35,4.41,-16.25,122,19.76,1,PATTERN_A_FAST_FINAL_STRATEGY_V02,2025-12-17,12655.0
V3,266360,2025-06-20,2025-06-23,14950.0,,,,OPEN_AT_CUTOFF,OPEN_AT_CUTOFF,-33.48,4.41,-38.8,286,37.89,1,PATTERN_A_FAST_FINAL_STRATEGY_V03,2026-08-21,9945.0
V4,266360,2025-06-20,2025-06-23,14950.0,2026-06-12,2026-06-15,11570.0,PRE_WINNER_PRICE_STRUCTURE_FAILURE,REALIZED,-22.61,4.41,-31.2,239,27.02,1,PATTERN_A_FAST_FINAL_STRATEGY_V04,2026-06-15,11570.0
Julia,266360,2025-06-20,2025-06-23,14950.0,,,,NO_PROGRESSED_BEFORE_CUTOFF,OPEN_AT_CUTOFF,-33.48,4.41,-38.8,286,37.89,1,JULIA_STRATEGY_V00,2026-08-21,9945.0
