ticker,name,weekly_date,sample_context_count,fast_score,fast_score_status,fast_monthly_permission_state,fast_daily_risk_state,fast_machine_stage,fast_machine_stage_status,fast_weekly_core_score,fast_conditional_status,pattern_a_evaluation_status,pattern_a_score,pattern_a_stage,pattern_a_candidate_active,fast_trigger_event_status,pattern_a_candidate_event_status
000050,경방,2023-10-27,1,24.06,PARTIAL,EARLY_REGIME,ELEVATED,WATCH,READY,31.43,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-11-03,1,35.31,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,40.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-11-10,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-11-17,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-11-24,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-12-01,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-12-08,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-12-15,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2023-12-22,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-01-05,1,45.56,PARTIAL,EARLY_REGIME,ELEVATED,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-01-12,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-01-19,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-01-26,1,52.32,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,64.29,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-02-02,1,56.06,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,69.64,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-02-16,1,61.07,PARTIAL,EARLY_REGIME,NORMAL,TREND,READY,76.79,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-02-23,1,61.07,PARTIAL,EARLY_REGIME,NORMAL,TREND,READY,76.79,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-03-08,1,57.37,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,69.64,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-03-15,1,41.31,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,48.57,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-03-22,1,48.62,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,57.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-03-29,1,42.62,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,48.57,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-04-05,1,42.62,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,48.57,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-04-12,1,39.81,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,46.43,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-04-19,1,39.81,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,46.43,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-04-26,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-05-03,1,34.56,PARTIAL,EARLY_REGIME,ELEVATED,WATCH,READY,46.43,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-05-10,1,39.81,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,46.43,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-05-17,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,WATCH,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-05-24,1,41.88,PARTIAL,EARLY_REGIME,ELEVATED,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-05-31,1,45.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,55.0,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
000050,경방,2024-06-07,1,50.81,PARTIAL,EARLY_REGIME,NORMAL,SETUP,READY,62.14,EVENT_NOT_OBSERVED,UNAVAILABLE,,,,NOT_OBSERVED,NOT_OBSERVED
