ticker,name,fast_trigger_event_date,fast_trigger_event_sequence,fast_trigger_event_status,fast_score_at_event,fast_monthly_state_at_event,fast_daily_risk_at_event,pattern_a_status_at_fast_event,pattern_a_active_at_fast_event,pattern_a_was_active_before_fast_event,pattern_a_prior_active_date,pattern_a_prior_candidate_event_date,pattern_a_next_candidate_event_date,pair_status,lead_days,lead_weeks,analysis_end,censor_status
001260,남광토건,2024-11-15,1,OBSERVED,60.25,EARLY_REGIME,EXTREME,READY,False,NO,,,2024-11-22,FAST_EARLIER_PATTERN_A_LATER,7.0,1.0,2026-08-14,NOT_CENSORED
001260,남광토건,2025-06-13,2,OBSERVED,72.74,PERMITTED_REGIME,ELEVATED,READY,True,YES,2025-02-07,2024-11-22,2025-06-13,SAME_WEEK,0.0,0.0,2026-08-14,NOT_CENSORED
001260,남광토건,2026-04-10,3,OBSERVED,72.74,PERMITTED_REGIME,ELEVATED,READY,True,YES,2026-04-03,2025-12-26,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001450,현대해상,2024-02-02,1,OBSERVED,75.81,PERMITTED_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-08-14,DATA_UNAVAILABLE
001450,현대해상,2024-03-15,2,OBSERVED,69.07,PERMITTED_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-08-14,DATA_UNAVAILABLE
001450,현대해상,2025-07-04,3,OBSERVED,70.29,PERMITTED_REGIME,NORMAL,READY,True,YES,2024-11-29,,2025-07-04,SAME_WEEK,0.0,0.0,2026-08-14,NOT_CENSORED
001450,현대해상,2025-08-29,4,OBSERVED,68.54,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-08-22,2025-07-04,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001450,현대해상,2026-02-13,5,OBSERVED,77.99,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-09-12,2025-07-04,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
001450,현대해상,2026-08-14,6,OBSERVED,80.24,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-08-07,2026-05-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001540,안국약품,2025-12-05,1,OBSERVED,79.3,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-11-28,2025-10-31,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001540,안국약품,2026-01-30,2,OBSERVED,79.8,PERMITTED_REGIME,NORMAL,READY,False,YES,2026-01-09,2025-10-31,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
001540,안국약품,2026-05-15,3,OBSERVED,68.19,PERMITTED_REGIME,ELEVATED,READY,True,YES,2026-05-08,2026-05-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001540,안국약품,2026-07-24,4,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-07-10,2026-05-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001540,안국약품,2026-08-14,5,OBSERVED,78.49,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-08-07,2026-05-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
001570,금양,2022-10-28,1,OBSERVED,,UNAVAILABLE,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2025-03-21,DATA_UNAVAILABLE
001570,금양,2023-03-03,2,OBSERVED,,UNAVAILABLE,ELEVATED,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2025-03-21,DATA_UNAVAILABLE
001570,금양,2023-03-24,3,OBSERVED,,UNAVAILABLE,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2025-03-21,DATA_UNAVAILABLE
001570,금양,2023-07-14,4,OBSERVED,,UNAVAILABLE,EXTREME,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2025-03-21,DATA_UNAVAILABLE
001800,오리온홀딩스,2024-06-14,1,OBSERVED,78.63,PERMITTED_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-20,DATA_UNAVAILABLE
001800,오리온홀딩스,2024-08-23,2,OBSERVED,74.12,PERMITTED_REGIME,NORMAL,READY,True,YES,2024-08-16,,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
001800,오리온홀딩스,2024-09-27,3,OBSERVED,78.63,PERMITTED_REGIME,NORMAL,READY,True,YES,2024-09-20,,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
001800,오리온홀딩스,2025-04-25,4,OBSERVED,80.88,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-02-21,,2025-04-25,SAME_WEEK,0.0,0.0,2026-03-20,NOT_CENSORED
001800,오리온홀딩스,2026-02-13,5,OBSERVED,80.24,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-02-06,2025-12-05,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
001800,오리온홀딩스,2026-03-13,6,OBSERVED,75.49,PERMITTED_REGIME,ELEVATED,READY,False,YES,2026-02-27,2025-12-05,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-03-20,NOT_CENSORED
002070,비비안,2024-12-13,1,OBSERVED,49.25,EARLY_REGIME,EXTREME,READY,False,NO,,,,FAST_EVENT_NO_PATTERN_A_CATCHUP,,,2026-08-14,RIGHT_CENSORED
002170,SYTS,2024-02-02,1,OBSERVED,77.12,PERMITTED_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-20,DATA_UNAVAILABLE
002170,SYTS,2024-04-26,2,OBSERVED,70.62,PERMITTED_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-03-20,DATA_UNAVAILABLE
002170,SYTS,2025-06-13,3,OBSERVED,71.54,LATE_OR_EXTENDED_REGIME,NORMAL,READY,True,NO,,,2025-06-13,SAME_WEEK,0.0,0.0,2026-03-20,NOT_CENSORED
002170,SYTS,2025-08-08,4,OBSERVED,80.74,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-08-01,2025-06-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
002170,SYTS,2025-09-12,5,OBSERVED,79.8,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-09-05,2025-06-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
002170,SYTS,2026-02-20,6,OBSERVED,81.55,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-02-13,2025-06-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-03-20,NOT_CENSORED
002460,HS화성,2023-11-24,1,OBSERVED,64.63,EARLY_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-05-08,DATA_UNAVAILABLE
002460,HS화성,2024-12-20,2,OBSERVED,55.82,EARLY_REGIME,ELEVATED,READY,False,NO,,,2024-12-27,FAST_EARLIER_PATTERN_A_LATER,7.0,1.0,2026-05-08,NOT_CENSORED
002460,HS화성,2025-05-30,3,OBSERVED,78.63,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-01-10,2024-12-27,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-05-08,NOT_CENSORED
002460,HS화성,2025-06-20,4,OBSERVED,74.05,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-06-13,2025-06-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-05-08,NOT_CENSORED
002460,HS화성,2025-11-21,5,OBSERVED,79.19,PERMITTED_REGIME,NORMAL,READY,False,YES,2025-10-24,2025-06-13,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-05-08,NOT_CENSORED
002460,HS화성,2026-02-13,6,OBSERVED,79.05,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-02-06,2025-12-05,,PATTERN_A_ALREADY_ACTIVE,,,2026-05-08,NOT_CENSORED
003100,선광,2025-05-16,1,OBSERVED,65.88,EARLY_REGIME,NORMAL,READY,False,NO,,,2025-08-01,FAST_EARLIER_PATTERN_A_LATER,77.0,11.0,2026-08-14,NOT_CENSORED
003120,일성아이에스,2025-05-23,1,OBSERVED,62.38,EARLY_REGIME,NORMAL,READY,False,NO,,,2025-08-01,FAST_EARLIER_PATTERN_A_LATER,70.0,10.0,2026-08-14,NOT_CENSORED
003120,일성아이에스,2026-02-20,2,OBSERVED,71.69,PERMITTED_REGIME,ELEVATED,READY,False,YES,2026-01-30,2025-10-10,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2026-08-14,NOT_CENSORED
003480,한진중공업홀딩스,2024-05-17,1,OBSERVED,68.13,EARLY_REGIME,NORMAL,UNAVAILABLE,,,,,,DATA_UNAVAILABLE,,,2026-02-06,DATA_UNAVAILABLE
003480,한진중공업홀딩스,2024-08-02,2,OBSERVED,79.13,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2025-04-25,FAST_EARLIER_PATTERN_A_LATER,266.0,38.0,2026-02-06,NOT_CENSORED
003480,한진중공업홀딩스,2024-08-16,3,OBSERVED,76.13,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2025-04-25,FAST_EARLIER_PATTERN_A_LATER,252.0,36.0,2026-02-06,NOT_CENSORED
003480,한진중공업홀딩스,2025-03-28,4,OBSERVED,72.31,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2025-04-25,FAST_EARLIER_PATTERN_A_LATER,28.0,4.0,2026-02-06,NOT_CENSORED
003480,한진중공업홀딩스,2025-04-18,5,OBSERVED,74.82,PERMITTED_REGIME,NORMAL,READY,False,NO,,,2025-04-25,FAST_EARLIER_PATTERN_A_LATER,7.0,1.0,2026-02-06,NOT_CENSORED
003480,한진중공업홀딩스,2025-05-23,6,OBSERVED,77.82,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-05-16,2025-04-25,,PATTERN_A_ALREADY_ACTIVE,,,2026-02-06,NOT_CENSORED
003490,대한항공,2024-11-29,1,OBSERVED,78.63,PERMITTED_REGIME,NORMAL,READY,True,YES,2024-11-22,2024-11-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2025-01-17,2,OBSERVED,74.12,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-01-10,2024-11-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2025-02-21,3,OBSERVED,74.12,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-02-14,2024-11-08,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2025-07-18,4,OBSERVED,77.99,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-07-11,2025-07-11,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2025-08-08,5,OBSERVED,78.55,PERMITTED_REGIME,NORMAL,READY,True,YES,2025-08-01,2025-07-11,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2026-02-27,6,OBSERVED,77.99,PERMITTED_REGIME,NORMAL,READY,True,YES,2026-02-20,2026-02-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2026-05-08,7,OBSERVED,73.8,PERMITTED_REGIME,ELEVATED,READY,True,YES,2026-04-24,2026-02-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
003490,대한항공,2026-05-22,8,OBSERVED,72.49,PERMITTED_REGIME,ELEVATED,READY,True,YES,2026-05-15,2026-02-13,,PATTERN_A_ALREADY_ACTIVE,,,2026-08-14,NOT_CENSORED
006260,LS,2020-09-04,1,OBSERVED,63.11,PERMITTED_REGIME,ELEVATED,READY,False,YES,2019-03-22,2019-03-15,,PATTERN_A_PRIOR_ACTIVITY_BEFORE_FAST_EVENT,,,2023-12-22,NOT_CENSORED
