feature_name,count,missing_count,mean,median,std,min,max,p25,p75,BORDERLINE_TRIGGER_n,BORDERLINE_TRIGGER_median,BORDERLINE_TRIGGER_iqr,FALSE_TRIGGER_n,FALSE_TRIGGER_median,FALSE_TRIGGER_iqr,GOOD_TRIGGER_n,GOOD_TRIGGER_median,GOOD_TRIGGER_iqr,NO_SETUP_n,NO_SETUP_median,NO_SETUP_iqr,TOO_EARLY_n,TOO_EARLY_median,TOO_EARLY_iqr,TOO_EXTENDED_n,TOO_EXTENDED_median,TOO_EXTENDED_iqr,TOO_LATE_n,TOO_LATE_median,TOO_LATE_iqr,GROUP_POSITIVE_STRUCTURE_n,GROUP_POSITIVE_STRUCTURE_median,GROUP_POSITIVE_STRUCTURE_iqr,GROUP_FAILED_STRUCTURE_n,GROUP_FAILED_STRUCTURE_median,GROUP_FAILED_STRUCTURE_iqr,GROUP_EARLY_OR_NONE_n,GROUP_EARLY_OR_NONE_median,GROUP_EARLY_OR_NONE_iqr,GROUP_LATE_OR_EXTENDED_n,GROUP_LATE_OR_EXTENDED_median,GROUP_LATE_OR_EXTENDED_iqr,cliffs_delta_GOOD_TRIGGER_vs_NO_SETUP,median_diff_GOOD_TRIGGER_vs_NO_SETUP,standardized_effect_GOOD_TRIGGER_vs_NO_SETUP,cliffs_delta_GOOD_TRIGGER_vs_TOO_EARLY,median_diff_GOOD_TRIGGER_vs_TOO_EARLY,standardized_effect_GOOD_TRIGGER_vs_TOO_EARLY,cliffs_delta_GOOD_TRIGGER_vs_FALSE_TRIGGER,median_diff_GOOD_TRIGGER_vs_FALSE_TRIGGER,standardized_effect_GOOD_TRIGGER_vs_FALSE_TRIGGER,cliffs_delta_GOOD_TRIGGER_vs_TOO_EXTENDED,median_diff_GOOD_TRIGGER_vs_TOO_EXTENDED,standardized_effect_GOOD_TRIGGER_vs_TOO_EXTENDED,cliffs_delta_SETUP_GOOD_vs_WATCH_EARLY_NONE,median_diff_SETUP_GOOD_vs_WATCH_EARLY_NONE,standardized_effect_SETUP_GOOD_vs_WATCH_EARLY_NONE,n_SETUP_GOOD,n_WATCH_EARLY_NONE
return_6m,40,0,0.2426188092701957,0.004590395480225995,0.9964528896233151,-0.6013864818024264,4.825123152709359,-0.13014415754314929,0.12470178558198114,6,-0.016812105855054327,0.20380900950669126,4,0.007704880836330696,0.1779096681400421,9,0.11538461538461542,0.15810531543366113,9,-0.2953020134228188,0.46687714633876143,8,-0.023521331609566876,0.20456132650211542,3,1.7943925233644862,2.173653726525328,1,3.4154838709677415,0.0,15,0.06818181818181812,0.18752303714438823,4,0.007704880836330696,0.1779096681400421,17,-0.11525974025974028,0.34532300436464436,4,2.604938197166114,2.302645373965106,0.7530864197530864,0.41068662880743423,1.0170496808021476,0.5555555555555556,0.1389059469941823,0.8603657786845879,0.2777777777777778,0.10767973454828472,0.511478275151547,-0.8518518518518519,-1.6790079079798708,-2.455128719518762,0.625,0.30004550471684893,0.8112677848953188,7,16
return_12m,40,0,0.42418507732479654,0.026567320921220827,1.5405923135395503,-0.8091286307053942,7.449382716049383,-0.19681397738951695,0.3144521717911176,6,-0.0019469026548672441,0.21333303486929642,4,-0.17461797974012955,0.5282309952007953,9,0.3055555555555556,0.4529126672710455,9,-0.3354129347087529,0.4960286013077573,8,-0.06487046718390993,0.15928776685093893,3,2.3222222222222224,2.178634887142897,1,7.449382716049383,0.0,15,0.09193245778611625,0.38302663997715136,4,-0.17461797974012955,0.5282309952007953,17,-0.12033511043412037,0.3130336649796598,4,3.9276856967464706,3.976571041552486,0.7037037037037037,0.6409684902643085,0.8890117496977324,0.8611111111111112,0.3704260227394655,1.02713429803998,0.7222222222222222,0.4801735352956851,1.1181808058669906,-0.9259259259259259,-2.0166666666666666,-1.86482349399571,0.7321428571428571,0.34445921227265064,0.7745847261672938,7,16
return_24m,40,0,0.5186886299829889,-0.06850221243857424,2.1556072276562133,-0.8083437685362156,12.191981495759444,-0.3163850548142733,0.052399674620390524,6,-0.10536817208640192,0.25088698202578197,4,-0.1674838857491981,0.3470927013438187,9,0.010452961672473782,0.22850978135788258,9,-0.4627906976744186,0.7274016616124662,8,-0.16240137518645487,0.1365419026343738,3,2.2035714285714287,0.9612717674522795,1,12.191981495759444,0.0,15,-0.006451612903225823,0.12551949483204405,4,-0.1674838857491981,0.3470927013438187,17,-0.19729206963249513,0.38091935264517884,4,3.0834226502773197,3.8575896222290353,0.5061728395061729,0.4732436593468924,0.9740127639708214,0.7777777777777778,0.17285433685892865,0.8533727375198001,0.6111111111111112,0.17793684742167187,1.8381953861302658,-1.0,-2.193118466898955,-1.1284238532897604,0.5892857142857143,0.2389217285012344,0.5633979537283454,7,16
drawdown_from_12m_high,40,0,-0.2691090604220265,-0.20199123400293373,0.20983293617167456,-0.8576732673267327,0.0,-0.3806041281509388,-0.11197474495255763,6,-0.11979070143699716,0.19041776511879765,4,-0.27633289124668436,0.32201900495391844,9,-0.1275599765944997,0.10436946231338762,9,-0.5151313047102959,0.23366291221681534,8,-0.27270631072827817,0.1465790507986557,3,-0.05379746835443033,0.0968342644320298,1,-0.08257372654155493,0.0,15,-0.1275599765944997,0.10324514819465497,4,-0.27633289124668436,0.32201900495391844,17,-0.35256410256410253,0.2634973177821913,4,-0.06818559744799263,0.06999932585635835,0.9506172839506173,0.3875713281157962,1.0330239767294638,0.6666666666666666,0.14514633413377848,0.8620240518320633,0.6111111111111112,0.14877291465218467,1.7150506178981306,-0.3333333333333333,-0.07376250824006936,-0.5160246961606509,0.8214285714285714,0.243328103243871,0.9857193481367232,7,16
drawdown_from_24m_high,40,0,-0.3367447475704033,-0.262671735360811,0.24161989740651946,-0.9037656903765691,0.0,-0.4874182307697701,-0.14810930709802028,6,-0.26839512305428176,0.211615239869918,4,-0.4342736145687082,0.2654352463618329,9,-0.1450688073394495,0.07663551401869162,9,-0.6228749693294542,0.33892712190267094,8,-0.3818726652885069,0.20151687384504124,3,-0.05379746835443033,0.0968342644320298,1,-0.08257372654155493,0.0,15,-0.1630434782608695,0.12395496072717088,4,-0.4342736145687082,0.2654352463618329,17,-0.4726027397260274,0.34916548553593674,4,-0.06818559744799263,0.06999932585635835,0.9506172839506173,0.4778061619900047,1.067725583016919,0.7222222222222222,0.2368038579490574,1.1011070421506663,0.7777777777777778,0.28920480722925873,1.677883048008138,-0.48148148148148145,-0.09127133898501916,-0.8171535793940996,0.8571428571428571,0.3115998605140613,0.8959917360402482,7,16
drawdown_from_36m_high,40,0,-0.4364501478960145,-0.40480423726263204,0.2722318806742098,-0.939694796837654,0.0,-0.6583006925522252,-0.20241112002138464,6,-0.4699851778656126,0.23938410424675072,4,-0.6628542772011534,0.13690740255632228,9,-0.1950523311132255,0.08054341338167958,9,-0.761340206185567,0.20556702861255294,8,-0.40480423726263204,0.25265371895156674,3,-0.05379746835443033,0.0968342644320298,1,-0.08257372654155493,0.0,15,-0.21621621621621623,0.26421321993064434,4,-0.6628542772011534,0.13690740255632228,17,-0.5815738963531669,0.41840496648834247,4,-0.06818559744799263,0.06999932585635835,0.9259259259259259,0.5662878750723415,1.0180677319266334,0.8055555555555556,0.20975190614940653,0.9623395230070916,1.0,0.4678019460879279,1.0850400070185,-0.7037037037037037,-0.14125486275879517,-1.4033203663207545,0.8571428571428571,0.41130535902929666,0.8776634357635179,7,16
distance_from_12m_low,40,0,0.8635315799621164,0.21578964128397282,1.933300291852549,0.0020000000000000018,10.775636613902272,0.12726199842643598,0.6061095294375647,6,0.1641045906914097,0.25426508776554974,4,0.3491670534686667,0.17591114172063216,9,0.5524193548387097,0.7273616993437273,9,0.1428571428571428,0.14789392450175276,8,0.13451656524678834,0.18450309692570893,3,3.1222426470588234,2.2608763269319523,1,10.775636613902272,0.0,15,0.3579454253611556,0.5962937025193835,4,0.3491670534686667,0.17591114172063216,17,0.1428571428571428,0.1720652384369199,4,4.549321913499913,4.470865921617928,0.5555555555555556,0.40956221198156695,0.9009724914906783,0.6944444444444444,0.4179027895919214,0.9004620171722275,0.2222222222222222,0.20325230137004302,0.44018691668075277,-0.8518518518518519,-2.5698232922201134,-1.7548725030853807,0.5178571428571429,0.38785352850817756,1.1404425900243715,7,16
distance_from_24m_low,40,0,1.0640444705759529,0.28309622837697324,2.2009452217501284,0.0020000000000000018,12.525691699604742,0.14526484751203844,0.8583410253534736,6,0.18524230090041138,0.23091986441168333,4,0.5151080149750946,0.36038477763288806,9,0.5524193548387097,0.6797637588542318,9,0.2054329371816639,0.49642333879169165,8,0.1392053973013493,0.18144459822767528,3,3.2511848341232223,1.7394122216344758,1,12.525691699604742,0.0,15,0.3579454253611556,0.5751559923103818,4,0.5151080149750946,0.36038477763288806,17,0.19565217391304346,0.19203788623212126,4,4.613793007032113,4.550941000096508,0.35802469135802467,0.34698641765704585,0.6268755905398287,0.6388888888888888,0.41321395753736045,0.9131861549243353,-0.1111111111111111,0.03731133986361512,0.062445472171895416,-1.0,-2.6987654792845124,-1.4005297171019468,0.39285714285714285,0.35187679929135607,0.7416361528790126,7,16
close_vs_ma6_pct,40,0,0.08690417105135509,0.005859432328509828,0.4491437599441623,-0.43628246753246747,2.228301672164714,-0.08012885962175259,0.07232865107321024,6,0.02419454396318721,0.05497574896030083,4,0.07282440175261207,0.11813135277410408,9,0.0420858140012319,0.11996202826386759,9,-0.10499806276636958,0.2777446780298374,8,-0.029342149749500057,0.06450861340803857,3,0.60944976076555,1.0783481632560907,1,1.4141093474426807,0.0,15,0.0420858140012319,0.0863328101609841,4,0.07282440175261207,0.11813135277410408,17,-0.07988980716253447,0.1188142762026565,4,1.0117795541041152,1.1426687716358934,0.7283950617283951,0.14708387676760148,0.9418030578991073,0.4444444444444444,0.07142796375073196,0.7911612838347969,-0.16666666666666666,-0.030738587751380164,-0.250400430631588,-0.7777777777777778,-0.5673639467643181,-2.835794273839616,0.5,0.07040503990858216,0.5751824558669804,7,16
close_vs_ma12_pct,40,0,0.1413594873171645,0.021227516759358744,0.687601414576995,-0.6549568696087011,3.2415184576296516,-0.10861524420773769,0.13321191318954212,6,0.006952457588239147,0.12405420953438706,4,-0.006433620227164205,0.28815430207745574,9,0.09917713295799047,0.2315520599080363,9,-0.21754338759585634,0.3879551289930432,8,-0.05388144565714659,0.1384175833089485,3,1.165881926838102,1.5255702253783996,1,2.362649240898148,0.0,15,0.05263157894736836,0.15896607186277878,4,-0.006433620227164205,0.28815430207745574,17,-0.08812376763233731,0.2624954878169323,4,1.764265583868125,1.6603605982342342,0.7530864197530864,0.3167205205538468,0.8960783735982703,0.7222222222222222,0.15305857861513705,1.06731367682789,0.4444444444444444,0.10561075318515467,0.5177190585484234,-0.7777777777777778,-1.0667047938801115,-3.936789032485621,0.6785714285714286,0.1424721531952225,0.5830313700480465,7,16
