requested_date,sector_code,market,attempt_count,retry_count,success,empty_response,ticker_count,error_type,elapsed_seconds
2026-05-14,1011,KOSPI,1,0,True,False,60,,0.277
2026-05-14,1012,KOSPI,1,0,True,False,32,,0.31
2026-05-14,1013,KOSPI,1,0,True,False,69,,0.306
2026-05-14,1014,KOSPI,1,0,True,False,8,,0.236
2026-05-14,1015,KOSPI,1,0,True,False,61,,0.277
2026-05-14,1016,KOSPI,1,0,True,False,63,,0.309
2026-05-14,1017,KOSPI,1,0,True,False,10,,0.286
2026-05-14,1018,KOSPI,1,0,True,False,28,,0.26
2026-05-14,1019,KOSPI,1,0,True,False,24,,0.375
2026-05-14,1020,KOSPI,1,0,True,False,5,,0.311
2026-05-14,1021,KOSPI,1,0,True,False,110,,0.301
2026-05-14,1024,KOSPI,1,0,True,False,18,,0.318
2026-05-14,1025,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.081
2026-05-14,1026,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.095
2026-05-14,1027,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.127
2026-05-14,1045,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.077
2026-05-14,1046,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.086
2026-05-14,1047,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.131
2026-05-14,2012,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.103
2026-05-14,2024,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.072
2026-05-14,2026,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.11
2026-05-14,2027,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.093
2026-05-14,2029,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.11
2026-05-14,2031,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.118
2026-05-14,2037,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.07
2026-05-14,2056,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.124
2026-05-14,2058,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.073
2026-05-14,2062,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.115
2026-05-14,2063,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.162
2026-05-14,2065,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.136
2026-05-14,2066,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.081
2026-05-14,2067,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.093
2026-05-14,2068,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.091
2026-05-14,2070,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.1
2026-05-14,2072,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.098
2026-05-14,2074,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.102
2026-05-14,2075,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.12
2026-05-14,2077,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.097
2026-05-14,2114,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.101
2026-05-14,2118,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.072
2026-02-06,1005,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.075
2026-02-06,1006,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.154
2026-02-06,1007,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.095
2026-02-06,1008,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.138
2026-02-06,1009,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.17
2026-02-06,1010,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.191
2026-02-06,1011,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.082
2026-02-06,1012,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.21
2026-02-06,1013,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.134
2026-02-06,1014,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.127
2026-02-06,1015,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.067
2026-02-06,1016,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.083
2026-02-06,1017,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.098
2026-02-06,1018,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.145
2026-02-06,1019,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.066
2026-02-06,1020,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.077
2026-02-06,1021,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.071
2026-02-06,1024,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.077
2026-02-06,1025,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.209
2026-02-06,1026,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.27
2026-02-06,1027,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.187
2026-02-06,1045,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.077
2026-02-06,1046,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.095
2026-02-06,1047,KOSPI,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.082
2026-02-06,2012,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.089
2026-02-06,2024,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.069
2026-02-06,2026,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.082
2026-02-06,2027,KOSDAQ,1,0,False,False,0,JSONDecodeError_SWALLOWED_BY_PYKRX,0.089
