effective_date,ticker,market,sector_codes,sector_names
2025-08-14,010240,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,010580,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,010620,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,010640,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,010660,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,010690,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,010770,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,010780,['KOSPI'],"['1010', '1027']","['비금속', '제조']"
2025-08-14,010820,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,010950,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,011000,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,011040,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,011070,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,011080,['KOSDAQ'],"['2024', '2058']","['섬유·의류', '제조']"
2025-08-14,011150,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,011170,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,011210,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,011230,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,011280,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,011300,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,011320,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,011330,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,011390,['KOSPI'],"['1010', '1027']","['비금속', '제조']"
2025-08-14,011500,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,011690,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,011700,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,011780,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,011790,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,011930,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,012160,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,012200,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,012280,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,012330,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,012340,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,012450,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,012610,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,012620,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,012690,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,012790,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,012800,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,012860,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,013030,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,013310,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,013520,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,013720,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,013810,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,013870,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,014160,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,014200,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,014280,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,014440,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,014530,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,014570,['KOSDAQ'],"['2024', '2066']","['제약', '제조']"
2025-08-14,014580,['KOSPI'],"['1010', '1027']","['비금속', '제조']"
2025-08-14,014620,['KOSDAQ'],"['2024', '2068']","['금속', '제조']"
2025-08-14,014680,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,014710,['KOSPI'],"['1005', '1027']","['음식료·담배', '제조']"
2025-08-14,014820,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,014830,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,014910,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,014940,['KOSDAQ'],"['2024', '2070']","['기계·장비', '제조']"
2025-08-14,014970,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,014990,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,015230,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
2025-08-14,015260,['KOSPI'],"['1013', '1027']","['전기전자', '제조']"
2025-08-14,015590,['KOSPI'],"['1012', '1027']","['기계·장비', '제조']"
2025-08-14,015710,['KOSDAQ'],"['2024', '2072']","['전기전자', '제조']"
2025-08-14,015750,['KOSDAQ'],"['2024', '2075']","['운송장비·부품', '제조']"
2025-08-14,015890,['KOSPI'],"['1008', '1027']","['제조', '화학']"
2025-08-14,016090,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,016100,['KOSDAQ'],"['2024', '2062']","['제조', '종이·목재']"
2025-08-14,016360,['KOSPI'],"['1021', '1024']","['금융', '증권']"
2025-08-14,016380,['KOSPI'],"['1011', '1027']","['금속', '제조']"
2025-08-14,016450,['KOSPI'],"['1006', '1027']","['섬유·의류', '제조']"
2025-08-14,016580,['KOSPI'],"['1009', '1027']","['제약', '제조']"
2025-08-14,016590,['KOSPI'],"['1007', '1027']","['제조', '종이·목재']"
2025-08-14,016610,['KOSPI'],"['1021', '1024']","['금융', '증권']"
2025-08-14,016740,['KOSPI'],"['1015', '1027']","['운송장비·부품', '제조']"
