ticker,name,market,asset_type,is_common_stock,metadata_source,effective_date,classification_authority,asset_type_source,source_security_type
060310,3S,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
095570,AJ네트웍스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
006840,AK홀딩스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
054620,APS홀딩스,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
265520,AP시스템,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
211270,AP위성,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
027410,BGF,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
282330,BGF리테일,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
138930,BNK금융지주,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001460,BYC,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001465,BYC우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001040,CJ,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
079160,CJ CGV,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
035760,CJ ENM,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
00104K,CJ4우(전환),KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000120,CJ대한통운,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
011150,CJ씨푸드,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
011155,CJ씨푸드1우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
001045,CJ우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
097950,CJ제일제당,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
097955,CJ제일제당 우,KOSPI,PREFERRED,False,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
051500,CJ프레시웨이,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
058820,CMG제약,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
023460,CNH,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
065770,CS,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
083660,CSA 코스믹,KOSDAQ,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
000590,CS홀딩스,KOSPI,COMMON,True,KRX_LOCAL_FROZEN_MASTER,2020-03-27,LEGACY_UNVERIFIED,LEGACY_UNVERIFIED,
